"","Time","Plot_number","Treatment","Quadrat_number","Quadrat_fenced","Quadrat_gap","Richness_change"
"1","0-3",7,"Radial",1,"False","False",0
"2","0-3",7,"Radial",2,"True","True",-5
"3","0-3",7,"Radial",3,"False","True",4
"4","0-3",7,"Radial",4,"True","True",4
"5","0-3",7,"Radial",5,"False","False",-1
"6","0-3",7,"Radial",6,"True","False",0
"7","0-3",7,"Radial",7,"False","True",11
"8","0-3",7,"Radial",8,"True","True",5
"9","0-3",7,"Radial",9,"False","False",4
"10","0-3",7,"Radial",10,"True","True",6
"11","0-3",7,"Radial",11,"False","False",-3
"12","0-3",7,"Radial",12,"True","True",2
"13","0-3",7,"Radial",13,"False","True",7
"14","0-3",7,"Radial",14,"True","True",5
"15","0-3",7,"Radial",15,"False","True",-3
"16","0-3",7,"Radial",16,"True","False",-4
"17","0-3",7,"Radial",17,"False","False",1
"18","0-3",7,"Radial",18,"True","True",5
"19","0-3",7,"Radial",19,"False","True",4
"20","0-3",7,"Radial",20,"True","True",0
"21","0-3",7,"Radial",21,"False","False",6
"22","0-3",7,"Radial",22,"True","False",-3
"23","0-3",7,"Radial",23,"False","False",4
"24","0-3",7,"Radial",24,"True","False",4
"25","0-3",7,"Radial",25,"False","False",-2
"26","0-3",7,"Radial",26,"True","True",-7
"27","0-3",7,"Radial",27,"False","True",-7
"28","0-3",7,"Radial",28,"True","True",5
"29","0-3",7,"Radial",29,"False","True",0
"30","0-3",7,"Radial",30,"True","True",0
"31","0-3",7,"Radial",31,"False","True",3
"32","0-3",7,"Radial",32,"True","False",-3
"33","0-3",9,"Radial",1,"False","True",-9
"34","0-3",9,"Radial",2,"True","True",8
"35","0-3",9,"Radial",3,"False","True",7
"36","0-3",9,"Radial",4,"True","True",-1
"37","0-3",9,"Radial",5,"False","True",2
"38","0-3",9,"Radial",6,"True","True",-6
"39","0-3",9,"Radial",7,"False","True",3
"40","0-3",9,"Radial",8,"True","True",-2
"41","0-3",9,"Radial",9,"False","True",-2
"42","0-3",9,"Radial",10,"True","False",0
"43","0-3",9,"Radial",11,"False","True",8
"44","0-3",9,"Radial",12,"True","True",-1
"45","0-3",9,"Radial",13,"False","True",-3
"46","0-3",9,"Radial",14,"True","False",4
"47","0-3",9,"Radial",15,"False","False",-3
"48","0-3",9,"Radial",16,"True","True",0
"49","0-3",9,"Radial",17,"False","False",-1
"50","0-3",9,"Radial",18,"True","True",9
"51","0-3",9,"Radial",19,"False","True",1
"52","0-3",9,"Radial",20,"True","True",12
"53","0-3",9,"Radial",21,"False","True",-4
"54","0-3",9,"Radial",22,"True","True",3
"55","0-3",9,"Radial",23,"False","True",0
