Treatment,Plot Number,Quadrat Number,Fenced,Gap,Life Form,Year,0
Control,2,1,False,False,Climber,0,0.0021551724137931034
Control,2,1,False,False,Climber,3,0.00646551724137931
Control,2,1,False,False,Climber,6,0.0021551724137931034
Control,2,1,False,False,Large Forb/Herb,0,0.13577586206896552
Control,2,1,False,False,Large Forb/Herb,3,0.26939655172413796
Control,2,1,False,False,Large Forb/Herb,6,0.21982758620689655
Control,2,1,False,False,Medium Forb/Herb,0,0.015086206896551725
Control,2,1,False,False,Medium Forb/Herb,3,0.09913793103448276
Control,2,1,False,False,Medium Forb/Herb,6,0.004310344827586207
Control,2,1,False,False,Medium Non-tufted grass/sedge,0,0.004310344827586207
Control,2,1,False,False,Medium Non-tufted grass/sedge,3,0.01293103448275862
Control,2,1,False,False,Medium Non-tufted grass/sedge,6,0.00646551724137931
Control,2,1,False,False,Medium Tufted grass/sedge,0,0.021551724137931036
Control,2,1,False,False,Medium Tufted grass/sedge,3,0.06465517241379311
Control,2,1,False,False,Medium Tufted grass/sedge,6,0.004310344827586207
Control,2,1,False,False,Prostrate Shrub,0,0.0
Control,2,1,False,False,Prostrate Shrub,3,0.01293103448275862
Control,2,1,False,False,Prostrate Shrub,6,0.0
Control,2,1,False,False,Prostrate or Mat-forming Forb/Herb,0,0.00646551724137931
Control,2,1,False,False,Prostrate or Mat-forming Forb/Herb,3,0.08620689655172414
Control,2,1,False,False,Prostrate or Mat-forming Forb/Herb,6,0.0021551724137931034
Control,2,1,False,False,Small Non-tufted grass/sedge,0,0.0021551724137931034
Control,2,1,False,False,Small Non-tufted grass/sedge,3,0.01293103448275862
Control,2,1,False,False,Small Non-tufted grass/sedge,6,0.0021551724137931034
Control,2,1,False,False,Small Tufted grass/sedge,0,0.004310344827586207
Control,2,1,False,False,Small Tufted grass/sedge,3,0.0
Control,2,1,False,False,Small Tufted grass/sedge,6,0.0021551724137931034
Control,2,2,False,False,Climber,0,0.001445086705202312
Control,2,2,False,False,Climber,3,0.004335260115606936
Control,2,2,False,False,Climber,6,0.001445086705202312
Control,2,2,False,False,Large Forb/Herb,0,0.14595375722543352
Control,2,2,False,False,Large Forb/Herb,3,0.2991329479768786
Control,2,2,False,False,Large Forb/Herb,6,0.14739884393063585
Control,2,2,False,False,Medium Forb/Herb,0,0.011560693641618497
Control,2,2,False,False,Medium Forb/Herb,3,0.036127167630057806
Control,2,2,False,False,Medium Forb/Herb,6,0.014450867052023121
Control,2,2,False,False,Medium Non-tufted grass/sedge,0,0.014450867052023121
Control,2,2,False,False,Medium Non-tufted grass/sedge,3,0.010115606936416185
Control,2,2,False,False,Medium Non-tufted grass/sedge,6,0.017341040462427744
Control,2,2,False,False,Medium Tufted grass/sedge,0,0.002890173410404624
Control,2,2,False,False,Medium Tufted grass/sedge,3,0.049132947976878616
Control,2,2,False,False,Medium Tufted grass/sedge,6,0.001445086705202312
Control,2,2,False,False,Prostrate Shrub,0,0.001445086705202312
Control,2,2,False,False,Prostrate Shrub,3,0.0
Control,2,2,False,False,Prostrate Shrub,6,0.004335260115606936
Control,2,2,False,False,Prostrate or Mat-forming Forb/Herb,0,0.08959537572254335
Control,2,2,False,False,Prostrate or Mat-forming Forb/Herb,3,0.10260115606936417
Control,2,2,False,False,Prostrate or Mat-forming Forb/Herb,6,0.004335260115606936
Control,2,2,False,False,Small Non-tufted grass/sedge,0,0.001445086705202312
Control,2,2,False,False,Small Non-tufted grass/sedge,3,0.008670520231213872
Control,2,2,False,False,Small Non-tufted grass/sedge,6,0.001445086705202312
Control,2,2,False,False,Small Tufted grass/sedge,0,0.014450867052023121
Control,2,2,False,False,Small Tufted grass/sedge,3,0.0072254335260115606
