Plot_number,Quadrat_number,Year_monitoring,Record_ID
1,1,0,10
1,1,3,15
1,1,6,14
1,2,0,13
1,2,3,11
1,2,6,17
1,3,0,16
1,3,3,16
1,3,6,22
1,4,0,9
1,4,3,19
1,4,6,12
1,5,0,14
1,5,3,11
1,5,6,15
1,6,0,14
1,6,3,11
1,6,6,11
1,7,0,10
1,7,3,8
1,7,6,13
1,8,0,11
1,8,3,17
1,8,6,18
1,9,0,11
1,9,3,17
1,9,6,23
1,10,0,14
1,10,3,16
1,10,6,19
1,11,0,8
1,11,3,15
1,11,6,13
1,12,0,8
1,12,3,9
1,12,6,16
1,13,0,13
1,13,3,10
1,13,6,16
1,14,0,9
1,14,3,7
1,14,6,8
1,15,0,16
1,15,3,16
1,15,6,20
1,16,0,8
1,16,3,14
1,16,6,14
2,1,0,16
2,1,3,37
2,1,6,11
2,2,0,18
2,2,3,55
2,2,6,19
2,3,0,14
2,3,3,20
2,3,6,16
2,4,0,15
2,4,3,14
2,4,6,10
2,5,0,9
2,5,3,12
2,5,6,9
2,6,0,16
2,6,3,11
2,6,6,21
2,7,0,15
2,7,3,14
2,7,6,18
2,8,0,14
2,8,3,10
2,8,6,12
2,9,0,11
2,9,3,4
2,9,6,13
2,10,0,14
2,10,3,11
2,10,6,14
2,11,0,15
2,11,3,13
2,11,6,13
2,12,0,8
2,12,3,16
2,12,6,13
2,13,0,10
2,13,3,12
2,13,6,10
2,14,0,13
2,14,3,17
2,14,6,13
2,15,0,8
2,15,3,10
2,15,6,16
2,16,0,11
2,16,3,10
2,16,6,12
3,1,0,14
3,1,6,9
3,2,0,11
3,2,6,11
3,3,0,14
3,3,6,12
3,4,0,10
3,4,6,12
3,5,0,15
3,5,6,9
3,6,0,17
3,6,6,14
3,7,0,13
3,7,6,10
3,8,0,9
3,8,6,12
3,9,0,14
3,9,6,11
3,10,0,12
3,10,6,14
3,11,0,8
3,11,6,9
3,12,0,14
3,12,6,12
3,13,0,11
3,13,6,8
3,14,0,7
3,14,6,11
3,15,0,9
3,15,6,11
3,16,0,7
3,16,6,10
4,1,0,15
4,1,3,28
4,1,6,12
4,2,0,13
4,2,3,21
4,2,6,11
4,3,0,10
4,3,3,19
4,3,6,8
4,4,0,10
4,4,3,25
4,4,6,12
4,5,0,19
4,5,3,26
4,5,6,9
4,6,0,12
4,6,3,27
4,6,6,11
4,7,0,8
4,7,3,26
4,7,6,12
4,8,0,12
4,8,3,12
4,8,6,10
4,9,0,5
4,9,3,21
4,9,6,9
4,10,0,12
4,10,3,26
4,10,6,9
4,11,0,8
4,11,3,17
4,11,6,9
4,12,0,9
4,12,3,22
4,12,6,10
4,13,0,7
4,13,3,23
4,13,6,7
4,14,0,9
4,14,3,30
4,14,6,13
4,15,0,11
4,15,3,17
4,15,6,8
4,16,0,8
4,16,3,25
4,16,6,7
4,17,0,4
4,17,3,9
4,17,6,7
4,18,0,11
4,18,3,12
4,18,6,13
4,19,0,6
4,19,3,12
4,19,6,9
4,20,0,8
4,20,3,11
4,20,6,11
4,21,0,10
4,21,3,8
4,21,6,10
4,22,0,13
4,22,3,12
4,22,6,13
4,23,0,6
4,23,3,12
4,23,6,5
4,24,0,7
4,24,3,12
4,24,6,9
4,25,0,9
4,25,3,12
4,25,6,13
4,26,0,13
4,26,3,14
4,26,6,13
4,27,0,12
4,27,3,12
4,27,6,14
4,28,0,5
4,28,3,9
4,28,6,8
4,29,0,8
4,29,3,13
4,29,6,7
4,30,0,6
4,30,3,12
4,30,6,11
4,31,0,11
4,31,3,11
4,31,6,9
4,32,0,12
4,32,6,7
5,1,0,14
5,1,3,12
5,1,6,17
5,2,0,14
5,2,3,10
5,2,6,19
5,3,0,15
5,3,3,13
5,3,6,19
5,4,0,16
5,4,3,13
5,4,6,14
5,5,0,10
5,5,3,12
5,5,6,16
5,6,0,7
5,6,3,5
5,6,6,15
5,7,0,11
5,7,3,9
5,7,6,11
5,8,0,16
5,8,3,13
5,8,6,10
5,9,0,9
5,9,3,11
5,9,6,10
5,10,0,17
5,10,3,17
5,10,6,16
5,11,0,15
5,11,3,13
5,11,6,17
5,12,0,12
5,12,3,4
5,13,0,14
5,13,3,9
5,13,6,13
5,14,0,14
5,14,3,10
5,14,6,13
5,15,0,4
5,15,3,8
5,15,6,13
5,16,0,12
5,16,3,10
5,16,6,12
6,1,0,15
6,1,3,17
6,1,6,10
6,2,0,16
