Plot_treatment,Plot_number,Quadrat_fenced,Quadrat_gap,Year_monitoring,Climber,Forb,Large Forb/Herb,Medium Forb/Herb,Medium Tufted grass/sedge,Prostrate Shrub,Prostrate or Mat-forming Forb/Herb,Small Non-tufted grass/sedge,Small Tufted grass/sedge,Tufted Ground Fern,Unknown,Non-tufted Ground Fern,Small Shrub,Medium Non-tufted grass/sedge,Tussock grass,Large Tufted grass/sedge,Large Shrub to Medium Tree,Shrub,Small Forb/Herb
Control,2,False,False,0,5.5,10.0,8.413793103448276,7.3076923076923075,8.0,2.0,7.75,8.2,8.375,5.0,8.098591549295774,,,,,,,,
Control,2,False,False,3,5.769230769230769,3.2,6.769230769230769,6.239130434782608,5.214285714285714,1.0,6.380952380952381,7.05,5.833333333333333,3.5,7.231788079470198,15.0,12.0,,,,,,
Control,2,False,False,6,5.75,9.23076923076923,8.5,8.75,7.4,2.0,7.866666666666666,6.777777777777778,8.25,8.0,8.351724137931035,15.0,,6.5,10.333333333333334,,,,
Control,4,False,False,0,18.625,1.0,16.483333333333334,14.931818181818182,18.125,14.0,15.4,15.421052631578947,16.6,18.0,15.688524590163935,12.5,,,,,,,
Control,4,False,False,3,11.5,3.3333333333333335,14.2,13.864864864864865,14.666666666666666,4.5,14.108108108108109,13.558823529411764,13.631578947368421,15.0,13.638728323699421,11.125,4.0,,,14.0,,,
Control,4,False,False,6,5.666666666666667,15.333333333333334,16.818181818181817,15.735849056603774,17.333333333333332,14.0,18.526315789473685,12.857142857142858,21.0,18.0,17.270142180094787,13.5,,2.0,9.857142857142858,,,,
Control,6,False,False,0,3.5,,8.181818181818182,8.181818181818182,7.538461538461538,,6.9411764705882355,8.909090909090908,8.166666666666666,,8.792857142857143,6.5,,,,15.0,,,
Control,6,False,False,3,4.166666666666667,10.0,8.0,8.166666666666666,6.363636363636363,,7.375,11.0,9.9,3.3333333333333335,8.129496402877697,7.0,,,,14.0,,,
Control,6,False,False,6,4.5,6.555555555555555,8.666666666666666,7.580645161290323,8.142857142857142,6.333333333333333,7.461538461538462,7.3076923076923075,8.5,,8.440944881889763,6.4,,2.6666666666666665,9.0,11.5,,,
Control,11,False,False,0,24.0,18.0,18.307692307692307,17.430379746835442,,,17.09090909090909,14.666666666666666,14.714285714285714,,17.024024024024023,,,,,19.714285714285715,,,
Control,11,False,False,3,26.666666666666668,16.5,16.105263157894736,17.66216216216216,17.0,,16.9375,15.538461538461538,15.56,,17.196202531645568,,25.0,,,9.0,,,
Control,11,False,False,6,18.333333333333332,17.711111111111112,13.619047619047619,14.935897435897436,17.05,,17.5,13.714285714285714,12.590909090909092,,16.440894568690094,,,,9.166666666666666,9.0,,,
Gap,1,False,False,0,12.5,12.0,9.5,9.133333333333333,14.5,,10.222222222222221,10.857142857142858,,,10.050632911392405,3.5,,,,,,,
Gap,1,False,False,3,,6.0,9.75,8.916666666666666,10.0,,10.142857142857142,9.714285714285714,9.5,,10.4,10.666666666666666,,,,,,,
Gap,1,False,False,6,12.5,10.166666666666666,9.5625,8.555555555555555,12.0,,9.571428571428571,10.428571428571429,15.0,15.0,10.119565217391305,6.333333333333333,,12.0,10.75,,,,
Gap,1,False,True,0,6.0,,5.363636363636363,6.153846153846154,13.0,,6.75,3.3333333333333335,5.0,,5.618181818181818,8.0,,,,,,,
Gap,1,False,True,3,9.0,,5.9,5.5,13.0,,7.0,6.0,6.166666666666667,,5.519230769230769,2.5,,,,,,,
Gap,1,False,True,6,2.5,7.714285714285714,5.8,6.384615384615385,6.142857142857143,,6.0,4.6,5.666666666666667,9.0,6.2105263157894735,2.5,,,6.75,,,,
Gap,8,False,False,0,,9.0,6.615384615384615,7.9,7.4,,7.285714285714286,8.166666666666666,9.0,,6.5394736842105265,7.0,,,,,,,
Gap,8,False,False,3,,12.0,6.0,9.0,9.333333333333334,,6.25,7.333333333333333,6.5,,7.688524590163935,7.0,,,,,8.0,,
Gap,8,False,False,6,,7.666666666666667,7.875,7.133333333333334,5.2,,6.5,16.0,8.5,,7.428571428571429,7.0,,,7.2,,,,
Gap,8,False,True,0,14.0,3.0,10.25,8.647058823529411,10.0,,9.857142857142858,9.166666666666666,9.5,4.0,9.413461538461538,,,,,,,,
Gap,8,False,True,3,,3.0,11.166666666666666,10.166666666666666,10.0,,8.5,9.2,4.5,4.0,9.494736842105263,,,,,,,,
Gap,8,False,True,6,,8.0,10.636363636363637,9.777777777777779,6.6,,11.0,11.333333333333334,13.0,4.0,9.5,,,,9.5,,,,
Gap,10,False,False,0,,10.0,17.0,15.8,,,16.555555555555557,11.0,,15.0,14.48936170212766,,,,,,,,
Gap,10,False,False,3,,11.5,15.666666666666666,17.666666666666668,,,17.0,9.0,,1.0,14.172413793103448,,,5.0,,,,,
Gap,10,False,False,6,,11.266666666666667,16.2,11.444444444444445,13.4,,,,9.0,8.0,15.142857142857142,,,16.0,15.0,,,,
Gap,10,False,True,0,,8.0,15.0,11.0,,11.0,13.666666666666666,,,3.0,15.536585365853659,,,,,,7.0,,
Gap,10,False,True,3,31.0,7.0,15.0,15.428571428571429,,11.0,6.333333333333333,16.333333333333332,13.0,3.0,15.242424242424242,,,10.0,,,7.0,,
Gap,10,False,True,6,,7.4,11.8,10.333333333333334,13.666666666666666,,9.0,11.0,11.0,17.0,14.833333333333334,,,,10.0,,7.0,,
Gap,10,True,False,0,,18.0,14.666666666666666,16.75,10.0,,4.0,16.0,,14.0,15.5,,,,,,,,
Gap,10,True,False,3,,11.0,15.0,15.0,10.0,,4.0,,14.0,7.0,13.428571428571429,,,,,,4.0,,
