Plot_treatment,Quadrat_fenced,Quadrat_gap,Year_monitoring,Climber,Forb,Large Forb/Herb,Large Tufted grass/sedge,Medium Forb/Herb,Medium Tufted grass/sedge,Non-tufted Ground Fern,Prostrate Shrub,Prostrate or Mat-forming Forb/Herb,Small Non-tufted grass/sedge,Small Tufted grass/sedge,Tufted Ground Fern,Unknown,Small Shrub,Medium Non-tufted grass/sedge,Tussock grass,Large Shrub to Medium Tree,Small Forb/Herb,Shrub
Control,False,False,0,3.9523809523809526,10.0,5.226277372262774,9.5,6.774358974358974,4.72,5.333333333333333,3.0,6.939024390243903,6.442622950819672,7.369565217391305,2.6666666666666665,6.7089639115250295,,,,,,
Control,False,False,3,4.682926829268292,8.16,4.635714285714286,6.75,5.865168539325842,4.03125,4.7272727272727275,2.8,6.018867924528302,5.783132530120482,7.05,3.7777777777777777,6.298319327731092,4.75,,,,,
Control,False,False,6,4.722222222222222,7.373626373626373,5.725274725274725,7.666666666666667,6.6138613861386135,6.96,5.384615384615385,4.333333333333333,5.540983606557377,5.325581395348837,8.8125,3.0,6.707286432160804,,3.75,6.2105263157894735,,,
Gap,False,False,0,1.0,9.416666666666666,6.097560975609756,,7.0,6.0,3.3333333333333335,,7.46875,5.4375,9.0,10.0,7.289962825278811,,,,12.0,,
Gap,False,False,3,12.0,9.166666666666666,6.108108108108108,,6.372881355932203,7.142857142857143,2.75,,8.035714285714286,5.4375,4.545454545454546,10.0,7.664335664335664,,10.0,,8.0,,
Gap,False,False,6,1.0,7.625,6.108108108108108,,6.36734693877551,7.2,2.75,,4.916666666666667,1.875,9.125,7.0,6.431034482758621,12.0,7.0,5.4,,,
Gap,False,True,0,3.3333333333333335,10.666666666666666,6.382352941176471,,7.170212765957447,5.666666666666667,1.0,10.0,8.88,5.666666666666667,7.0,9.0,7.757692307692308,,,,11.0,,
Gap,False,True,3,7.666666666666667,10.5,7.277777777777778,,8.17910447761194,8.2,1.0,11.0,8.105263157894736,6.588235294117647,5.6923076923076925,9.0,8.514469453376206,,10.0,,10.0,12.0,
Gap,False,True,6,6.5,7.7407407407407405,7.314285714285714,,7.244897959183674,6.578947368421052,1.0,,7.111111111111111,4.333333333333333,7.666666666666667,8.833333333333334,7.15979381443299,,,6.4,10.0,,
Gap,True,False,0,,11.333333333333334,10.909090909090908,,10.857142857142858,10.0,,,11.333333333333334,10.0,12.0,10.0,11.272727272727273,,,,,,
Gap,True,False,3,,11.0,11.0,,10.857142857142858,11.0,,,11.5,12.0,11.333333333333334,10.0,11.236363636363636,,,,10.0,,
Gap,True,False,6,,10.727272727272727,11.0,,10.6,11.5,,,12.0,10.0,10.5,10.0,11.074074074074074,,,11.333333333333334,11.0,,
Gap,True,True,0,,10.857142857142858,11.052631578947368,,11.066666666666666,12.0,,,11.263157894736842,10.0,12.0,10.0,11.11864406779661,,,,11.333333333333334,,
Gap,True,True,3,12.0,10.909090909090908,11.23076923076923,10.0,10.8125,10.0,,,11.2,10.5,10.444444444444445,10.0,11.155963302752294,,,,10.666666666666666,,10.0
Gap,True,True,6,,10.6,11.071428571428571,,11.411764705882353,11.142857142857142,,,11.25,10.0,10.571428571428571,10.0,11.009345794392523,,,10.8,11.0,,10.0
Radial,False,False,0,3.0,7.333333333333333,5.2727272727272725,5.0,5.363636363636363,5.5,5.0,7.0,6.076923076923077,4.555555555555555,5.333333333333333,3.0,5.982857142857143,,,,,,
Radial,False,False,3,,7.666666666666667,6.0,,6.777777777777778,5.0,5.0,7.0,6.6923076923076925,5.666666666666667,6.5,,7.059259259259259,,,,,,
Radial,False,False,6,3.0,5.842105263157895,4.222222222222222,5.0,5.384615384615385,5.857142857142857,5.0,7.0,6.142857142857143,4.6,5.0,3.0,5.704225352112676,7.0,4.0,6.666666666666667,,,
Radial,False,True,0,4.375,7.6,5.076923076923077,5.0,5.906666666666666,5.571428571428571,4.6,3.0,5.388888888888889,4.368421052631579,6.0,9.0,6.372093023255814,3.0,,,,,
Radial,False,True,3,5.666666666666667,8.0,5.9,6.0,7.054794520547945,5.0,5.0,5.0,7.142857142857143,8.142857142857142,7.470588235294118,9.0,7.348993288590604,,,,,,
Radial,False,True,6,4.2,6.586206896551724,4.743589743589744,5.666666666666667,5.275862068965517,7.333333333333333,4.714285714285714,6.0,6.12,4.157894736842105,7.4,9.0,5.903914590747331,3.0,5.0,6.333333333333333,,,
Radial,True,False,0,9.0,7.5,7.4,7.0,8.0,,,7.0,7.666666666666667,7.0,7.0,,7.5396825396825395,,,,,,
Radial,True,False,3,,7.8,,7.0,7.333333333333333,9.0,,,7.8,,7.0,,7.684931506849315,,,,,,
Radial,True,False,6,7.0,7.666666666666667,9.0,7.0,7.888888888888889,8.5,,,7.4,,,,7.648648648648648,,,7.5,,,
Radial,True,True,0,9.0,8.333333333333334,8.333333333333334,,8.285714285714286,,,7.0,8.2,9.0,8.2,7.0,8.216326530612244,,,,,9.0,
Radial,True,True,3,8.333333333333334,8.454545454545455,8.714285714285714,7.0,8.307692307692308,7.0,,,8.1,8.5,8.142857142857142,7.0,8.207407407407407,,,,9.0,,
Radial,True,True,6,7.0,8.466666666666667,8.647058823529411,,8.04,7.666666666666667,,,8.142857142857142,,7.666666666666667,7.0,7.972222222222222,7.0,,8.142857142857142,9.0,,
