Observed Species,shade tolerant
,
Stellaria spp.,Y
,
Rytidosperma spp.,
,
Rytidosperma caespitosum,
,
Rytidosperma geniculata,Y
,
Rytidosperma pencilata,
,
Senecio spp,
,
Senecio phelleus,
,
Senecio quadridentatus,
,
Wahlenbergia spp,
,
Wahlenbergia gracilis,
,
Aira spp.,
,
Bulbine bulbosa,Y
,
Cotula australis,
,
Crassula spp,
,
Crassula sieberiana,
,
Dichondra repens,Y
,
Einadia nutans,
,
Lomandra longifolia,Y
,
Euchiton spp,
,
Euchiton involucratis,
,
Microlaena stipoides,Y
,
Lachnagrostis spp.,
,
Hypochaeris spp,
,
Hypochaeris radicata,
,
Pteridium esculentum,
,
Lagenophora spp,Y
,
Hydrocotyle spp,
,
Conyza sumatrensis,
,
conyza sumatrensis,
,
Cerastium glomeratum,
,
Austrostipa spp,
,
Stuartina muelleri,
,
Briza minor,
,
Daucus glochidiatus,
,
Lomandra filiformis,Y
,
Glycine clandestina,Y
,
Hypochaeris glabra,
,
Imperata cylindrica,
,
Poranthera microphylla,
,
Senecio tenuiflorus,
,
Senecio pinnatifolius,
,
Austrostipa scabra,
,
Gnaphalium sp,
,
Hypericum gramineum,
,
Centaurium erythraea,
,
Pterostylis spp,Y
,
Luzula meridionalis,
,
Poa labillardieri,
,
Poaceae,
,
Oxalis (native),
,
Vulpia sp.,
,
Arthropodium strictum,
,
Poa spp,
,
Poa sieberiana,
,
Oxalis sp 2.,
,
Sonchus spp,
,
Sonchus oleraceus,
,
Arthropodium spp,
,
Arthropodiumn minus,
,
Arthropodium minus,
,
Carex spp,Y
,
Carex breviculmis,Y
,
Diuris sulphurea,
,
Thelymitra spp,
,
Tricoryne elatior,
,
Tricoryne sp.,
,
Geranium sp.,Y
,
Schoenus spp,Y
,
Schoenus apogon,Y
,
Hydrocotyle foveolata,
,
Anagallis arvensis,
,
Ranunculus pimpinellifolius,
,
Oxalis sp (weed),
,
Baumea sp,
,
Cheilanthes austrotenuifolia,Y
,
Geranium spp,Y
,
Cymbonotis sp,
,
Acianthus sp.,Y
,
Erhartia erecta,
,
Entolasia marginata,
,
Juncus spp,
,
Corybas sp.,Y
,
Dichelachne crinita,
,
Acrotriche serrulata,y
,
Laxmannia gracilis,
,
Bossiaea prostrata,y
,
Trifolium sp.,
,
Poa sp (green hairy),
,
Kennedia prostrata,y
,
Dipodium spp,
,
Dipodium punctatum,y
,
Desmodium gunnii,
,
Scuttelaria sp,y
,
Themeda triandra,
,
Pimelea humilis,
,
Arthropodium milleflorum,
,
Comesperma volubile,y
,
Gamochaeta purpurea,
,
Brachyscome spp.,
,
Burchardia umbellata,
,
Stellaria media,
,
Astroloma humifusum,y
,
Elymus repens???,
,
Elymus seaber,
,
Dianella revoluta s.l.,
,
Veronica spp,
,
Veronica plebeia,y
,
Cirsium vulgare,
,
Clematis microphylla,y
,
Medicago spp.,
,
Solanum nigrum,
,
Thysanotus patersonii,
,
Lomandra glauca,
,
Holcus lanatus,
,
Isolepsis marginata,
,
Gamochaeta sp,
,
Gahnia radula,y
,
Pterostylis pedunculata,y
,
Acaena novae-zelan,y
,
Asperula spp.,y
,
Dactylis glomerata,
,
Cassinia aculata,y
,
Dillwynia glaberrima,
,
Pterostylis concinna,y
,
Linaria pelisseriana,
,
Solanum sp.,y
,
Juncus bufonis,
,
Galium sp,
,
Juncus pallidus,
,
Lolium perenne,
,
Lolium spp.,
,
Sporobolus sp.,
,
Eragrostis sp. (Native),
,
Ranunculus pimelo sp pimelo,
,
Trifolium repens,
,
Bursaria spinosa,
,
Solenogyne sp.,
,
Carpobrotus spp.,
,
Acetosella vulgaris,
,
Centrolepsis strigosa,
,
Rumex sp.,
,
Kunzea ericoides,y
,
Viola betonicifolia,y
,
Solenogyne dominii,
,
Viola sp.,y
,
Viola hederaceae,y
,
Plantago coronopus,
,
Wurmbea dioica,
,
Opercularia varia,
,
Acacia mearnsii,y
,
Petrorhagia dubia,
,
Petrorhagia spp.,
,
Acacia melanoxylon,y
,
Acacia implexa,y
,
Cassinia longifolia,y
,
Wahlenbergia gracilenta,y
,
Microtis sp.,
,
Dianella caerulea,y
,
Mentha australis,
,
Exocarpus cupressiformis,y
,
Cyperus spp,
,
Juncus subsecundus,
,
Centella cordifolia,
,
Acaena ovina,y
,
Lobelia spp.,
,
Phalaris spp.,
