"Tree.Number","Plot","Treatment","Large","Alive.at.year.6","DBH.year.0","DBH.year.6","Class.year.0","Class.year.6","Hollows.Class.1.year.0","Hollows.Class.2.year.0","Hollows.Class.3.year.0","Hollows.Class.1.year.6","Hollows.Class.2.year.6","Hollows.Class.3.year.6","Tree.growth"
42,8,"T1: Gap","Yes","Yes",42.7,40,5,4,"0.0","0.0","0.0","0.0",0,0,-2.7
58,8,"T1: Gap","Yes","Yes",52,43.9,6,5,"0.0","0.0","0.0","0.0",0,0,-8.1
301,4,"Control","Yes","Yes",36.6,36,4,4,"0.0","0.0","0.0","1.0",0,0,-0.600000000000001
303,4,"Control","Yes","Yes",50.9,50.08,6,6,"0.0","0.0","0.0","0.0",0,0,-0.82
68,12,"T1: Gap","Yes","Yes",36,34,4,4,"0.0","0.0","0.0","0.0",0,0,-2
69,12,"T1: Gap","Yes","Yes",35,34.8,4,4,"0.0","0.0","0.0","0.0",0,0,-0.200000000000003
986,5,"T2: Radial","","Yes",46.2,44.5,5,5,"","","","",NA,NA,-1.7
187,5,"T2: Radial","Yes","Yes",63.7,63.1,7,7,"1.0","0.0","0.0","0.0",0,0,-0.600000000000001
172,5,"T2: Radial","Yes","Yes",39.7,32.9,4,4,"0.0","0.0","0.0","0.0",0,0,-6.8
176,5,"T2: Radial","Yes","Yes",81.8,80.7,NA,NA,"0.0","0.0","4.0","2.0",1,4,-1.09999999999999
227,2,"Control","Yes","Yes",42.9718346348117,41.6,5,5,"0.0","0.0","0.0","0.0",NA,NA,-1.37183463481174
233,2,"Control","Yes","Yes",39.47042588679,37.8,4,4,"1.0","0.0","0.0","0.0",NA,NA,-1.67042588679005
223,2,"Control","Yes","Yes",40.1070456591576,39.9,5,4,"1.0","0.0","0.0","0.0",NA,NA,-0.207045659157629
239,2,"Control","Yes","Yes",36.9239467973197,36.4,4,4,"0.0","0.0","0.0","0.0",NA,NA,-0.523946797319724
231,2,"Control","Yes","Yes",42.0169049762604,39.9,5,4,"0.0","0.0","0.0","0.0",NA,NA,-2.11690497626037
549,3,"T2: Radial","","Yes",27.3,27.3,3,3,"","","","0.0",0,0,0
29,1,"T1: Gap","Yes","Yes",38,38,4,4,"0","0.0","0.0","Yes",NA,NA,0
36,1,"T1: Gap","Yes","Yes",41.5,40.5,5,5,"0","0.0","1.0","0",NA,NA,-1
14,10,"T1: Gap","Yes","Yes",42,41.4,5,5,"0.0","0.0","0.0","0.0",0,0,-0.600000000000001
154,6,"Control","Yes","Yes",49.6,49.5,5,5,"0","0.0","0.0","0",0,0,-0.100000000000001
610,11,"Control","Yes","Yes",37,35.4,4,4,"0.0","0.0","0.0","0.0",0,0,-1.6
612,11,"Control","Yes","Yes",36.2,36,4,4,"0.0","0.0","0.0","0.0",0,0,-0.200000000000003
613,11,"Control","Yes","Yes",35,33.4,4,4,"0.0","0.0","0.0","0.0",0,0,-1.6
112,11,"Control","Yes","Yes",34,34,4,4,"0.0","0.0","0.0","0.0",0,0,0
603,11,"Control","Yes","Yes",38,37.8,4,4,"0.0","0.0","0.0","0.0",0,0,-0.200000000000003
602,11,"Control","Yes","Yes",34.5,33.2,4,4,"0.0","0.0","0.0","0.0",0,0,-1.3
606,11,"Control","Yes","Yes",38,38,4,4,"0.0","0.0","0.0","0.0",0,0,0
114,11,"Control","Yes","Yes",39.8,39.1,4,4,"0.0","0.0","0.0","0.0",0,0,-0.699999999999996
448,11,"Control","No","Yes",23.8,23.6,3,3,"","","","0.0",0,0,-0.199999999999999
455,11,"Control","No","Yes",28.4,27.8,3,3,"","","","0.0",0,0,-0.599999999999998
458,11,"Control","No","Yes",32.5,32.3,4,4,"0.0","0.0","0.0","0.0",0,0,-0.200000000000003
