Tree Number,Plot,Treatment,Large,Alive at year 6,DBH year 0,DBH year 6,Class year 0,Class year 6,Hollows Class 1 year 0,Hollows Class 2 year 0,Hollows Class 3 year 0,Hollows Class 1 year 6,Hollows Class 2 year 6,Hollows Class 3 year 6
610,11,Control,Yes,Yes,37.0,35.4,4,4,0.0,0.0,0.0,0.0,0.0,0.0
612,11,Control,Yes,Yes,36.2,36.0,4,4,0.0,0.0,0.0,0.0,0.0,0.0
613,11,Control,Yes,Yes,35.0,33.4,4,4,0.0,0.0,0.0,0.0,0.0,0.0
614,11,Control,Yes,Yes,35.2,35.8,4,4,0.0,0.0,0.0,0.0,0.0,0.0
112,11,Control,Yes,Yes,34.0,34.0,4,4,0.0,0.0,0.0,0.0,0.0,0.0
115,11,Control,Yes,Yes,33.5,35.3,4,4,0.0,0.0,0.0,0.0,0.0,0.0
615,11,Control,Yes,Yes,34.4,35.5,4,4,0.0,0.0,0.0,0.0,0.0,0.0
111,11,Control,Yes,Yes,39.6,41.1,4,5,0.0,0.0,0.0,1.0,0.0,0.0
603,11,Control,Yes,Yes,38.0,37.8,4,4,0.0,0.0,0.0,0.0,0.0,0.0
602,11,Control,Yes,Yes,34.5,33.2,4,4,0.0,0.0,0.0,0.0,0.0,0.0
604,11,Control,Yes,Yes,33.5,34.0,4,4,0.0,0.0,0.0,0.0,0.0,0.0
605,11,Control,Yes,Yes,33.4,33.6,4,4,0.0,0.0,0.0,0.0,0.0,0.0
606,11,Control,Yes,Yes,38.0,38.0,4,4,0.0,0.0,0.0,0.0,0.0,0.0
114,11,Control,Yes,Yes,39.8,39.1,4,4,0.0,0.0,0.0,0.0,0.0,0.0
608,11,Control,Yes,Yes,33.5,34.0,4,4,0.0,0.0,0.0,0.0,0.0,0.0
607,11,Control,Yes,Yes,33.0,34.0,4,4,0.0,0.0,0.0,0.0,0.0,0.0
609,11,Control,Yes,Yes,37.0,38.5,4,4,0.0,0.0,0.0,0.0,0.0,0.0
113,11,Control,Yes,Yes,37.0,37.3,4,4,0.0,0.0,0.0,0.0,0.0,0.0
601,11,Control,Yes,Yes,36.1,37.2,4,4,0.0,0.0,0.0,0.0,0.0,0.0
441,11,Control,No,Yes,24.9,25.0,3,3,,,,0.0,0.0,0.0
442,11,Control,No,Yes,20.1,20.3,3,3,,,,0.0,0.0,0.0
444,11,Control,No,Yes,22.4,24.2,3,3,,,,0.0,0.0,0.0
448,11,Control,No,Yes,23.8,23.6,3,3,,,,0.0,0.0,0.0
449,11,Control,No,Yes,25.8,26.3,3,3,,,,0.0,0.0,0.0
451,11,Control,No,Yes,26.7,27.7,3,3,,,,0.0,0.0,0.0
452,11,Control,No,Yes,28.5,30.0,3,3,,,,,,
454,11,Control,No,Yes,26.2,26.7,3,3,0.0,0.0,0.0,0.0,0.0,0.0
455,11,Control,No,Yes,28.4,27.8,3,3,,,,0.0,0.0,0.0
457,11,Control,No,Yes,27.2,28.3,3,3,,,,0.0,0.0,0.0
443,11,Control,No,Yes,34.8,35.5,4,4,0.0,0.0,0.0,0.0,0.0,0.0
445,11,Control,No,Yes,36.4,38.5,4,4,0.0,0.0,0.0,0.0,0.0,0.0
446,11,Control,No,Yes,34.5,34.9,4,4,0.0,0.0,1.0,0.0,0.0,0.0
447,11,Control,No,Yes,31.1,32.2,4,4,0.0,0.0,0.0,0.0,0.0,0.0
450,11,Control,No,Yes,33.3,34.0,4,4,0.0,0.0,0.0,0.0,0.0,0.0
453,11,Control,No,Yes,31.4,33.4,4,4,0.0,0.0,0.0,0.0,0.0,0.0
456,11,Control,No,Yes,31.5,33.8,4,4,0.0,0.0,0.0,0.0,0.0,0.0
458,11,Control,No,Yes,32.5,32.3,4,4,0.0,0.0,0.0,0.0,0.0,0.0
459,11,Control,No,Yes,32.1,33.8,4,4,0.0,0.0,0.0,0.0,0.0,0.0
460,11,Control,No,,33.1,33.9,4,4,0.0,0.0,0.0,0.0,0.0,0.0
110,11,Control,Yes,Yes,,36.7,,4,,,,0.0,0.0,0.0
