Tree Number,Plot,Treatment,Large,Alive at year 6,DBH year 0,DBH year 6,Class year 0,Class year 6,Hollows Class 1 year 0,Hollows Class 2 year 0,Hollows Class 3 year 0,Hollows Class 1 year 6,Hollows Class 2 year 6,Hollows Class 3 year 6
151,6,Control,Yes,Yes,40.0,41.1,4,5,0,0.0,0.0,0,0.0,0.0
152,6,Control,Yes,Yes,39.9,40.8,4,5,0,0.0,0.0,0,0.0,0.0
153,6,Control,Yes,Yes,43.4,44.0,5,5,0,0.0,0.0,0,0.0,0.0
154,6,Control,Yes,Yes,49.6,49.5,5,5,0,0.0,0.0,0,0.0,0.0
155,6,Control,Yes,Yes,50.7,52.6,6,6,0,0.0,0.0,0,0.0,0.0
156,6,Control,Yes,Yes,42.2,43.1,5,5,0,0.0,0.0,,,
157,6,Control,Yes,Yes,48.0,49.5,5,5,0,0.0,0.0,0,0.0,0.0
158,6,Control,Yes,Yes,41.2,42.7,5,5,0,0.0,0.0,0,0.0,0.0
159,6,Control,Yes,Yes,43.5,44.1,5,5,0,0.0,0.0,0,0.0,0.0
160,6,Control,Yes,Yes,52.5,52.7,6,6,0,2.0,3.0,Yes,,
161,6,Control,Yes,Yes,39.8,40.2,4,5,0,0.0,0.0,0,0.0,0.0
162,6,Control,Yes,Yes,48.0,48.7,5,5,0,0.0,0.0,0,0.0,0.0
163,6,Control,Yes,Yes,38.2,39.8,4,4,0,0.0,0.0,0,0.0,0.0
164,6,Control,Yes,Yes,38.5,40.0,4,4,0,0.0,0.0,0,0.0,0.0
935,6,Control,Yes,Yes,39.5,41.9,4,5,0,0.0,0.0,0,0.0,0.0
166,6,Control,Yes,Yes,46.6,47.8,5,5,0,0.0,0.0,0,0.0,0.0
167,6,Control,Yes,Yes,42.6,44.4,5,5,0,0.0,0.0,0,0.0,0.0
168,6,Control,Yes,Yes,45.2,48.0,5,5,0,0.0,0.0,0,0.0,0.0
169,6,Control,Yes,Yes,46.3,49.9,5,5,0,0.0,0.0,0,0.0,0.0
170,6,Control,Yes,Yes,41.8,43.2,5,5,0,0.0,0.0,0,0.0,0.0
483,6,Control,No,Yes,25.5,27.1,3,3,,,,0,0.0,0.0
484,6,Control,No,Yes,22.2,22.5,3,3,,,,0,0.0,0.0
486,6,Control,No,Yes,25.4,25.5,3,3,,,,0,0.0,0.0
487,6,Control,No,Yes,28.0,28.5,3,3,,,,0,0.0,0.0
489,6,Control,No,Yes,25.4,26.2,3,3,,,,0,0.0,0.0
491,6,Control,No,Yes,23.6,24.1,3,3,,,,0,0.0,0.0
492,6,Control,No,Yes,21.9,22.1,3,3,,,,0,0.0,0.0
493,6,Control,No,Yes,23.1,23.8,3,3,,,,0,0.0,0.0
497,6,Control,No,Yes,22.6,22.8,3,3,,,,0,0.0,0.0
499,6,Control,No,Yes,28.3,29.2,3,3,,,,0,0.0,0.0
481,6,Control,No,Yes,36.1,37.0,4,4,0,0.0,0.0,0,0.0,0.0
482,6,Control,No,Yes,32.0,33.7,4,4,0,0.0,0.0,0,0.0,0.0
485,6,Control,No,Yes,35.5,36.7,4,4,0,0.0,0.0,,,
488,6,Control,No,Yes,34.0,35.8,4,4,0,0.0,0.0,0,0.0,0.0
490,6,Control,No,Yes,34.4,35.3,4,4,0,0.0,0.0,,,
494,6,Control,No,Yes,31.1,31.5,4,4,0,0.0,0.0,0,0.0,0.0
495,6,Control,No,Yes,35.3,36.6,4,4,0,0.0,0.0,0,0.0,0.0
496,6,Control,No,Yes,34.7,39.7,4,4,0,0.0,0.0,0,0.0,0.0
498,6,Control,No,Yes,33.5,33.9,4,4,0,0.0,0.0,0,0.0,0.0
500,6,Control,No,Yes,36.8,38.7,4,4,0,0.0,0.0,0,0.0,0.0
