"Tree.Number","Plot","Treatment","Large","Alive.at.year.6","DBH.year.0","DBH.year.6","Class.year.0","Class.year.6","Hollows.Class.1.year.0","Hollows.Class.2.year.0","Hollows.Class.3.year.0","Hollows.Class.1.year.6","Hollows.Class.2.year.6","Hollows.Class.3.year.6","Tree.growth"
244,8,"T1: Gap","Yes","Yes",52.9,54.9,6,6,0,0,0,"1",0,0,2
46,8,"T1: Gap","Yes","Yes",57.7,57.8,6,6,0,1,0,"0",0,0,0.0999999999999943
48,8,"T1: Gap","Yes","Yes",45.4,48,5,5,0,0,1,"0",0,1,2.6
574,4,"Control","No","Yes",30.1,31.3,4,4,1,0,0,"0",0,0,1.2
301,4,"Control","Yes","Yes",36.6,36,4,4,0,0,0,"1",0,0,-0.600000000000001
307,4,"Control","Yes","Yes",31.8,32.8,4,4,0,0,0,"0",0,1,0.999999999999996
314,4,"Control","Yes","Yes",44.1,45.5,5,5,0,0,1,"0",0,0,1.4
312,4,"Control","Yes","Yes",33.4,34.2,4,4,0,0,0,"0",0,1,0.800000000000004
77,12,"T1: Gap","Yes","Yes",63.7,68.5,7,7,1,1,1,"1",1,1,4.8
124,12,"T1: Gap","No","Yes",34,36,4,4,1,0,0,"0",0,0,2
187,5,"T2: Radial","Yes","Yes",63.7,63.1,7,7,1,0,0,"0",0,0,-0.600000000000001
174,5,"T2: Radial","Yes","Yes",99.3,100,NA,NA,1,1,7,"2",1,7,0.700000000000003
176,5,"T2: Radial","Yes","Yes",81.8,80.7,NA,NA,0,0,4,"2",1,4,-1.09999999999999
177,5,"T2: Radial","Yes","Yes",52.2,52.8,6,6,2,4,2,"2",5,0,0.599999999999994
179,5,"T2: Radial","Yes","Yes",51.9,52.7,6,6,7,2,2,"1",1,2,0.800000000000004
186,5,"T2: Radial","Yes","Yes",57.3,60.8,6,7,3,0,1,"2",0,2,3.5
403,9,"T2: Radial","No","Yes",33,35,4,4,1,0,0,"0",0,0,2
409,9,"T2: Radial","No","Yes",37.2,41,4,5,0,0,0,"Yes",0,0,3.8
94,9,"T2: Radial","Yes","Yes",32.6,38.1,4,4,1,0,0,"0",0,0,5.5
233,2,"Control","Yes","Yes",39.47042588679,37.8,4,4,1,0,0,"0",0,0,-1.67042588679005
223,2,"Control","Yes","Yes",40.1070456591576,39.9,5,4,1,0,0,"0",0,0,-0.207045659157629
529,2,"Control","No","Yes",32.1,32.6,4,4,0,0,1,"0",0,0,0.5
243,3,"T2: Radial","Yes","Yes",38.2,41.8,4,5,0,0,1,"0",0,0,3.59999999999999
556,3,"T2: Radial","No","Yes",35.3,37.4,4,4,0,0,0,"1",0,0,2.1
24,1,"T1: Gap","Yes","Yes",38,39.1,4,4,0,0,1,"Yes",0,0,1.1
27,1,"T1: Gap","Yes","Yes",43.5,43.8,5,5,0,1,1,"0",0,0,0.299999999999997
29,1,"T1: Gap","Yes","Yes",38,38,4,4,0,0,0,"Yes",0,0,0
30,1,"T1: Gap","Yes","Yes",49.5,50.5,5,6,1,0,0,"0",0,0,1
34,1,"T1: Gap","Yes","Yes",54,60.2,6,7,1,0,0,"0",0,0,6.2
36,1,"T1: Gap","Yes","Yes",41.5,40.5,5,5,0,0,1,"0",0,0,-1
516,1,"T1: Gap","No","Yes",31.6,32.3,4,4,0,1,0,"Yes",0,0,0.699999999999996
329,10,"T1: Gap","No","Yes",31.7,35.1,4,4,3,0,0,"0",0,0,3.4
160,6,"Control","Yes","Yes",52.5,52.7,6,6,0,2,3,"Yes",0,0,0.200000000000003
206,7,"T2: Radial","Yes","Yes",40.8,42.3352148624442,5,5,0,0,1,"0",0,0,1.53521486244416
434,7,"T2: Radial","No","Yes",30.9,33.422538049298,4,4,0,0,0,"1",0,0,2.52253804929802
111,11,"Control","Yes","Yes",39.6,41.1,4,5,0,0,0,"1",0,0,1.5
446,11,"Control","No","Yes",34.5,34.9,4,4,0,0,1,"0",0,0,0.399999999999999
