Tree Number,Plot,Treatment,Large,Alive at year 6,DBH year 0,DBH year 6,Class year 0,Class year 6,Hollows Class 1 year 0,Hollows Class 2 year 0,Hollows Class 3 year 0,Hollows Class 1 year 6,Hollows Class 2 year 6,Hollows Class 3 year 6
60,8,T1: Gap,Yes,Yes,42.9,45.2,5,5,0.0,0.0,0.0,0.0,0.0,0.0
59,8,T1: Gap,Yes,Yes,44.0,48.9,5,5,0.0,0.0,0.0,0.0,0.0,0.0
54,8,T1: Gap,Yes,Yes,43.6,44.2,5,5,0.0,0.0,0.0,0.0,0.0,0.0
55,8,T1: Gap,Yes,Yes,50.2,53.3,6,6,0.0,0.0,0.0,0.0,0.0,0.0
244,8,T1: Gap,Yes,Yes,52.9,54.9,6,6,0.0,0.0,0.0,1.0,0.0,0.0
51,8,T1: Gap,Yes,Yes,36.8,38.9,4,4,0.0,0.0,0.0,0.0,0.0,0.0
50,8,T1: Gap,Yes,Yes,45.0,47.0,5,5,0.0,0.0,0.0,0.0,0.0,0.0
49,8,T1: Gap,Yes,Yes,35.3,38.7,4,4,0.0,0.0,0.0,0.0,0.0,0.0
53,8,T1: Gap,Yes,Yes,40.4,42.5,5,5,0.0,0.0,0.0,0.0,0.0,0.0
42,8,T1: Gap,Yes,Yes,42.7,40.0,5,4,0.0,0.0,0.0,0.0,0.0,0.0
41,8,T1: Gap,Yes,Yes,51.5,53.2,6,6,0.0,0.0,0.0,0.0,0.0,0.0
43,8,T1: Gap,Yes,Yes,43.0,43.8,5,5,0.0,0.0,0.0,0.0,0.0,0.0
44,8,T1: Gap,Yes,Yes,41.4,42.0,5,5,0.0,0.0,0.0,0.0,0.0,0.0
46,8,T1: Gap,Yes,Yes,57.7,57.8,6,6,0.0,1.0,0.0,0.0,0.0,0.0
47,8,T1: Gap,Yes,Yes,44.8,45.8,5,5,0.0,0.0,0.0,0.0,0.0,0.0
48,8,T1: Gap,Yes,Yes,45.4,48.0,5,5,0.0,0.0,1.0,0.0,0.0,1.0
45,8,T1: Gap,Yes,Yes,39.0,40.5,4,5,0.0,0.0,0.0,,,
57,8,T1: Gap,Yes,Yes,46.0,49.3,5,5,0.0,0.0,0.0,0.0,0.0,0.0
56,8,T1: Gap,Yes,Yes,40.0,42.0,4,5,0.0,0.0,0.0,0.0,0.0,0.0
58,8,T1: Gap,Yes,Yes,52.0,43.9,6,5,0.0,0.0,0.0,0.0,0.0,0.0
270,8,T1: Gap,No,Yes,28.0,29.8,3,3,0.0,0.0,0.0,0.0,0.0,0.0
271,8,T1: Gap,No,Yes,28.1,30.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0
272,8,T1: Gap,No,Yes,25.1,27.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0
278,8,T1: Gap,No,Yes,24.8,25.2,3,3,0.0,0.0,0.0,,,
249,8,T1: Gap,No,Yes,25.3,28.2,3,3,0.0,0.0,0.0,0.0,0.0,0.0
281,8,T1: Gap,No,Yes,26.6,28.3,3,3,0.0,0.0,0.0,0.0,0.0,0.0
282,8,T1: Gap,No,Yes,26.4,27.9,3,3,0.0,0.0,0.0,0.0,0.0,0.0
284,8,T1: Gap,No,Yes,28.7,30.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0
286,8,T1: Gap,No,Yes,26.8,27.7,3,3,0.0,0.0,0.0,,,
287,8,T1: Gap,No,Yes,25.5,26.3,3,3,0.0,0.0,0.0,0.0,0.0,0.0
269,8,T1: Gap,No,Yes,33.7,36.1,4,4,0.0,0.0,0.0,0.0,0.0,0.0
