Tree Number,Plot,Treatment,Large,Alive at year 6,DBH year 0,DBH year 6,Class year 0,Class year 6,Hollows Class 1 year 0,Hollows Class 2 year 0,Hollows Class 3 year 0,Hollows Class 1 year 6,Hollows Class 2 year 6,Hollows Class 3 year 6
225,2,Control,Yes,Yes,36.60563691113593,52.0,4,6,0.0,0.0,0.0,0.0,,
226,2,Control,Yes,Yes,35.96901713876835,36.6,4,4,0.0,0.0,0.0,0.0,,
228,2,Control,Yes,Yes,42.01690497626037,43.7,5,5,0.0,0.0,0.0,0.0,,
227,2,Control,Yes,Yes,42.97183463481174,41.6,5,5,0.0,0.0,0.0,0.0,,
229,2,Control,Yes,Yes,38.515496228238675,43.3,4,5,0.0,0.0,0.0,0.0,,
232,2,Control,Yes,Yes,40.42535554534142,41.7,5,5,0.0,0.0,0.0,0.0,,
233,2,Control,Yes,Yes,39.470425886790046,37.8,4,4,1.0,0.0,0.0,0.0,,
235,2,Control,Yes,Yes,49.01972247230376,51.0,5,6,0.0,0.0,0.0,0.0,,
236,2,Control,Yes,Yes,42.65352474862795,43.2,5,5,0.0,0.0,0.0,0.0,,
237,2,Control,Yes,Yes,44.245074179546904,46.0,5,5,0.0,0.0,0.0,0.0,,
224,2,Control,Yes,Yes,38.515496228238675,40.2,4,5,0.0,0.0,0.0,0.0,,
222,2,Control,Yes,Yes,40.42535554534142,42.4,5,5,0.0,0.0,0.0,0.0,,
223,2,Control,Yes,Yes,40.10704565915763,39.9,5,4,1.0,0.0,0.0,0.0,,
239,2,Control,Yes,Yes,36.92394679731972,36.4,4,4,0.0,0.0,0.0,0.0,,
238,2,Control,Yes,Yes,38.515496228238675,39.2,4,4,0.0,0.0,0.0,0.0,,
221,2,Control,Yes,Yes,37.24225668350351,38.9,4,4,0.0,0.0,0.0,0.0,,
231,2,Control,Yes,Yes,42.01690497626037,39.9,5,4,0.0,0.0,0.0,0.0,,
234,2,Control,Yes,Yes,37.5605665696873,39.2,4,4,0.0,0.0,0.0,0.0,,
240,2,Control,Yes,Yes,36.92394679731972,38.3,4,4,0.0,0.0,0.0,,,
230,2,Control,Yes,Yes,34.0591578216656,34.1,4,4,0.0,0.0,0.0,0.0,,
521,2,Control,No,Yes,25.3,26.6,3,3,,,,0.0,,
523,2,Control,No,Yes,22.5,23.7,3,3,,,,0.0,,
524,2,Control,No,Yes,23.5,25.0,3,3,,,,0.0,,
526,2,Control,No,Yes,21.5,21.8,3,3,,,,0.0,,
528,2,Control,No,Yes,24.0,24.5,3,3,,,,0.0,,
531,2,Control,No,Yes,28.1,28.6,3,3,,,,0.0,,
532,2,Control,No,Yes,24.3,24.8,3,3,,,,0.0,,
533,2,Control,No,Yes,29.5,30.0,3,3,,,,0.0,,
534,2,Control,No,Yes,27.0,27.8,3,3,,,,0.0,,
537,2,Control,No,Yes,25.5,26.2,3,3,,,,0.0,,
522,2,Control,No,Yes,34.3,35.7,4,4,0.0,0.0,0.0,0.0,,
525,2,Control,No,Yes,33.6,35.3,4,4,0.0,0.0,0.0,0.0,,
527,2,Control,No,Yes,32.2,33.7,4,4,0.0,0.0,0.0,0.0,,
529,2,Control,No,Yes,32.1,32.6,4,4,0.0,0.0,1.0,0.0,,
530,2,Control,No,Yes,31.8,32.6,4,4,0.0,0.0,0.0,0.0,,
535,2,Control,No,Yes,30.7,32.3,4,4,0.0,0.0,0.0,0.0,,
536,2,Control,No,Yes,33.3,34.1,4,4,0.0,0.0,0.0,0.0,,
538,2,Control,No,Yes,31.0,31.4,4,4,0.0,0.0,0.0,0.0,,
539,2,Control,No,Yes,30.9,31.2,4,4,0.0,0.0,0.0,0.0,,
540,2,Control,No,Yes,33.2,34.5,4,4,0.0,0.0,0.0,0.0,,
