Tree Number,Plot,Treatment,Large,Alive at year 6,DBH year 0,DBH year 6,Class year 0,Class year 6,Hollows Class 1 year 0,Hollows Class 2 year 0,Hollows Class 3 year 0,Hollows Class 1 year 6,Hollows Class 2 year 6,Hollows Class 3 year 6
562,4,Control,,Yes,23.6,23.9,3,3,,,,0.0,0.0,0.0
563,4,Control,,Yes,29.8,31.2,3,4,,,,0.0,0.0,0.0
564,4,Control,,Yes,25.0,26.3,3,3,,,,0.0,0.0,0.0
567,4,Control,,Yes,29.8,30.9,3,4,,,,0.0,0.0,0.0
568,4,Control,,Yes,23.1,23.6,3,3,,,,0.0,0.0,0.0
570,4,Control,,Yes,22.0,22.5,3,3,,,,0.0,0.0,0.0
576,4,Control,,Yes,22.4,22.8,3,3,,,,0.0,0.0,0.0
577,4,Control,,Yes,25.8,26.5,3,3,,,,0.0,0.0,0.0
578,4,Control,,Yes,25.2,26.1,3,3,,,,0.0,0.0,0.0
579,4,Control,,Yes,29.5,31.0,3,4,,,,0.0,0.0,0.0
565,4,Control,,Yes,32.7,33.8,4,4,0.0,0.0,0.0,0.0,0.0,0.0
566,4,Control,,Yes,32.3,34.2,4,4,0.0,0.0,0.0,0.0,0.0,0.0
569,4,Control,,Yes,31.9,33.2,4,4,0.0,0.0,0.0,0.0,0.0,0.0
571,4,Control,,Yes,35.0,35.4,4,4,0.0,0.0,0.0,0.0,0.0,0.0
572,4,Control,,Yes,31.2,32.3,4,4,0.0,0.0,0.0,0.0,0.0,0.0
573,4,Control,,Yes,32.7,33.6,4,4,0.0,0.0,0.0,0.0,0.0,0.0
574,4,Control,,Yes,30.1,31.3,4,4,1.0,0.0,0.0,0.0,0.0,0.0
575,4,Control,,Yes,32.2,33.0,4,4,0.0,0.0,0.0,0.0,0.0,0.0
580,4,Control,,Yes,35.5,35.6,4,4,0.0,0.0,0.0,0.0,0.0,0.0
581,4,Control,,Yes,33.6,33.9,4,4,0.0,0.0,0.0,0.0,0.0,0.0
301,4,Control,Yes,Yes,36.6,36.0,4,4,0.0,0.0,0.0,1.0,0.0,0.0
302,4,Control,Yes,Yes,32.5,33.0,4,4,0.0,0.0,0.0,0.0,0.0,0.0
303,4,Control,Yes,Yes,50.9,50.08,6,6,0.0,0.0,0.0,0.0,0.0,0.0
304,4,Control,Yes,Yes,32.1,33.1,4,4,0.0,0.0,0.0,0.0,0.0,0.0
305,4,Control,Yes,Yes,33.9,36.0,4,4,0.0,0.0,0.0,0.0,0.0,0.0
306,4,Control,Yes,Yes,35.7,37.3,4,4,0.0,0.0,0.0,0.0,0.0,0.0
307,4,Control,Yes,Yes,31.8,32.8,4,4,0.0,0.0,0.0,0.0,0.0,1.0
308,4,Control,Yes,Yes,32.7,34.8,4,4,0.0,0.0,0.0,0.0,0.0,0.0
320,4,Control,Yes,Yes,32.2,33.7,4,4,0.0,0.0,0.0,0.0,0.0,0.0
309,4,Control,Yes,Yes,44.2,45.1,5,5,0.0,0.0,0.0,0.0,0.0,0.0
313,4,Control,Yes,Yes,38.2,38.5,4,4,0.0,0.0,0.0,0.0,0.0,0.0
311,4,Control,Yes,Yes,42.9,43.9,5,5,0.0,0.0,0.0,0.0,0.0,0.0
314,4,Control,Yes,Yes,44.1,45.5,5,5,0.0,0.0,1.0,0.0,0.0,0.0
315,4,Control,Yes,Yes,34.4,35.4,4,4,0.0,0.0,0.0,0.0,0.0,0.0
310,4,Control,Yes,Yes,31.8,32.8,4,4,0.0,0.0,0.0,0.0,0.0,0.0
316,4,Control,Yes,Yes,33.6,35.1,4,4,0.0,0.0,0.0,0.0,0.0,0.0
317,4,Control,Yes,Yes,35.6,37.5,4,4,0.0,0.0,0.0,0.0,0.0,0.0
318,4,Control,Yes,Yes,35.4,36.6,4,4,0.0,0.0,0.0,0.0,0.0,0.0
319,4,Control,Yes,Yes,35.7,36.6,4,4,0.0,0.0,0.0,0.0,0.0,0.0
312,4,Control,Yes,Yes,33.4,34.2,4,4,0.0,0.0,0.0,0.0,0.0,1.0
