Plot_treatment,Plot_number,Quadrat_number,Year_monitoring,Record_ID
Control,2,1,0,18
Control,2,1,3,41
Control,2,1,6,13
Control,2,2,0,20
Control,2,2,3,62
Control,2,2,6,23
Control,2,3,0,17
Control,2,3,3,23
Control,2,3,6,20
Control,2,4,0,17
Control,2,4,3,16
Control,2,4,6,13
Control,2,5,0,12
Control,2,5,3,16
Control,2,5,6,12
Control,2,6,0,22
Control,2,6,3,13
Control,2,6,6,25
Control,2,7,0,20
Control,2,7,3,17
Control,2,7,6,21
Control,2,8,0,17
Control,2,8,3,12
Control,2,8,6,14
Control,2,9,0,13
Control,2,9,3,6
Control,2,9,6,16
Control,2,10,0,19
Control,2,10,3,15
Control,2,10,6,16
Control,2,11,0,17
Control,2,11,3,16
Control,2,11,6,17
Control,2,12,0,12
Control,2,12,3,22
Control,2,12,6,15
Control,2,13,0,12
Control,2,13,3,14
Control,2,13,6,12
Control,2,14,0,15
Control,2,14,3,19
Control,2,14,6,15
Control,2,15,0,10
Control,2,15,3,12
Control,2,15,6,18
Control,2,16,0,13
Control,2,16,3,12
Control,2,16,6,14
Control,4,1,0,19
Control,4,1,3,30
Control,4,1,6,14
Control,4,2,0,18
Control,4,2,3,27
Control,4,2,6,12
Control,4,3,0,12
Control,4,3,3,23
Control,4,3,6,9
Control,4,4,0,14
Control,4,4,3,29
Control,4,4,6,14
Control,4,5,0,23
Control,4,5,3,28
Control,4,5,6,10
Control,4,6,0,16
Control,4,6,3,32
Control,4,6,6,12
Control,4,7,0,11
Control,4,7,3,31
Control,4,7,6,13
Control,4,8,0,15
Control,4,8,3,15
Control,4,8,6,11
Control,4,9,0,7
Control,4,9,3,25
Control,4,9,6,11
Control,4,10,0,16
Control,4,10,3,31
Control,4,10,6,10
Control,4,11,0,11
Control,4,11,3,22
Control,4,11,6,11
Control,4,12,0,11
Control,4,12,3,27
Control,4,12,6,12
Control,4,13,0,10
Control,4,13,3,27
Control,4,13,6,9
Control,4,14,0,14
Control,4,14,3,36
Control,4,14,6,14
Control,4,15,0,14
Control,4,15,3,24
Control,4,15,6,12
Control,4,16,0,10
Control,4,16,3,30
Control,4,16,6,9
Control,4,17,0,7
Control,4,17,3,10
Control,4,17,6,9
Control,4,18,0,14
Control,4,18,3,15
Control,4,18,6,15
Control,4,19,0,9
Control,4,19,3,14
Control,4,19,6,11
Control,4,20,0,10
Control,4,20,3,13
Control,4,20,6,13
Control,4,21,0,14
Control,4,21,3,11
Control,4,21,6,13
Control,4,22,0,17
Control,4,22,3,15
Control,4,22,6,15
Control,4,23,0,9
Control,4,23,3,15
Control,4,23,6,6
Control,4,24,0,8
Control,4,24,3,14
Control,4,24,6,8
Control,4,25,0,11
Control,4,25,3,14
Control,4,25,6,16
Control,4,26,0,16
Control,4,26,3,16
Control,4,26,6,15
Control,4,27,0,17
Control,4,27,3,15
Control,4,27,6,14
Control,4,28,0,8
Control,4,28,3,11
Control,4,28,6,9
Control,4,29,0,12
Control,4,29,3,15
Control,4,29,6,9
Control,4,30,0,8
