Plot_treatment,Plot_number,Quadrat_number,Year_monitoring,Scientific Name,Score
Control,2,1,0,Aira spp.,[0.5]
Control,2,1,0,Anagallis arvensis,[0.5]
Control,2,1,0,Centaurium erythraea,[0.5]
Control,2,1,0,Cotula australis,[0.5]
Control,2,1,0,Dichondra repens,[1.0]
Control,2,1,0,Geranium sp. 1,[0.5]
Control,2,1,0,Glycine clandestina,[0.5]
Control,2,1,0,Hydrocotyle laxiflora,[0.5]
Control,2,1,0,Hypericum gramineum,[0.5]
Control,2,1,0,Lagenophora gracilis,[0.5]
Control,2,1,0,Lomandra longifolia,[5.0]
Control,2,1,0,Microlaena stipoides var. stipoides,[1.0]
Control,2,1,0,Poa sieberiana,[2.0]
Control,2,1,0,Poranthera microphylla s.l.,[0.5]
Control,2,1,0,Rytidosperma nivicolum,[1.0]
Control,2,1,0,Senecio quadridentatus,[0.5]
Control,2,1,0,Tricoryne elatior,[0.5]
Control,2,1,0,Wahlenbergia gracilis,[0.5]
Control,2,1,3,Acrotriche serrulata,"[1.0, 1.0, 1.0]"
Control,2,1,3,Aira spp.,"[1.0, 1.0, 1.0]"
Control,2,1,3,Anagallis arvensis,"[0.5, 0.5, 0.5]"
Control,2,1,3,Centaurium erythraea,"[2.0, 2.0, 2.0]"
Control,2,1,3,Dichondra repens,"[3.0, 3.0]"
Control,2,1,3,Geranium solanderi s.l.,[0.5]
Control,2,1,3,Geranium sp. 1,"[0.5, 0.5]"
Control,2,1,3,Glycine clandestina,"[0.5, 0.5, 0.5]"
Control,2,1,3,Hypochoeris radicata,"[1.0, 1.0, 1.0]"
Control,2,1,3,Lagenophora gracilis,[0.5]
Control,2,1,3,Lomandra longifolia,"[4.0, 4.0, 4.0]"
Control,2,1,3,Microlaena stipoides var. stipoides,"[1.0, 1.0, 1.0]"
Control,2,1,3,Poa sieberiana,"[2.0, 2.0, 2.0]"
Control,2,1,3,Poranthera microphylla s.l.,"[0.5, 0.5, 0.5]"
Control,2,1,3,Senecio pinnatifolius,"[0.5, 0.5]"
Control,2,1,3,Senecio quadridentatus,[0.5]
Control,2,1,3,Senecio tenuiflorus spp. agg.,"[0.5, 0.5]"
Control,2,1,6,Aira spp.,[0.5]
Control,2,1,6,Anagallis arvensis,[0.5]
Control,2,1,6,Arthropodium strictum s.l.,[0.5]
Control,2,1,6,Cotula australis,[0.5]
Control,2,1,6,Dichelachne crinita,[0.5]
Control,2,1,6,Dichondra repens,[0.5]
Control,2,1,6,Entolasia marginata,[0.5]
Control,2,1,6,Glycine clandestina,[0.5]
Control,2,1,6,Lomandra longifolia,[7.0]
Control,2,1,6,Microlaena stipoides var. stipoides,[1.0]
Control,2,1,6,Poa sieberiana,[0.5]
Control,2,1,6,Rytidosperma nivicolum,[0.5]
Control,2,1,6,Senecio quadridentatus,[0.5]
Control,2,2,0,Aira spp.,[0.5]
Control,2,2,0,Bossiaea prostrata,[0.5]
Control,2,2,0,Centaurium erythraea,[0.5]
Control,2,2,0,Cheilanthes austrotenuifolia,[0.5]
Control,2,2,0,Conyza sumatrensis,[0.5]
Control,2,2,0,Cotula australis,[0.5]
Control,2,2,0,Daucus glochidiatus,[0.5]
Control,2,2,0,Dichondra repens,[5.0]
Control,2,2,0,Geranium sp. 1,[0.5]
Control,2,2,0,Glycine clandestina,[0.5]
Control,2,2,0,Hydrocotyle laxiflora,[0.5]
Control,2,2,0,Hypericum gramineum,[0.5]
Control,2,2,0,Hypochoeris radicata,[0.5]
Control,2,2,0,Lomandra longifolia,[7.0]
Control,2,2,0,Microlaena stipoides var. stipoides,[2.0]
Control,2,2,0,Oxalis corniculata s.s.,[0.5]
Control,2,2,0,Poa sieberiana,[1.0]
Control,2,2,0,Poranthera microphylla s.l.,[0.5]
Control,2,2,0,Rytidosperma nivicolum,[2.0]
Control,2,2,0,Trifolium dubium,[0.5]
Control,2,2,3,Aira spp.,"[1.0, 1.0, 1.0]"
Control,2,2,3,Anagallis arvensis,"[0.5, 0.5, 0.5]"
Control,2,2,3,Bulbine bulbosa,"[0.5, 0.5, 0.5]"
Control,2,2,3,Centaurium erythraea,"[1.0, 1.0, 1.0]"
Control,2,2,3,Cheilanthes austrotenuifolia,"[0.5, 0.5, 0.5]"
Control,2,2,3,Conyza sumatrensis,"[1.0, 1.0, 1.0]"
Control,2,2,3,Daucus glochidiatus,"[0.5, 0.5, 0.5]"
Control,2,2,3,Dichelachne crinita,"[2.0, 2.0, 2.0]"
Control,2,2,3,Dichondra repens,"[3.0, 3.0, 3.0]"
Control,2,2,3,Ehrharta erecta var. erecta,[0.5]
Control,2,2,3,Geranium solanderi s.l.,[0.5]
Control,2,2,3,Geranium sp. 1,"[0.5, 0.5]"
Control,2,2,3,Glycine clandestina,"[0.5, 0.5, 0.5]"
Control,2,2,3,Hydrocotyle laxiflora,[1.0]
Control,2,2,3,Hypochoeris radicata,"[0.5, 0.5, 0.5]"
Control,2,2,3,Kennedia prostrata,"[0.5, 0.5, 0.5]"
Control,2,2,3,Lomandra longifolia,"[5.0, 5.0, 5.0]"
Control,2,2,3,Luzula meridionalis,"[0.5, 0.5, 0.5]"
Control,2,2,3,Microlaena stipoides var. stipoides,"[1.0, 1.0, 1.0]"
Control,2,2,3,Oxalis corniculata s.s.,"[1.0, 1.0, 1.0]"
Control,2,2,3,Poa sieberiana,"[1.0, 1.0]"
Control,2,2,3,Poa sp. aff. tenera (Hairy),[0.5]
Control,2,2,3,Poranthera microphylla s.l.,"[1.0, 1.0]"
Control,2,2,3,Rytidosperma nivicolum,[0.5]
Control,2,2,3,Senecio pinnatifolius,[2.0]
Control,2,2,3,Senecio quadridentatus,[2.0]
Control,2,2,3,Senecio tenuiflorus spp. agg.,[0.5]
Control,2,2,6,Acrotriche serrulata,[1.0]
Control,2,2,6,Aira spp.,[0.5]
Control,2,2,6,Anagallis arvensis,[0.5]
Control,2,2,6,Arthropodium strictum s.l.,[0.5]
Control,2,2,6,Bossiaea prostrata,[0.5]
Control,2,2,6,Cerastium glomeratum s.l.,[0.5]
Control,2,2,6,Cotula australis,[0.5]
Control,2,2,6,Crassula sieberiana s.l.,[0.5]
Control,2,2,6,Dichondra repens,[0.5]
Control,2,2,6,Entolasia marginata,[1.0]
Control,2,2,6,Euchiton involucratus s.l.,[0.5]
Control,2,2,6,Geranium sp. 1,[0.5]
Control,2,2,6,Glycine clandestina,[0.5]
Control,2,2,6,Hydrocotyle laxiflora,[0.5]
Control,2,2,6,Lagenophora gracilis,[1.0]
Control,2,2,6,Laxmannia gracilis,[0.5]
Control,2,2,6,Lomandra longifolia,[7.0]
Control,2,2,6,Microlaena stipoides var. stipoides,[2.0]
Control,2,2,6,Oxalis perennans,[0.5]
Control,2,2,6,Poa sieberiana,[0.5]
Control,2,2,6,Rytidosperma nivicolum,[0.5]
Control,2,2,6,Senecio quadridentatus,[0.5]
Control,2,2,6,Stellaria flaccida,[0.5]
Control,2,3,0,Aira spp.,[0.5]
Control,2,3,0,Briza minor,[0.5]
Control,2,3,0,Conyza sumatrensis,[0.5]
Control,2,3,0,Cotula australis,[0.5]
Control,2,3,0,Daucus glochidiatus,[0.5]
Control,2,3,0,Dichondra repens,[3.0]
Control,2,3,0,Dipodium punctatum s.l.,[0.5]
Control,2,3,0,Geranium sp. 1,[0.5]
Control,2,3,0,Glycine clandestina,[0.5]
Control,2,3,0,Hypericum gramineum,[0.5]
Control,2,3,0,Imperata cylindrica,[0.5]
Control,2,3,0,Lagenophora gracilis,[0.5]
Control,2,3,0,Lomandra longifolia,[7.0]
Control,2,3,0,Microlaena stipoides var. stipoides,[1.0]
Control,2,3,0,Poranthera microphylla s.l.,[0.5]
Control,2,3,0,Rytidosperma nivicolum,[4.0]
Control,2,3,0,Senecio quadridentatus,[0.5]
Control,2,3,3,Aira spp.,"[1.0, 1.0]"
Control,2,3,3,Centaurium erythraea,"[1.0, 1.0]"
Control,2,3,3,Conyza sumatrensis,"[1.0, 1.0]"
Control,2,3,3,Dichondra repens,"[3.0, 3.0]"
Control,2,3,3,Geranium solanderi s.l.,[1.0]
Control,2,3,3,Geranium sp. 1,[1.0]
Control,2,3,3,Imperata cylindrica,"[0.5, 0.5]"
Control,2,3,3,Lagenophora gracilis,[2.0]
Control,2,3,3,Lomandra longifolia,"[6.0, 6.0]"
Control,2,3,3,Microlaena stipoides var. stipoides,"[1.0, 1.0]"
Control,2,3,3,Oxalis hirta,"[0.5, 0.5]"
Control,2,3,3,Poranthera microphylla s.l.,"[0.5, 0.5]"
Control,2,3,3,Senecio pinnatifolius,[0.5]
Control,2,3,3,Senecio quadridentatus,[0.5]
Control,2,3,6,Anagallis arvensis,[0.5]
Control,2,3,6,Arthropodium minus,[0.5]
Control,2,3,6,Briza minor,[0.5]
Control,2,3,6,Cerastium glomeratum s.l.,[0.5]
Control,2,3,6,Cotula australis,[0.5]
Control,2,3,6,Crassula sieberiana s.l.,[1.0]
Control,2,3,6,Dichondra repens,[0.5]
Control,2,3,6,Euchiton involucratus s.l.,[0.5]
Control,2,3,6,Geranium sp. 1,[0.5]
Control,2,3,6,Glycine clandestina,[0.5]
Control,2,3,6,Hydrocotyle foveolata,[0.5]
Control,2,3,6,Hydrocotyle laxiflora,[0.5]
