,Year_monitoring,Date_monitoring,Plot_number,Plot_treatment,Quadrat_number,Quadrat_fenced,Quadrat_gap_or_no,Record_ID,T002_Flora_Species_name,Score,Key,Scientific Name,Common Name,Family Name,Division Name,Life Form
0,6,2019-10-22,1,Gap,1,False,,10733,Stellaria spp.,0.5,Stellaria spp.,,,,,
1,6,2019-10-22,1,Gap,1,False,,10730,Rytidosperma spp.,1.0,Rytidosperma australe,Rytidosperma australe,Southern Sheep-grass,Poaceae,Monocotyledons,Tiny Non-tufted grass/sedge
2,6,2019-10-22,1,Gap,1,False,,10731,Rytidosperma spp.,0.5,Rytidosperma australe,Rytidosperma australe,Southern Sheep-grass,Poaceae,Monocotyledons,Tiny Non-tufted grass/sedge
3,6,2019-10-22,1,Gap,1,False,,10732,Senecio spp,0.5,Senecio spp,,,,,
4,6,2019-10-22,1,Gap,1,False,,10734,Wahlenbergia spp,0.5,Wahlenbergia ceracea,Wahlenbergia ceracea,Waxy Bluebell,Campanulaceae,Dicotyledons,Large Forb/Herb
5,6,2019-10-22,1,Gap,1,False,,10735,Senecio spp,0.5,Senecio spp,,,,,
6,6,2019-10-22,1,Gap,1,False,,10717,Aira spp.,0.5,Aira spp.,Aira spp.,Hair Grass,Poaceae,Monocotyledons,Small Non-tufted grass/sedge
7,6,2019-10-22,1,Gap,1,False,,10718,Bulbine bulbosa,0.5,Bulbine bulbosa,Bulbine bulbosa,Bulbine Lily,Asphodelaceae,Monocotyledons,Medium Forb/Herb
8,6,2019-10-22,1,Gap,1,False,,10719,Cardamine sp.,0.5,Cardamine sp.,,,,,
9,6,2019-10-22,1,Gap,1,False,,10720,Cotula australis,1.0,Cotula australis,Cotula australis,Common Cotula,Asteraceae,Dicotyledons,Medium Forb/Herb
10,6,2019-10-22,1,Gap,1,False,,10721,Crassula spp,1.0,Crassula spp,,,,,
11,6,2019-10-22,1,Gap,1,False,,10722,Dichondra repens,1.0,Dichondra repens,Dichondra repens,Kidney-weed,Convolvulaceae,Dicotyledons,Prostrate or Mat-forming Forb/Herb
12,6,2019-10-22,1,Gap,1,False,,10723,Einadia nutans,1.0,Einadia hastata,Einadia hastata,Saloop,Chenopodiaceae,Dicotyledons,Medium Forb/Herb
13,6,2019-10-22,1,Gap,1,False,,10727,Lomandra longifolia,4.0,Lomandra longifolia,Lomandra longifolia,Spiny-headed Mat-rush,Xanthorrhoeaceae,Monocotyledons,Large Forb/Herb
14,6,2019-10-22,1,Gap,1,False,,10724,Euchiton spp,0.5,Euchiton spp,,,,,
15,6,2019-10-22,1,Gap,1,False,,10728,Microlaena stipoides,0.5,Microlaena stipoides,,,,,
16,6,2019-10-22,1,Gap,1,False,,10726,Lachnagrostis spp.,0.5,Lachnagrostis scabra,Lachnagrostis scabra,Rough Blown-grass,Poaceae,Monocotyledons,Medium Tufted grass/sedge
17,6,2019-10-22,1,Gap,1,False,,10725,Hypochaeris spp,0.5,Hypochoeris glabra,Hypochoeris glabra,Smooth Cat's-ear,Asteraceae,Dicotyledons,Medium Forb/Herb
18,6,2019-10-22,1,Gap,1,False,,10729,Pteridium esculentum,0.5,Pteridium esculentum,Pteridium esculentum,Austral Bracken,Dennstaedtiaceae,Ferns and Allies,Non-tufted Ground Fern
19,0,2012-10-24,1,Gap,1,False,Not in Gap,5790,Senecio spp,0.5,Senecio spp,,,,,
20,0,2012-10-24,1,Gap,1,False,Not in Gap,5789,Pteridium esculentum,0.5,Pteridium esculentum,Pteridium esculentum,Austral Bracken,Dennstaedtiaceae,Ferns and Allies,Non-tufted Ground Fern
21,0,2012-10-24,1,Gap,1,False,Not in Gap,5788,Microlaena stipoides,0.5,Microlaena stipoides,,,,,
22,0,2012-10-24,1,Gap,1,False,Not in Gap,5787,Lomandra longifolia,4.0,Lomandra longifolia,Lomandra longifolia,Spiny-headed Mat-rush,Xanthorrhoeaceae,Monocotyledons,Large Forb/Herb
23,0,2012-10-24,1,Gap,1,False,Not in Gap,5786,Lagenophora spp,0.5,Lagenophora montana,Lagenophora montana,Mountain Bottle-daisy,Asteraceae,Dicotyledons,Medium Forb/Herb
24,0,2012-10-24,1,Gap,1,False,Not in Gap,5785,Hypochaeris spp,0.5,Hypochoeris glabra,Hypochoeris glabra,Smooth Cat's-ear,Asteraceae,Dicotyledons,Medium Forb/Herb
25,0,2012-10-24,1,Gap,1,False,Not in Gap,5784,Hydrocotyle spp,0.5,Hydrocotyle hirta,Hydrocotyle hirta,Hairy Pennywort,Apiaceae,Dicotyledons,Medium Forb/Herb
26,0,2012-10-24,1,Gap,1,False,Not in Gap,5779,Aira spp.,1.0,Aira spp.,Aira spp.,Hair Grass,Poaceae,Monocotyledons,Small Non-tufted grass/sedge
27,0,2012-10-24,1,Gap,1,False,Not in Gap,5780,Rytidosperma spp.,1.0,Rytidosperma australe,Rytidosperma australe,Southern Sheep-grass,Poaceae,Monocotyledons,Tiny Non-tufted grass/sedge
28,0,2012-10-24,1,Gap,1,False,Not in Gap,5781,Conyza sumatrensis,0.5,Conyza sumatrensis,Conyza sumatrensis,Tall Fleabane,Asteraceae,Dicotyledons,Large Forb/Herb
29,0,2012-10-24,1,Gap,1,False,Not in Gap,5782,Cotula australis,0.5,Cotula australis,Cotula australis,Common Cotula,Asteraceae,Dicotyledons,Medium Forb/Herb
30,0,2012-10-24,1,Gap,1,False,Not in Gap,5783,Dichondra repens,1.0,Dichondra repens,Dichondra repens,Kidney-weed,Convolvulaceae,Dicotyledons,Prostrate or Mat-forming Forb/Herb
31,3,2015-10-20,1,Gap,1,False,Not in Gap,71,Rytidosperma spp.,1.0,Rytidosperma australe,Rytidosperma australe,Southern Sheep-grass,Poaceae,Monocotyledons,Tiny Non-tufted grass/sedge
32,3,2015-10-20,1,Gap,1,False,Not in Gap,48,Senecio spp,1.0,Senecio spp,,,,,
33,3,2015-10-20,1,Gap,1,False,Not in Gap,69,Cerastium glomeratum,0.5,Cerastium glomeratum s.l.,Cerastium glomeratum s.l.,Common Mouse-ear Chickweed,Caryophyllaceae,Dicotyledons,Medium Forb/Herb
34,3,2015-10-20,1,Gap,1,False,Not in Gap,70,Wahlenbergia spp,0.5,Wahlenbergia ceracea,Wahlenbergia ceracea,Waxy Bluebell,Campanulaceae,Dicotyledons,Large Forb/Herb
35,3,2015-10-20,1,Gap,1,False,Not in Gap,72,Austrostipa spp,1.0,Austrostipa rudis,Austrostipa rudis,Veined Spear-grass,Poaceae,Monocotyledons,Large Tufted grass/sedge
36,3,2015-10-20,1,Gap,1,False,Not in Gap,73,Stuartina muelleri,0.5,Stuartina muelleri,Stuartina muelleri,Spoon Cudweed,Asteraceae,Dicotyledons,Medium Forb/Herb
37,3,2015-10-20,1,Gap,1,False,Not in Gap,35,Aira spp.,0.5,Aira spp.,Aira spp.,Hair Grass,Poaceae,Monocotyledons,Small Non-tufted grass/sedge
38,3,2015-10-20,1,Gap,1,False,Not in Gap,36,Briza minor,0.5,Briza minor,Briza minor,Lesser Quaking-grass,Poaceae,Monocotyledons,Small Tufted grass/sedge
39,3,2015-10-20,1,Gap,1,False,Not in Gap,37,Conyza sumatrensis,0.5,Conyza sumatrensis,Conyza sumatrensis,Tall Fleabane,Asteraceae,Dicotyledons,Large Forb/Herb
