Life Form,,,,Climber,Climber,Climber,Large Forb/Herb,Large Forb/Herb,Large Forb/Herb,Large Non-tufted grass/sedge,Large Non-tufted grass/sedge,Large Non-tufted grass/sedge,Large Shrub to Medium Tree,Large Shrub to Medium Tree,Large Shrub to Medium Tree,Large Tufted grass/sedge,Large Tufted grass/sedge,Large Tufted grass/sedge,Medium Forb/Herb,Medium Forb/Herb,Medium Forb/Herb,Medium Non-tufted grass/sedge,Medium Non-tufted grass/sedge,Medium Non-tufted grass/sedge,Medium Tufted grass/sedge,Medium Tufted grass/sedge,Medium Tufted grass/sedge,Non-tufted Ground Fern,Non-tufted Ground Fern,Non-tufted Ground Fern,Prostrate Shrub,Prostrate Shrub,Prostrate Shrub,Prostrate or Mat-forming Forb/Herb,Prostrate or Mat-forming Forb/Herb,Prostrate or Mat-forming Forb/Herb,Scrambler,Scrambler,Scrambler,Shrub,Shrub,Shrub,Small Forb/Herb,Small Forb/Herb,Small Forb/Herb,Small Non-tufted grass/sedge,Small Non-tufted grass/sedge,Small Non-tufted grass/sedge,Small Shrub,Small Shrub,Small Shrub,Small Tufted grass/sedge,Small Tufted grass/sedge,Small Tufted grass/sedge,Tiny Tufted grass/sedge,Tiny Tufted grass/sedge,Tiny Tufted grass/sedge,Tufted Ground Fern,Tufted Ground Fern,Tufted Ground Fern
Year,,,,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6
Treatment,Fenced,Gap,Shade Tolerant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Control,False,False,False,0.0,0.0,0.5,1.3109756097560976,1.6346153846153846,0.9863013698630136,0,0,0.0,0.0,0.0,0.0,3.9791666666666665,1.5,0.6,2.3433734939759034,3.636904761904762,2.517857142857143,0.0,0.5,0.9705882352941176,1.3255813953488371,1.6875,2.217391304347826,1.9333333333333333,1.7777777777777777,2.6153846153846154,0.0,0.0,0.0,0.8809523809523809,0.9655172413793104,0.98125,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5370370370370371,1.1271186440677967,0.581081081081081,0.0,0.75,0.0,7.882716049382716,2.2066666666666666,0.8240740740740741,0,0.0,0.5,0.0,0.0,0.0
Control,False,False,True,0.5555555555555556,0.6923076923076923,0.5,27.110169491525422,27.431818181818183,29.529850746268657,0,0,0.0,0.0,0.0,0.0,0.55,0.75,0.5,0.8389830508474576,2.2941176470588234,1.0533333333333332,6.888888888888889,2.292207792207792,0.8782051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3.0,0.75,9.73015873015873,4.783783783783784,0.6063829787234043,0.0,0.0,0.0,1.0,10.0,20.0,0.5,0.5625,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5714285714285714,1.1693548387096775,0,0.0,0.0,0.5,0.7857142857142857,0.5
Control,False,True,False,0.5,0.0,0.0,1.5909090909090908,2.727272727272727,0.8125,0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.8125,4.318181818181818,5.5,0.0,0.0,0.5,2.2857142857142856,1.0625,0.5,0.5,0.8333333333333334,0.0,0.0,0.0,0.0,0.5,1.4090909090909092,0.8636363636363636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.1818181818181819,0.5833333333333334,0.0,0.5,0.0,0.65,1.7272727272727273,0.75,0,0.0,0.0,0.0,0.0,0.0
Control,False,True,True,0.5,0.7777777777777778,0.5,30.0,54.59090909090909,43.333333333333336,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1666666666666667,2.409090909090909,1.1111111111111112,1.5,3.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.1875,4.45,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0,0.0,0.0,0.0,0.0,0.0
Gap,False,False,False,0.0,0.0,0.0,1.3064516129032258,1.46875,1.1379310344827587,0,0,0.0,0.0,0.5,0.0,2.2857142857142856,1.0416666666666667,0.6666666666666666,1.7647058823529411,2.5,2.203125,0.0,0.5,0.5,2.7083333333333335,0.8823529411764706,0.7380952380952381,2.0,0.875,4.0,0.0,0.0,0.0,0.8461538461538461,0.5952380952380952,0.8333333333333334,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5588235294117647,0.6176470588235294,0.7222222222222222,0.0,0.0,0.5,2.772727272727273,1.6666666666666667,0.8333333333333334,0,0.0,0.0,0.0,0.0,0.0
Gap,False,False,True,0.5,0.5,0.5,21.34,22.1,24.173076923076923,0,0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.9130434782608695,1.1166666666666667,1.9827586206896552,3.0757575757575757,1.206896551724138,0.8846153846153846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3793103448275863,0.8461538461538461,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.8571428571428571,0,0.0,0.0,0.5,0.5,0.5
Gap,False,True,False,0.0,0.5,0.0,1.4038461538461537,1.9259259259259258,1.263157894736842,0,0,0.0,0.0,0.0,0.0,4.333333333333333,1.9583333333333333,1.4,2.425925925925926,4.482142857142857,2.12,0.0,0.5,0.5,1.7,1.8076923076923077,2.9722222222222223,2.75,1.0,1.0,0.0,0.0,0.0,0.8260869565217391,1.0,1.2692307692307692,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.625,1.28125,0.6875,0.0,0.0,0.0,6.037037037037037,3.4423076923076925,0.8214285714285714,0,0.8333333333333334,0.5,0.0,0.0,0.0
Gap,False,True,True,0.5,0.5,0.5,16.475,17.710526315789473,25.80952380952381,0,0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.6578947368421053,2.4782608695652173,1.375,3.66,5.863636363636363,6.608695652173913,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,4.973684210526316,2.1944444444444446,0.5357142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.625,2.275,0,0.0,0.0,0.5,0.75,0.7
Gap,True,False,False,0.0,0.0,0.0,1.0555555555555556,1.4090909090909092,0.875,0,0,1.0,0.0,0.0,0.0,0.5833333333333334,1.4285714285714286,1.0,2.3181818181818183,3.727272727272727,1.9545454545454546,0.0,0.0,0.0,0.5,0.8,2.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.6666666666666666,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.0,0.0,0.0,8.136363636363637,5.2727272727272725,1.5833333333333333,0,0.0,0.0,0.0,0.0,0.0
Gap,True,False,True,0.0,0.0,0.0,4.666666666666667,9.125,14.571428571428571,0,0,0.0,0.5,0.5,0.8333333333333334,0.0,0.0,0.0,2.7,0.9090909090909091,1.55,12.61111111111111,2.9166666666666665,1.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.625,5.3,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,4.142857142857143,0,0.0,0.0,0.5,0.5,0.75
Gap,True,True,False,0.0,0.0,0.0,1.4705882352941178,2.5952380952380953,1.0769230769230769,0,0,0.0,0.0,0.0,0.0,0.7,7.777777777777778,11.4,2.0952380952380953,3.738095238095238,4.0,0.0,0.0,0.0,0.75,4.277777777777778,8.535714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,0.8333333333333334,0.7857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.625,1.0,0.0,0.0,0.0,8.642857142857142,3.25,1.0714285714285714,0,0.0,0.0,0.0,0.0,0.0
Gap,True,True,True,0.0,0.8333333333333334,0.0,5.166666666666667,9.25,17.266666666666666,0,0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.8846153846153846,1.3,0.8529411764705882,3.5833333333333335,10.392857142857142,1.9722222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6428571428571428,3.033333333333333,0.5,0.0,0.0,0.0,0.0,5.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.7142857142857143,3.111111111111111,0,0.0,0.0,0.5,0.75,0.6666666666666666
Radial,False,False,False,0.0,0.0,0.0,1.575,1.3571428571428572,0.775,0,0,0.0,0.0,0.0,0.0,1.125,0.875,0.0,2.2142857142857144,3.4375,2.1904761904761907,0.0,0.0,0.625,0.6666666666666666,0.5,8.1875,0.5,1.0,0.75,0.0,0.0,0.0,0.7105263157894737,1.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.8333333333333334,0.6,0.0,0.0,0.5,8.476190476190476,3.5454545454545454,0.6666666666666666,0,0.0,0.0,0.0,0.0,0.0
Radial,False,False,True,0.5,0.0,0.5,30.555555555555557,25.0,29.0,0,0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.75,1.0333333333333334,0.8529411764705882,4.0,1.8928571428571428,0.6842105263157895,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,4.642857142857143,2.7142857142857144,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.7333333333333333,0,0.0,0.0,0.5,0.0,0.5
