Year_monitoring,Date_monitoring,Observer1,Observer2,Plot_number,Plot_treatment,Plot_percent_burgan,Quadrat_number,Quadrat_fenced,Quadrat_Can_Cov,Quadrat_gap_or_no,Record_ID,T002_Flora_Species_name,Score,Percentage_range
6,2019-10-22,PH,,1,Gap,,1,False,,,10733,Stellaria spp.,0.5,Trace <1%
6,2019-10-22,PH,,1,Gap,,1,False,,,10730,Rytidosperma spp.,1.0,1-5%
6,2019-10-22,PH,,1,Gap,,1,False,,,10731,Rytidosperma spp.,0.5,Trace <1%
6,2019-10-22,PH,,1,Gap,,1,False,,,10732,Senecio spp,0.5,Trace <1%
6,2019-10-22,PH,,1,Gap,,1,False,,,10734,Wahlenbergia spp,0.5,Trace <1%
6,2019-10-22,PH,,1,Gap,,1,False,,,10735,Senecio spp,0.5,Trace <1%
6,2019-10-22,PH,,1,Gap,,1,False,,,10716,CWD,1.0,1-5%
6,2019-10-22,PH,,1,Gap,,1,False,,,10713,Leaf Litter,8.0,60-70%
6,2019-10-22,PH,,1,Gap,,1,False,,,10715,Moss/Lichen,0.5,Trace <1%
6,2019-10-22,PH,,1,Gap,,1,False,,,10717,Aira spp.,0.5,Trace <1%
6,2019-10-22,PH,,1,Gap,,1,False,,,10718,Bulbine bulbosa,0.5,Trace <1%
6,2019-10-22,PH,,1,Gap,,1,False,,,10719,Cardamine sp.,0.5,Trace <1%
6,2019-10-22,PH,,1,Gap,,1,False,,,10720,Cotula australis,1.0,1-5%
6,2019-10-22,PH,,1,Gap,,1,False,,,10721,Crassula spp,1.0,1-5%
6,2019-10-22,PH,,1,Gap,,1,False,,,10722,Dichondra repens,1.0,1-5%
6,2019-10-22,PH,,1,Gap,,1,False,,,10723,Einadia nutans,1.0,1-5%
6,2019-10-22,PH,,1,Gap,,1,False,,,10727,Lomandra longifolia,4.0,20-30%
6,2019-10-22,PH,,1,Gap,,1,False,,,10714,Bare Earth,1.0,1-5%
6,2019-10-22,PH,,1,Gap,,1,False,,,10724,Euchiton spp,0.5,Trace <1%
6,2019-10-22,PH,,1,Gap,,1,False,,,10728,Microlaena stipoides,0.5,Trace <1%
6,2019-10-22,PH,,1,Gap,,1,False,,,10726,Lachnagrostis spp.,0.5,Trace <1%
6,2019-10-22,PH,,1,Gap,,1,False,,,10725,Hypochaeris spp,0.5,Trace <1%
6,2019-10-22,PH,,1,Gap,,1,False,,,10729,Pteridium esculentum,0.5,Trace <1%
0,2012-10-24,CM,,1,Gap,,1,False,,Not in Gap,5790,Senecio spp,0.5,Trace <1%
0,2012-10-24,CM,,1,Gap,,1,False,,Not in Gap,5789,Pteridium esculentum,0.5,Trace <1%
0,2012-10-24,CM,,1,Gap,,1,False,,Not in Gap,5788,Microlaena stipoides,0.5,Trace <1%
0,2012-10-24,CM,,1,Gap,,1,False,,Not in Gap,5787,Lomandra longifolia,4.0,20-30%
0,2012-10-24,CM,,1,Gap,,1,False,,Not in Gap,5786,Lagenophora spp,0.5,Trace <1%
0,2012-10-24,CM,,1,Gap,,1,False,,Not in Gap,5785,Hypochaeris spp,0.5,Trace <1%
0,2012-10-24,CM,,1,Gap,,1,False,,Not in Gap,5784,Hydrocotyle spp,0.5,Trace <1%
0,2012-10-24,CM,,1,Gap,,1,False,,Not in Gap,5777,Bare Earth,1.0,1-5%
0,2012-10-24,CM,,1,Gap,,1,False,,Not in Gap,5776,Leaf Litter,8.0,60-70%
0,2012-10-24,CM,,1,Gap,,1,False,,Not in Gap,5778,Moss/Lichen,0.5,Trace <1%
0,2012-10-24,CM,,1,Gap,,1,False,,Not in Gap,5779,Aira spp.,1.0,1-5%
0,2012-10-24,CM,,1,Gap,,1,False,,Not in Gap,5780,Rytidosperma spp.,1.0,1-5%
0,2012-10-24,CM,,1,Gap,,1,False,,Not in Gap,5781,Conyza sumatrensis,0.5,Trace <1%
0,2012-10-24,CM,,1,Gap,,1,False,,Not in Gap,5782,Cotula australis,0.5,Trace <1%
0,2012-10-24,CM,,1,Gap,,1,False,,Not in Gap,5783,Dichondra repens,1.0,1-5%
3,2015-10-20,RE,CM,1,Gap,0.0,1,False,,Not in Gap,71,Rytidosperma spp.,1.0,1-5%
3,2015-10-20,RE,CM,1,Gap,0.0,1,False,,Not in Gap,48,Senecio spp,1.0,1-5%
