Treatment,Plot Number,Quadrat Number,Fenced,Gap,Life Form,Species Name,0,3,6
Control,2,1,False,False,Climber,Glycine clandestina,0,1,0
Control,2,1,False,False,Large Forb/Herb,Arthropodium strictum,0,0,0
Control,2,1,False,False,Large Forb/Herb,Lomandra longifolia,35,75,55
Control,2,1,False,False,Large Forb/Herb,Senecio pinnatifolius,0,1,0
Control,2,1,False,False,Large Forb/Herb,Senecio spp,0,0,0
Control,2,1,False,False,Large Forb/Herb,Senecio tenuiflorus,0,1,0
Control,2,1,False,False,Large Forb/Herb,Tricoryne elatior,0,0,0
Control,2,1,False,False,Large Forb/Herb,Wahlenbergia spp,0,0,0
Control,2,1,False,False,Medium Forb/Herb,Anagallis arvensis,0,1,0
Control,2,1,False,False,Medium Forb/Herb,Centaurium erythraea,0,22,0
Control,2,1,False,False,Medium Forb/Herb,Cotula australis,0,0,0
Control,2,1,False,False,Medium Forb/Herb,Geranium sp.,0,1,0
Control,2,1,False,False,Medium Forb/Herb,Geranium spp,0,0,0
Control,2,1,False,False,Medium Forb/Herb,Hypericum gramineum,0,0,0
Control,2,1,False,False,Medium Forb/Herb,Hypochaeris radicata,0,6,0
Control,2,1,False,False,Medium Forb/Herb,Hypochaeris spp,0,3,0
Control,2,1,False,False,Medium Forb/Herb,Lagenophora spp,0,0,0
Control,2,1,False,False,Medium Forb/Herb,Poranthera microphylla,0,1,0
Control,2,1,False,False,Medium Non-tufted grass/sedge,Entolasia marginata,0,0,0
Control,2,1,False,False,Medium Non-tufted grass/sedge,Microlaena stipoides,3,9,3
Control,2,1,False,False,Medium Tufted grass/sedge,Dichelachne crinita,0,0,0
Control,2,1,False,False,Medium Tufted grass/sedge,Poa sieberiana,0,15,0
Control,2,1,False,False,Medium Tufted grass/sedge,Poa spp,7,7,0
Control,2,1,False,False,Prostrate Shrub,Acrotriche serrulata,0,9,0
Control,2,1,False,False,Prostrate or Mat-forming Forb/Herb,Dichondra repens,3,30,0
Control,2,1,False,False,Prostrate or Mat-forming Forb/Herb,Hydrocotyle spp,0,0,0
Control,2,1,False,False,Small Non-tufted grass/sedge,Aira spp.,0,9,0
Control,2,1,False,False,Small Tufted grass/sedge,Rytidosperma spp.,3,0,0
Control,2,2,False,False,Climber,Glycine clandestina,0,1,0
Control,2,2,False,False,Large Forb/Herb,Arthropodium strictum,0,0,0
Control,2,2,False,False,Large Forb/Herb,Conyza sumatrensis,0,6,0
Control,2,2,False,False,Large Forb/Herb,Lomandra longifolia,55,105,55
Control,2,2,False,False,Large Forb/Herb,Senecio pinnatifolius,0,7,0
Control,2,2,False,False,Large Forb/Herb,Senecio spp,0,7,0
Control,2,2,False,False,Large Forb/Herb,Senecio tenuiflorus,0,0,0
Control,2,2,False,False,Large Forb/Herb,conyza sumatrensis,0,3,0
Control,2,2,False,False,Medium Forb/Herb,Anagallis arvensis,0,1,0
Control,2,2,False,False,Medium Forb/Herb,Bulbine bulbosa,0,1,0
Control,2,2,False,False,Medium Forb/Herb,Centaurium erythraea,0,9,0
Control,2,2,False,False,Medium Forb/Herb,Cerastium glomeratum,0,0,0
Control,2,2,False,False,Medium Forb/Herb,Cotula australis,0,0,0
Control,2,2,False,False,Medium Forb/Herb,Daucus glochidiatus,0,1,0
Control,2,2,False,False,Medium Forb/Herb,Euchiton spp,0,0,0
Control,2,2,False,False,Medium Forb/Herb,Geranium sp.,0,1,0
Control,2,2,False,False,Medium Forb/Herb,Geranium spp,0,0,0
Control,2,2,False,False,Medium Forb/Herb,Hypericum gramineum,0,0,0
Control,2,2,False,False,Medium Forb/Herb,Hypochaeris radicata,0,1,0
Control,2,2,False,False,Medium Forb/Herb,Hypochaeris spp,0,0,0
Control,2,2,False,False,Medium Forb/Herb,Lagenophora spp,0,0,3
Control,2,2,False,False,Medium Forb/Herb,Laxmannia gracilis,0,0,0
Control,2,2,False,False,Medium Forb/Herb,Oxalis (native),0,0,0
Control,2,2,False,False,Medium Forb/Herb,Poranthera microphylla,0,6,0
Control,2,2,False,False,Medium Forb/Herb,Stellaria spp.,0,0,0
Control,2,2,False,False,Medium Forb/Herb,Trifolium sp.,0,0,0
Control,2,2,False,False,Medium Non-tufted grass/sedge,Entolasia marginata,0,0,3
Control,2,2,False,False,Medium Non-tufted grass/sedge,Microlaena stipoides,7,9,7
Control,2,2,False,False,Medium Non-tufted grass/sedge,Poa sp (green hairy),0,0,0
Control,2,2,False,False,Medium Tufted grass/sedge,Dichelachne crinita,0,22,0
Control,2,2,False,False,Medium Tufted grass/sedge,Poa sieberiana,0,3,0
Control,2,2,False,False,Medium Tufted grass/sedge,Poa spp,3,3,0
Control,2,2,False,False,Prostrate Shrub,Acrotriche serrulata,0,0,3
Control,2,2,False,False,Prostrate Shrub,Bossiaea prostrata,0,0,0
Control,2,2,False,False,Prostrate or Mat-forming Forb/Herb,Crassula sieberiana,0,0,0
Control,2,2,False,False,Prostrate or Mat-forming Forb/Herb,Dichondra repens,35,45,0
Control,2,2,False,False,Prostrate or Mat-forming Forb/Herb,Hydrocotyle spp,0,3,0
Control,2,2,False,False,Prostrate or Mat-forming Forb/Herb,Kennedia prostrata,0,1,0
Control,2,2,False,False,Prostrate or Mat-forming Forb/Herb,Oxalis sp (weed),0,9,0
Control,2,2,False,False,Small Non-tufted grass/sedge,Aira spp.,0,9,0
Control,2,2,False,False,Small Tufted grass/sedge,Erhartia erecta,0,0,0
