Treatment,Plot Number,Quadrat Number,Fenced,Gap,Life Form,Year,0
Control,2,1,False,False,Climber,0,0.001579778830963665
Control,2,1,False,False,Climber,3,0.004739336492890996
Control,2,1,False,False,Climber,6,0.001579778830963665
Control,2,1,False,False,Large Forb/Herb,0,0.11532385466034756
Control,2,1,False,False,Large Forb/Herb,3,0.24486571879936808
Control,2,1,False,False,Large Forb/Herb,6,0.1769352290679305
Control,2,1,False,False,Medium Forb/Herb,0,0.011058451816745656
Control,2,1,False,False,Medium Forb/Herb,3,0.11532385466034756
Control,2,1,False,False,Medium Forb/Herb,6,0.00315955766192733
Control,2,1,False,False,Medium Non-tufted grass/sedge,0,0.009478672985781991
Control,2,1,False,False,Medium Non-tufted grass/sedge,3,0.02843601895734597
Control,2,1,False,False,Medium Non-tufted grass/sedge,6,0.011058451816745656
Control,2,1,False,False,Medium Tufted grass/sedge,0,0.023696682464454975
Control,2,1,False,False,Medium Tufted grass/sedge,3,0.07109004739336493
Control,2,1,False,False,Medium Tufted grass/sedge,6,0.00315955766192733
Control,2,1,False,False,Prostrate Shrub,0,0.0
Control,2,1,False,False,Prostrate Shrub,3,0.02843601895734597
Control,2,1,False,False,Prostrate Shrub,6,0.0
Control,2,1,False,False,Prostrate or Mat-forming Forb/Herb,0,0.011058451816745656
Control,2,1,False,False,Prostrate or Mat-forming Forb/Herb,3,0.0947867298578199
Control,2,1,False,False,Prostrate or Mat-forming Forb/Herb,6,0.001579778830963665
Control,2,1,False,False,Small Non-tufted grass/sedge,0,0.001579778830963665
Control,2,1,False,False,Small Non-tufted grass/sedge,3,0.02843601895734597
Control,2,1,False,False,Small Non-tufted grass/sedge,6,0.001579778830963665
Control,2,1,False,False,Small Tufted grass/sedge,0,0.009478672985781991
Control,2,1,False,False,Small Tufted grass/sedge,3,0.0
Control,2,1,False,False,Small Tufted grass/sedge,6,0.001579778830963665
Control,2,2,False,False,Climber,0,0.0010893246187363835
Control,2,2,False,False,Climber,3,0.0032679738562091504
Control,2,2,False,False,Climber,6,0.0010893246187363835
Control,2,2,False,False,Large Forb/Herb,0,0.12091503267973856
Control,2,2,False,False,Large Forb/Herb,3,0.2821350762527233
Control,2,2,False,False,Large Forb/Herb,6,0.12200435729847495
Control,2,2,False,False,Medium Forb/Herb,0,0.008714596949891068
Control,2,2,False,False,Medium Forb/Herb,3,0.049019607843137254
Control,2,2,False,False,Medium Forb/Herb,6,0.015250544662309368
Control,2,2,False,False,Medium Non-tufted grass/sedge,0,0.016339869281045753
Control,2,2,False,False,Medium Non-tufted grass/sedge,3,0.020697167755991286
Control,2,2,False,False,Medium Non-tufted grass/sedge,6,0.02287581699346405
Control,2,2,False,False,Medium Tufted grass/sedge,0,0.006535947712418301
Control,2,2,False,False,Medium Tufted grass/sedge,3,0.06209150326797386
Control,2,2,False,False,Medium Tufted grass/sedge,6,0.0010893246187363835
Control,2,2,False,False,Prostrate Shrub,0,0.0010893246187363835
Control,2,2,False,False,Prostrate Shrub,3,0.0
Control,2,2,False,False,Prostrate Shrub,6,0.007625272331154684
Control,2,2,False,False,Prostrate or Mat-forming Forb/Herb,0,0.0784313725490196
Control,2,2,False,False,Prostrate or Mat-forming Forb/Herb,3,0.12745098039215685
Control,2,2,False,False,Prostrate or Mat-forming Forb/Herb,6,0.0032679738562091504
Control,2,2,False,False,Small Non-tufted grass/sedge,0,0.0010893246187363835
Control,2,2,False,False,Small Non-tufted grass/sedge,3,0.0196078431372549
Control,2,2,False,False,Small Non-tufted grass/sedge,6,0.0010893246187363835
Control,2,2,False,False,Small Tufted grass/sedge,0,0.016339869281045753
Control,2,2,False,False,Small Tufted grass/sedge,3,0.0054466230936819175
Control,2,2,False,False,Small Tufted grass/sedge,6,0.0010893246187363835
Control,2,2,False,False,Tufted Ground Fern,0,0.0010893246187363835
Control,2,2,False,False,Tufted Ground Fern,3,0.0032679738562091504
Control,2,2,False,False,Tufted Ground Fern,6,0.0
Control,2,3,False,False,Climber,0,0.001524390243902439
Control,2,3,False,False,Climber,3,0.0
Control,2,3,False,False,Climber,6,0.001524390243902439
Control,2,3,False,False,Large Forb/Herb,0,0.1722560975609756
Control,2,3,False,False,Large Forb/Herb,3,0.29573170731707316
Control,2,3,False,False,Large Forb/Herb,6,0.1402439024390244
Control,2,3,False,False,Medium Forb/Herb,0,0.009146341463414634
Control,2,3,False,False,Medium Forb/Herb,3,0.06554878048780488
Control,2,3,False,False,Medium Forb/Herb,6,0.01524390243902439
Control,2,3,False,False,Medium Non-tufted grass/sedge,0,0.009146341463414634
