Life Form,,,,Climber,Climber,Climber,Large Forb/Herb,Large Forb/Herb,Large Forb/Herb,Large Non-tufted grass/sedge,Large Non-tufted grass/sedge,Large Non-tufted grass/sedge,Large Shrub to Medium Tree,Large Shrub to Medium Tree,Large Shrub to Medium Tree,Large Tufted grass/sedge,Large Tufted grass/sedge,Large Tufted grass/sedge,Medium Forb/Herb,Medium Forb/Herb,Medium Forb/Herb,Medium Non-tufted grass/sedge,Medium Non-tufted grass/sedge,Medium Non-tufted grass/sedge,Medium Tufted grass/sedge,Medium Tufted grass/sedge,Medium Tufted grass/sedge,Non-tufted Ground Fern,Non-tufted Ground Fern,Non-tufted Ground Fern,Prostrate Shrub,Prostrate Shrub,Prostrate Shrub,Prostrate or Mat-forming Forb/Herb,Prostrate or Mat-forming Forb/Herb,Prostrate or Mat-forming Forb/Herb,Scrambler,Scrambler,Scrambler,Shrub,Shrub,Shrub,Small Forb/Herb,Small Forb/Herb,Small Forb/Herb,Small Non-tufted grass/sedge,Small Non-tufted grass/sedge,Small Non-tufted grass/sedge,Small Shrub,Small Shrub,Small Shrub,Small Tufted grass/sedge,Small Tufted grass/sedge,Small Tufted grass/sedge,Tiny Tufted grass/sedge,Tiny Tufted grass/sedge,Tiny Tufted grass/sedge,Tufted Ground Fern,Tufted Ground Fern,Tufted Ground Fern
Year,,,,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6
Treatment,Plot Number,Fenced,Gap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Control,2,False,False,0.5,1.4375,0.5,38.5625,58.625,48.53125,0,0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,3.375,12.5,4.4375,8.21875,6.266666666666667,3.0625,2.4375,5.75,0.6,0.0,4.5,0.5,0.5,9.0,3.5,15.107142857142858,11.8,2.75,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,3.5714285714285716,1.6111111111111112,0.0,1.0,0.0,11.375,3.0,1.2307692307692308,0,0.0,0.0,0.5,2.25,0.5
Control,4,False,False,1.0,1.3333333333333333,0.5,31.071428571428573,34.575,30.88095238095238,0,0,0.0,0.0,0.0,0.0,0.625,0.5,0.5,2.3,6.325,2.0714285714285716,2.5526315789473686,3.2058823529411766,0.9166666666666666,1.0454545454545454,2.0714285714285716,0.5,0.5,1.75,1.75,0.0,0.0,0.0,0.9,2.7,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,3.125,0.8125,0.0,0.0,0.0,5.571428571428571,2.975,1.2222222222222223,0,0.0,0.5,0.5,1.75,0.5
Control,4,False,True,0.6666666666666666,1.6666666666666667,0.5,36.59090909090909,68.45454545454545,40.31818181818182,0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,3.0,11.454545454545455,8.090909090909092,2.0555555555555554,5.15,1.05,4.142857142857143,2.8125,0.5,0.5,1.5,0.0,0.5,0.5,3.0,2.1666666666666665,9.954545454545455,1.7727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.8181818181818183,0.9166666666666666,0.0,0.5,0.0,1.05,4.0,1.625,0,0.0,0.0,0.0,0.0,0.0
Control,6,False,False,1.125,0.5,0.5,30.0625,28.333333333333332,38.3125,0,0,0.0,0.0,0.0,0.0,2.4285714285714284,1.25,0.5,3.5625,10.84375,3.28125,16.8,5.833333333333333,2.1666666666666665,3.8214285714285716,1.9375,1.0454545454545454,4.125,3.772727272727273,5.15,0.0,0.0,0.5,9.65625,7.433333333333334,1.59375,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.8571428571428571,0.0,0.9545454545454546,3.0,0.6923076923076923,0.0,0.0,0.0,8.607142857142858,3.2666666666666666,2.3666666666666667,0,0.0,0.0,0.0,0.5,0.0
Control,11,False,False,0.5,0.9166666666666666,0.5,7.533333333333333,10.333333333333334,10.7,0,0,0.0,0.0,0.0,0.0,5.972222222222222,3.65,1.75,4.46875,8.96875,6.09375,10.661290322580646,2.2,1.9166666666666667,2.25,2.272727272727273,5.833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,13.890625,9.048387096774194,1.7241379310344827,0.5,0.0,0.5,3.0,15.0,25.0,0.5,0.0,0.5,0.7380952380952381,1.6538461538461537,0.5,0.0,0.5,0.0,14.17741935483871,4.609375,3.5806451612903225,0,0.0,0.0,0.0,0.0,0.0
Gap,1,False,False,0.5,0.0,0.5,37.05,36.45,38.22222222222222,0,0,0.0,0.0,0.0,0.0,0.5,1.75,0.5,2.95,6.222222222222222,8.1,2.95,2.625,1.3,6.75,2.0,0.6428571428571429,0.5,2.1666666666666665,5.333333333333333,0.0,0.0,0.0,3.15,2.3333333333333335,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.8571428571428571,1.5714285714285714,1.9285714285714286,0.0,0.0,0.0,4.611111111111111,3.388888888888889,2.875,0,0.0,0.0,0.0,0.0,0.5
Gap,1,False,True,0.5,0.5,0.5,24.25,28.666666666666668,40.75,0,0,0.0,0.0,0.0,0.0,2.8333333333333335,3.0,0.0,3.8333333333333335,12.5,4.583333333333333,1.5,2.375,1.0,3.25,5.375,1.9,4.0,3.0,3.0,0.0,0.0,0.0,3.5833333333333335,6.75,5.333333333333333,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.3333333333333333,3.3333333333333335,2.0,0.0,0.0,0.0,7.666666666666667,4.833333333333333,2.9166666666666665,0,0.0,0.0,0.0,0.0,0.5
Gap,8,False,False,0.0,0.0,0.0,30.875,35.0625,35.625,0,0,0.0,0.0,0.5,0.0,2.8333333333333335,1.3333333333333333,0.5,3.6875,4.625,3.4285714285714284,1.75,1.4375,1.2142857142857142,3.3333333333333335,3.1666666666666665,0.9,7.5,3.0,7.5,0.0,0.0,0.0,4.285714285714286,1.4285714285714286,1.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.8571428571428571,0.5,0.0,0.0,0.0,2.9375,2.6875,2.3125,0,0.0,0.0,0.0,0.0,0.0
Gap,8,False,True,0.5,0.0,0.0,27.9375,23.75,38.07142857142857,0,0,0.0,0.0,0.0,0.0,6.0,3.6666666666666665,0.5,5.3125,10.125,5.642857142857143,9.6875,11.0,3.75,2.8333333333333335,2.375,8.416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,12.642857142857142,2.375,3.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.75,0.5,0.0,0.0,0.0,12.5,6.0,2.0,0,0.0,0.5,0.5,0.5,3.0
Gap,10,False,False,0.0,0.0,0.0,3.25,2.8125,7.928571428571429,0,0,0.0,0.0,0.0,0.0,4.125,1.3333333333333333,0.0,1.3888888888888888,3.7777777777777777,4.4375,2.5,1.5714285714285714,2.0833333333333335,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,2.8333333333333335,0.7777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,7.35,4.777777777777778,1.6111111111111112,0,0.0,0.0,0.5,0.5,0.5
Gap,10,False,True,0.0,0.5,0.0,7.833333333333333,10.75,24.5,0,0,0.0,0.5,0.5,0.5,17.75,7.75,0.0,2.0833333333333335,13.583333333333334,4.166666666666667,2.0,6.4,3.5,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.5,0.5,0.0,0.8,2.8333333333333335,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,8.5,9.916666666666666,2.1666666666666665,0,3.0,0.0,0.5,3.0,0.5
Gap,10,True,False,0.0,0.0,0.0,8.75,10.3,11.0,0,0,0.0,0.0,0.5,0.5,1.75,5.25,0.0,2.3,7.8,4.5,6.166666666666667,0.0,2.25,0.5,0.5,5.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,6.625,2.1666666666666665,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,3.0,0.0,0.0,0.0,20.6,12.2,9.1,0,0.0,0.0,0.5,0.5,1.75
Gap,10,True,True,0.0,0.0,0.0,4.5,10.863636363636363,19.9375,0,0,0.0,0.5,0.5,3.0,1.75,14.5,18.666666666666668,2.3636363636363638,10.227272727272727,7.5,3.7222222222222223,13.8,3.7222222222222223,0.0,3.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6363636363636365,6.8,1.6428571428571428,0.0,0.0,0.0,0.0,7.75,3.0,0.0,0.0,0.0,0.5,0.5,3.0,0.0,0.0,0.0,14.545454545454545,7.7,5.6875,0,0.0,0.0,0.5,1.75,1.3333333333333333
Gap,12,False,False,0.0,0.5,0.0,5.4375,8.5,12.3125,0,0,0.0,0.5,0.0,0.5,4.166666666666667,2.875,3.0,4.0,7.8125,4.6875,11.375,3.9285714285714284,3.0,0.0,0.5,1.875,0.0,0.0,0.0,0.0,0.0,0.0,3.1666666666666665,3.142857142857143,0.6428571428571429,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,2.4285714285714284,2.2142857142857144,2.25,0,0.0,0.0,0.0,0.0,0.0
Gap,12,False,True,0.0,0.5,0.5,4.0,10.5,8.5,0,0,0.0,0.5,0.0,0.0,2.1666666666666665,2.5,2.8333333333333335,2.5625,11.1875,5.25,6.428571428571429,8.75,19.714285714285715,0.0,1.6,1.125,0.0,0.0,0.0,0.0,0.5,0.0,4.571428571428571,4.416666666666667,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,3.6666666666666665,0.0,0.0,0.0,0.0,5.142857142857143,1.7857142857142858,7.666666666666667,0,1.75,0.0,0.0,0.0,1.0
Gap,12,True,False,0.0,0.0,0.0,3.0,11.666666666666666,18.2,0,0,3.0,0.5,0.5,3.0,0.5,2.0,3.0,9.0,9.75,5.666666666666667,20.166666666666668,4.5,2.875,0.0,1.6666666666666667,4.4,0.0,0.0,0.0,0.0,0.0,0.0,3.6666666666666665,8.5,0.875,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.5,5.5,3.25,0,0.0,0.0,0.0,0.0,0.0
