Treatment,Fenced,Gap,0,3,6
Control,False,False,2.0872602809722998,2.195437489297949,1.7622585925463814
Control,False,True,1.2490683576265798,1.525977854482771,1.1436801989776249
Gap,False,False,1.9973025322029927,1.9309003710726775,1.78017925840324
Gap,False,True,2.2578636707388764,2.6673748584681447,1.9532819618154826
Gap,True,False,2.1495313349849132,2.6143100980684664,2.3469146952492226
Gap,True,True,2.1948777150266983,2.8105344810610817,2.277782254869799
Radial,False,False,2.079888731242031,2.5806922384622566,2.0029077416245378
Radial,False,True,2.1687941546945515,2.1373177759102955,1.7420552550915165
Radial,True,False,2.099399957645997,2.4823724939386946,2.6577204006427086
Radial,True,True,2.4277218797416484,2.5304384889638842,2.484506082112639
