Life Form,,,,Climber,Climber,Climber,Large Forb/Herb,Large Forb/Herb,Large Forb/Herb,Large Non-tufted grass/sedge,Large Non-tufted grass/sedge,Large Non-tufted grass/sedge,Large Shrub to Medium Tree,Large Shrub to Medium Tree,Large Shrub to Medium Tree,Large Tufted grass/sedge,Large Tufted grass/sedge,Large Tufted grass/sedge,Medium Forb/Herb,Medium Forb/Herb,Medium Forb/Herb,Medium Non-tufted grass/sedge,Medium Non-tufted grass/sedge,Medium Non-tufted grass/sedge,Medium Tufted grass/sedge,Medium Tufted grass/sedge,Medium Tufted grass/sedge,Non-tufted Ground Fern,Non-tufted Ground Fern,Non-tufted Ground Fern,Prostrate Shrub,Prostrate Shrub,Prostrate Shrub,Prostrate or Mat-forming Forb/Herb,Prostrate or Mat-forming Forb/Herb,Prostrate or Mat-forming Forb/Herb,Scrambler,Scrambler,Scrambler,Shrub,Shrub,Shrub,Small Forb/Herb,Small Forb/Herb,Small Forb/Herb,Small Non-tufted grass/sedge,Small Non-tufted grass/sedge,Small Non-tufted grass/sedge,Small Shrub,Small Shrub,Small Shrub,Small Tufted grass/sedge,Small Tufted grass/sedge,Small Tufted grass/sedge,Tiny Tufted grass/sedge,Tiny Tufted grass/sedge,Tiny Tufted grass/sedge,Tufted Ground Fern,Tufted Ground Fern,Tufted Ground Fern,Climber,Large Forb/Herb,Large Non-tufted grass/sedge,Large Shrub to Medium Tree,Large Tufted grass/sedge,Medium Forb/Herb,Medium Non-tufted grass/sedge,Medium Tufted grass/sedge,Non-tufted Ground Fern,Prostrate Shrub,Prostrate or Mat-forming Forb/Herb,Scrambler,Shrub,Small Forb/Herb,Small Non-tufted grass/sedge,Small Shrub,Small Tufted grass/sedge,Tiny Tufted grass/sedge,Tufted Ground Fern
Year,,,,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,Change 0-6,Change 0-6,Change 0-6,Change 0-6,Change 0-6,Change 0-6,Change 0-6,Change 0-6,Change 0-6,Change 0-6,Change 0-6,Change 0-6,Change 0-6,Change 0-6,Change 0-6,Change 0-6,Change 0-6,Change 0-6,Change 0-6
Treatment,Plot Number,Fenced,Gap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Control,2,False,False,0.5,0.9375,0.5,33.65625,48.8125,42.90625,0,0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,2.75,6.625,3.4375,5.40625,3.433333333333333,1.5,1.375,3.357142857142857,0.6,0.0,2.3333333333333335,0.5,0.5,3.0,1.5,11.964285714285714,7.333333333333333,1.625,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,1.2857142857142858,0.7222222222222222,0.0,1.0,0.0,8.65625,1.9,0.9230769230769231,0,0.0,0.0,0.5,1.25,0.5,0.0,9.25,0.0,0.0,-0.5,0.6875,-3.90625,-0.775,0.5,1.0,-10.339285714285714,0.0,-0.5,-0.5,0.2222222222222222,0.0,-7.733173076923077,0.0,0.0
Control,4,False,False,0.6,0.6666666666666666,0.5,26.476190476190474,27.5,26.5,0,0,0.0,0.0,0.0,0.0,0.625,0.5,0.5,2.0,3.7,1.9761904761904763,1.8421052631578947,2.176470588235294,0.6944444444444444,0.6818181818181818,0.9285714285714286,0.5,0.5,0.75,0.75,0.0,0.0,0.0,0.7666666666666667,1.5,1.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,1.65625,0.5625,0.0,0.0,0.0,4.119047619047619,1.7,0.7777777777777778,0,0.0,0.5,0.5,0.75,0.5,-0.09999999999999998,0.0238095238095255,0.0,0.0,-0.125,-0.023809523809523725,-1.1476608187134503,-0.18181818181818177,0.25,0.0,0.3761904761904761,0.0,0.0,0.0,0.0625,0.0,-3.341269841269841,0.5,0.0
Control,4,False,True,0.6666666666666666,0.7777777777777778,0.5,31.59090909090909,57.31818181818182,36.04545454545455,0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,2.272727272727273,6.7272727272727275,6.409090909090909,1.5,3.4,0.65,2.2857142857142856,1.0625,0.5,0.5,0.8333333333333334,0.0,0.5,0.5,1.0,1.4444444444444444,5.454545454545454,1.0454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.1818181818181819,0.5833333333333334,0.0,0.5,0.0,0.65,1.8181818181818181,0.875,0,0.0,0.0,0.0,0.0,0.0,-0.16666666666666663,4.454545454545457,0.0,0.0,0.0,4.136363636363637,-0.85,-1.7857142857142856,-0.5,0.5,-0.398989898989899,0.0,0.0,0.0,0.08333333333333337,0.0,0.22499999999999998,0.0,0.0
Control,6,False,False,0.625,0.5,0.5,26.34375,23.933333333333334,33.8125,0,0,0.0,0.0,0.0,0.0,1.5,0.75,0.5,2.6875,7.5,2.65625,12.866666666666667,3.6,1.2,2.142857142857143,0.9375,0.8636363636363636,2.2916666666666665,2.0,3.2,0.0,0.0,0.5,7.28125,4.233333333333333,1.21875,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5714285714285714,0.0,0.5909090909090909,1.0,0.5384615384615384,0.0,0.0,0.0,5.964285714285714,2.2,1.1666666666666667,0,0.0,0.0,0.0,0.5,0.0,-0.125,7.46875,0.0,0.0,-1.0,-0.03125,-11.666666666666668,-1.279220779220779,0.9083333333333337,0.5,-6.0625,0.0,-0.5,0.0,-0.0524475524475525,0.0,-4.7976190476190474,0.0,0.0
Control,11,False,False,0.5,0.5833333333333334,0.5,6.366666666666666,8.266666666666667,8.883333333333333,0,0,0.0,0.0,0.0,0.0,4.861111111111111,2.1,0.75,3.65625,5.046875,4.734375,7.854838709677419,1.15,1.0166666666666666,0.85,1.1363636363636365,4.611111111111111,0.0,0.0,0.0,0.0,0.0,0.0,11.65625,6.661290322580645,1.293103448275862,0.5,0.0,0.5,1.0,10.0,20.0,0.5,0.0,0.5,0.5476190476190477,0.7307692307692307,0.5,0.0,0.5,0.0,10.806451612903226,2.734375,2.370967741935484,0,0.0,0.0,0.0,0.0,0.0,0.0,2.5166666666666666,0.0,0.0,-4.111111111111111,1.078125,-6.838172043010752,3.7611111111111106,0.0,0.0,-10.363146551724139,0.0,19.0,0.0,-0.04761904761904767,0.0,-8.435483870967742,0.0,0.0
Gap,1,False,False,0.5,0.0,0.5,32.05,30.45,32.77777777777778,0,0,0.0,0.0,0.0,0.0,0.5,0.75,0.5,2.35,4.333333333333333,6.2,1.65,1.3125,0.7,4.083333333333333,0.8571428571428571,0.6428571428571429,0.5,0.8333333333333334,3.6666666666666665,0.0,0.0,0.0,1.85,1.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5714285714285714,0.7142857142857143,0.7857142857142857,0.0,0.0,0.0,2.8333333333333335,1.7777777777777777,1.375,0,0.0,0.0,0.0,0.0,0.5,0.0,0.7277777777777814,0.0,0.0,0.0,3.85,-0.95,-3.4404761904761902,3.1666666666666665,0.0,-0.15000000000000013,0.0,0.0,-0.5,0.2142857142857143,0.0,-1.4583333333333335,0.0,0.5
Gap,1,False,True,0.5,0.5,0.5,19.75,23.166666666666668,34.75,0,0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.8333333333333335,8.333333333333334,3.25,0.7,0.875,0.6,1.25,3.125,1.1,2.75,1.0,1.0,0.0,0.0,0.0,2.4166666666666665,4.083333333333333,2.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.6666666666666666,1.5833333333333333,0.8,0.0,0.0,0.0,5.666666666666667,2.4166666666666665,1.5833333333333333,0,0.0,0.0,0.0,0.0,0.5,0.0,15.0,0.0,0.0,-2.0,0.4166666666666665,-0.09999999999999998,-0.1499999999999999,-1.75,0.0,-0.08333333333333304,0.0,0.5,0.0,0.13333333333333341,0.0,-4.083333333333334,0.0,0.5
Gap,8,False,False,0.0,0.0,0.0,26.1875,29.1875,31.0,0,0,0.0,0.0,0.5,0.0,2.0,0.6666666666666666,0.5,2.6875,2.875,2.857142857142857,0.75,0.6875,0.6428571428571429,1.3333333333333333,1.1666666666666667,0.9,5.0,1.0,5.0,0.0,0.0,0.0,2.7142857142857144,0.8571428571428571,1.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.5714285714285714,0.5,0.0,0.0,0.0,1.1875,1.1875,1.3125,0,0.0,0.0,0.0,0.0,0.0,0.0,4.8125,0.0,0.0,-1.5,0.1696428571428572,-0.1071428571428571,-0.43333333333333324,0.0,0.0,-1.5892857142857144,0.0,0.0,0.0,-0.0714285714285714,0.0,0.125,0.0,0.0
