Life Form,,,,,Climber,Climber,Climber,Large Forb/Herb,Large Forb/Herb,Large Forb/Herb,Large Non-tufted grass/sedge,Large Non-tufted grass/sedge,Large Non-tufted grass/sedge,Large Shrub to Medium Tree,Large Shrub to Medium Tree,Large Shrub to Medium Tree,Large Tufted grass/sedge,Large Tufted grass/sedge,Large Tufted grass/sedge,Medium Forb/Herb,Medium Forb/Herb,Medium Forb/Herb,Medium Non-tufted grass/sedge,Medium Non-tufted grass/sedge,Medium Non-tufted grass/sedge,Medium Tufted grass/sedge,Medium Tufted grass/sedge,Medium Tufted grass/sedge,Non-tufted Ground Fern,Non-tufted Ground Fern,Non-tufted Ground Fern,Prostrate Shrub,Prostrate Shrub,Prostrate Shrub,Prostrate or Mat-forming Forb/Herb,Prostrate or Mat-forming Forb/Herb,Prostrate or Mat-forming Forb/Herb,Scrambler,Scrambler,Scrambler,Shrub,Shrub,Shrub,Small Forb/Herb,Small Forb/Herb,Small Forb/Herb,Small Non-tufted grass/sedge,Small Non-tufted grass/sedge,Small Non-tufted grass/sedge,Small Shrub,Small Shrub,Small Shrub,Small Tufted grass/sedge,Small Tufted grass/sedge,Small Tufted grass/sedge,Tiny Tufted grass/sedge,Tiny Tufted grass/sedge,Tiny Tufted grass/sedge,Tufted Ground Fern,Tufted Ground Fern,Tufted Ground Fern
Year,,,,,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6
Treatment,Plot Number,Fenced,Gap,Shade Tolerant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Control,2,False,False,False,0.0,0.0,0.0,2.59375,6.34375,1.65625,0,0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,2.1875,9.28125,3.0,0.0,0.5,3.5,2.4375,5.75,0.6,0.0,4.5,0.5,0.0,0.0,0.0,1.7916666666666667,2.0416666666666665,2.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,3.5714285714285716,1.6111111111111112,0.0,1.0,0.0,11.34375,3.0,1.0909090909090908,0,0.0,0.0,0.0,0.0,0.0
Control,2,False,False,True,0.5,1.4375,0.5,38.36666666666667,55.766666666666666,46.875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4615384615384615,3.9615384615384617,1.6428571428571428,8.21875,6.233333333333333,2.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.5,9.0,3.5,15.833333333333334,11.73076923076923,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.6666666666666666,0,0.0,0.0,0.5,2.25,0.5
Control,4,False,False,False,0.0,0.0,0.0,1.5238095238095237,3.3,1.0,0,0,0.0,0.0,0.0,0.0,0.625,0.5,0.5,1.8157894736842106,4.4,1.45,0.0,0.0,0.625,1.0454545454545454,2.0714285714285716,0.5,0.5,1.75,1.75,0.0,0.0,0.0,0.7142857142857143,1.2894736842105263,0.925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3.125,0.8125,0.0,0.0,0.0,5.5476190476190474,2.95,0.5,0,0.0,0.5,0.0,0.0,0.0
Control,4,False,False,True,1.0,1.3333333333333333,0.5,31.025,32.921052631578945,33.18421052631579,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8214285714285714,2.138888888888889,0.8529411764705882,2.5526315789473686,3.2058823529411766,0.7777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7083333333333334,1.84375,0.6785714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.1666666666666667,0,0.0,0.0,0.5,1.75,0.5
Control,4,False,True,False,0.5,0.0,0.0,1.5909090909090908,4.7727272727272725,1.0625,0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,2.0625,6.318181818181818,6.636363636363637,0.0,0.0,0.5,4.142857142857143,2.8125,0.5,0.5,1.5,0.0,0.0,0.0,0.0,0.5,2.8636363636363638,1.5909090909090908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.8181818181818183,0.9166666666666666,0.0,0.5,0.0,1.05,3.909090909090909,1.75,0,0.0,0.0,0.0,0.0,0.0
Control,4,False,True,True,0.5,1.6666666666666667,0.5,35.0,63.68181818181818,48.333333333333336,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8333333333333333,5.136363636363637,1.7777777777777777,2.0555555555555554,5.15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,3.0,2.0,7.8,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0,0.0,0.0,0.0,0.0,0.0
Control,6,False,False,False,0.0,0.0,0.0,1.15625,1.5833333333333333,0.8333333333333334,0,0,0.0,0.0,0.0,0.0,1.8571428571428572,0.5,0.5,2.75,4.53125,2.28125,0.0,0.0,1.2142857142857142,3.8214285714285716,1.9375,1.0454545454545454,4.125,3.772727272727273,5.15,0.0,0.0,0.0,1.1333333333333333,3.3076923076923075,1.3125,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.9545454545454546,3.0,0.6923076923076923,0.0,0.0,0.0,8.571428571428571,3.230769230769231,2.0555555555555554,0,0.0,0.0,0.0,0.0,0.0
Control,6,False,False,True,1.125,0.5,0.5,38.541666666666664,29.0,40.2,0,0,0.0,0.0,0.0,0.0,1.3333333333333333,1.75,0.5,1.1818181818181819,7.214285714285714,1.2307692307692308,16.8,5.833333333333333,1.7142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,11.458333333333334,4.892857142857143,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.7777777777777778,1.4166666666666667,0,0.0,0.0,0.0,0.5,0.0
