Life Form,,,,Climber,Climber,Climber,Large Forb/Herb,Large Forb/Herb,Large Forb/Herb,Large Non-tufted grass/sedge,Large Non-tufted grass/sedge,Large Non-tufted grass/sedge,Large Shrub to Medium Tree,Large Shrub to Medium Tree,Large Shrub to Medium Tree,Large Tufted grass/sedge,Large Tufted grass/sedge,Large Tufted grass/sedge,Medium Forb/Herb,Medium Forb/Herb,Medium Forb/Herb,Medium Non-tufted grass/sedge,Medium Non-tufted grass/sedge,Medium Non-tufted grass/sedge,Medium Tufted grass/sedge,Medium Tufted grass/sedge,Medium Tufted grass/sedge,Non-tufted Ground Fern,Non-tufted Ground Fern,Non-tufted Ground Fern,Prostrate Shrub,Prostrate Shrub,Prostrate Shrub,Prostrate or Mat-forming Forb/Herb,Prostrate or Mat-forming Forb/Herb,Prostrate or Mat-forming Forb/Herb,Scrambler,Scrambler,Scrambler,Shrub,Shrub,Shrub,Small Forb/Herb,Small Forb/Herb,Small Forb/Herb,Small Non-tufted grass/sedge,Small Non-tufted grass/sedge,Small Non-tufted grass/sedge,Small Shrub,Small Shrub,Small Shrub,Small Tufted grass/sedge,Small Tufted grass/sedge,Small Tufted grass/sedge,Tiny Tufted grass/sedge,Tiny Tufted grass/sedge,Tiny Tufted grass/sedge,Tufted Ground Fern,Tufted Ground Fern,Tufted Ground Fern
Year,,,,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6
Treatment,Fenced,Gap,Shade Tolerant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Control,False,False,False,0.0,0.0,0.5,1.4695121951219512,3.0,1.2123287671232876,0,0,0.0,0.0,0.0,0.0,5.0,2.46875,1.0,2.8493975903614457,6.553571428571429,3.0833333333333335,0.0,0.5,1.8235294117647058,2.488372093023256,3.1458333333333335,2.739130434782609,3.4,3.4444444444444446,4.269230769230769,0.0,0.0,0.0,1.0714285714285714,1.8017241379310345,1.43125,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.6851851851851852,2.5762711864406778,0.9054054054054054,0.0,0.75,0.0,10.54320987654321,3.68,1.1666666666666667,0,0.0,0.5,0.0,0.0,0.0
Control,False,False,True,0.7777777777777778,1.0769230769230769,0.5,31.45762711864407,32.28030303030303,33.88805970149254,0,0,0.0,0.0,0.0,0.0,0.75,1.75,0.5,1.076271186440678,3.4779411764705883,1.3733333333333333,9.41358024691358,3.9155844155844157,1.5961538461538463,0.0,0.0,0.0,0.0,0.0,0.0,0.5,9.0,1.25,12.007936507936508,7.006756756756757,0.7021276595744681,0.0,0.0,0.0,3.0,15.0,25.0,0.5,0.8125,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.7142857142857143,1.9596774193548387,0,0.0,0.0,0.5,1.3571428571428572,0.5
Control,False,True,False,0.5,0.0,0.0,1.5909090909090908,4.7727272727272725,1.0625,0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,2.0625,6.318181818181818,6.636363636363637,0.0,0.0,0.5,4.142857142857143,2.8125,0.5,0.5,1.5,0.0,0.0,0.0,0.0,0.5,2.8636363636363638,1.5909090909090908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.8181818181818183,0.9166666666666666,0.0,0.5,0.0,1.05,3.909090909090909,1.75,0,0.0,0.0,0.0,0.0,0.0
Control,False,True,True,0.5,1.6666666666666667,0.5,35.0,63.68181818181818,48.333333333333336,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8333333333333333,5.136363636363637,1.7777777777777777,2.0555555555555554,5.15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,3.0,2.0,7.8,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0,0.0,0.0,0.0,0.0,0.0
Gap,False,False,False,0.0,0.0,0.0,1.3870967741935485,2.53125,1.4137931034482758,0,0,0.0,0.0,0.5,0.0,3.607142857142857,1.9166666666666667,1.3333333333333333,2.0588235294117645,4.161764705882353,3.234375,0.0,0.5,0.5,5.041666666666667,2.0588235294117645,1.0238095238095237,2.8333333333333335,2.375,5.875,0.0,0.0,0.0,0.9423076923076923,0.9761904761904762,1.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7941176470588235,1.088235294117647,1.6111111111111112,0.0,0.0,0.5,4.666666666666667,3.257575757575758,1.4047619047619047,0,0.0,0.0,0.0,0.0,0.0
Gap,False,False,True,0.5,0.5,0.5,25.5,26.18,28.53846153846154,0,0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,1.4565217391304348,1.6,2.5689655172413794,4.606060606060606,2.4310344827586206,1.8269230769230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.689655172413793,2.230769230769231,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.5892857142857142,0,0.0,0.0,0.5,0.5,0.5
Gap,False,True,False,0.0,0.5,0.0,1.5,3.5,1.8157894736842106,0,0,0.0,0.0,0.0,0.0,6.208333333333333,3.75,1.9,3.037037037037037,8.678571428571429,2.94,0.0,0.5,0.5,3.0,3.0,3.8055555555555554,4.0,3.0,3.0,0.0,0.0,0.0,0.8260869565217391,1.825,2.5961538461538463,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,1.125,2.46875,1.4375,0.0,0.0,0.0,8.537037037037036,5.461538461538462,0.9642857142857143,0,2.1666666666666665,0.5,0.0,0.0,0.0
Gap,False,True,True,0.5,0.5,0.5,20.25,21.894736842105264,30.19047619047619,0,0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.868421052631579,3.652173913043478,2.0833333333333335,5.6,8.522727272727273,7.913043478260869,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,6.684210526315789,3.6944444444444446,0.6785714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.875,3.425,0,0.0,0.0,0.5,1.75,1.1
Gap,True,False,False,0.0,0.0,0.0,1.5,2.6818181818181817,1.125,0,0,3.0,0.0,0.0,0.0,0.9166666666666666,2.9285714285714284,3.0,2.8636363636363638,7.045454545454546,2.9545454545454546,0.0,0.0,0.0,0.5,1.2,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,1.3333333333333333,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3.0,3.0,0.0,0.0,0.0,10.727272727272727,8.454545454545455,3.0,0,0.0,0.0,0.0,0.0,0.0
Gap,True,False,True,0.0,0.0,0.0,6.583333333333333,11.5,18.0,0,0,0.0,0.5,0.5,2.1666666666666665,0.0,0.0,0.0,3.4,1.8181818181818181,2.4,15.5,4.5,2.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.125,8.2,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,5.785714285714286,0,0.0,0.0,0.5,0.5,1.75
Gap,True,True,False,0.0,0.0,0.0,2.0,4.785714285714286,1.8461538461538463,0,0,0.0,0.0,0.0,0.0,1.5,10.38888888888889,13.3,2.7857142857142856,7.523809523809524,5.735294117647059,0.0,0.0,0.0,0.75,6.888888888888889,12.392857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,1.7666666666666666,1.2142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.125,3.0,0.0,0.0,0.0,11.666666666666666,5.78125,1.9285714285714286,0,0.0,0.0,0.0,0.0,0.0
Gap,True,True,True,0.0,2.1666666666666665,0.0,7.3,12.0,20.966666666666665,0,0,0.0,0.5,0.5,3.0,0.0,0.0,0.0,1.5,2.1333333333333333,1.088235294117647,5.722222222222222,13.25,3.4444444444444446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,5.066666666666666,0.5,0.0,0.0,0.0,0.0,7.75,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5714285714285714,4.5,0,0.0,0.0,0.5,1.75,1.3333333333333333
Radial,False,False,False,0.0,0.0,0.0,1.975,2.9285714285714284,0.775,0,0,0.0,0.0,0.0,0.0,1.6875,2.375,0.0,2.8333333333333335,6.375,3.119047619047619,0.0,0.0,1.125,1.1111111111111112,0.5,9.0625,0.5,3.0,1.75,0.0,0.0,0.0,0.8157894736842105,2.5,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.1666666666666665,1.0,0.0,0.0,0.5,11.166666666666666,6.181818181818182,0.8333333333333334,0,0.0,0.0,0.0,0.0,0.0
Radial,False,False,True,0.5,0.0,0.5,35.27777777777778,30.0,33.44444444444444,0,0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,1.25,1.8333333333333333,1.3235294117647058,5.5,2.892857142857143,1.4210526315789473,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,6.857142857142857,4.785714285714286,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.6666666666666667,0,0.0,0.0,0.5,0.0,0.5
Radial,False,True,False,0.0,0.0,0.0,1.825,2.2884615384615383,1.0,0,0,0.0,0.0,0.0,0.0,4.7272727272727275,6.6875,1.125,3.4125,7.015625,1.9125,0.0,0.0,1.25,5.3,2.5,6.029411764705882,1.5,4.4,0.8571428571428571,0.0,0.0,0.0,0.9078947368421053,3.1739130434782608,2.025,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.7631578947368421,1.5714285714285714,1.6578947368421053,0.5,0.0,0.5,9.634146341463415,4.090909090909091,1.8695652173913044,0,0.0,0.0,0.0,0.0,0.0
