Treatment,Plot Number,Fenced,Gap,0,3,6
Control,2,False,False,1.8162492726398636,2.139702230899799,1.3196326622977677
Control,4,False,False,1.3816648737278223,1.9571058874236629,1.0817618480028326
Control,4,False,True,1.3175330371082057,1.8640237963660886,1.2948860041168075
Control,6,False,False,2.061126367919406,2.3618207941241502,1.4788703723611796
Control,11,False,False,2.213682824804352,2.715787965940785,2.8364882707594745
Gap,1,False,False,1.4793105446178436,1.7437007668931537,1.9263262373684933
Gap,1,False,True,1.9111893644897493,2.4321559446508085,1.7394030166981982
Gap,8,False,False,1.903047109053308,1.7144197344723286,1.2721656478875072
Gap,8,False,True,2.1147933097424993,2.4587246643403664,1.724017753582058
Gap,10,False,False,1.9237178522139928,2.390029237991992,2.3749249567936843
Gap,10,False,True,1.8756608950393932,2.8465538663054915,1.871350133718735
Gap,10,True,False,1.7295126750662198,2.2242046237119464,2.343540875758177
Gap,10,True,True,1.7489343853850288,2.9099665177867933,2.31242338271072
Gap,12,False,False,2.1872609797402127,2.884472239657405,1.9901255946125485
Gap,12,False,True,2.3155140472101596,2.8836491530189337,1.9206142586482011
Gap,12,True,False,1.9557071245599293,2.7642771796742296,2.276683220859493
Gap,12,True,True,2.359632561987467,2.629296526215856,1.976983926002255
Radial,3,False,False,1.4276513733965375,,1.3905949406611848
Radial,3,False,True,1.825408157035935,,1.0994731536597422
Radial,5,False,False,1.778093381313471,1.7113782556179935,1.4924679510788637
Radial,5,False,True,1.7910879888960718,1.5193256305600642,1.4973666573449411
Radial,7,False,False,1.6440727678917262,2.609241633549975,2.086229118626879
Radial,7,False,True,1.7801723873201474,2.4181765122380185,2.0918525241631523
Radial,7,True,False,2.142448100284508,2.6739479728870448,2.262828273496767
Radial,7,True,True,1.9756003138838918,2.4741695811070716,2.1252378782019172
Radial,9,False,False,2.4370917845886204,2.627268696877821,2.0121663127892013
Radial,9,False,True,2.515423003036938,2.352517513315729,2.2244301056596836
Radial,9,True,False,1.7688525942338593,1.9480753259654544,2.4913558980125803
Radial,9,True,True,2.4699414359194902,2.6688906283788714,2.457381152605219
