Treatment,Plot Number,Quadrat Number,Fenced,Gap,0,3,6
Control,2,1,False,False,1.5616325151917678,2.0638176120098035,0.6882548262024171
Control,2,2,False,False,1.5184368878851895,2.240573132771356,1.4172722923148737
Control,2,3,False,False,1.3928583248174133,1.5487075064609923,1.2941965593483526
Control,2,4,False,False,1.8129288804939536,2.2394724018637926,1.1762951291264743
Control,2,5,False,False,1.3265662231967905,1.7292103997941655,0.9843269085561159
Control,2,6,False,False,1.487169258027421,1.4378507794001396,1.47893172225792
Control,2,7,False,False,1.4066437531295173,1.9427302692646067,1.1884267721911213
Control,2,8,False,False,1.0770041224817049,1.2537589569179481,0.9467862164378512
Control,2,9,False,False,1.630323473475415,1.4205719259467045,0.691891015404975
Control,2,10,False,False,1.3309289013829007,1.8043885417122916,1.2444329565727237
Control,2,11,False,False,1.5703514661311382,1.5876408678007536,1.0741282148965705
Control,2,12,False,False,1.5040076873655344,1.0422051704138733,0.9792462703809115
Control,2,13,False,False,1.350313940800618,1.8261269090500247,0.8736511307120021
Control,2,14,False,False,0.9951108697939647,1.751105361470613,0.9951108697939647
Control,2,15,False,False,1.9206765920171578,1.8420360904980289,1.4106701872552831
Control,2,16,False,False,1.8603824705528051,1.5167699621742048,1.5214827137155376
Control,4,1,False,True,1.194234371554995,1.4958844119357022,1.1286782137194098
Control,4,2,False,False,1.8653027529087565,1.8215378861052798,0.7229100566050916
Control,4,3,False,True,0.9849048957451804,1.2011418933274645,0.5763974616697747
Control,4,4,False,True,1.394859977711707,1.471237463759905,1.0726698589967292
Control,4,5,False,True,1.4780612314934511,1.383861943543639,0.5638025571168586
Control,4,6,False,True,0.9210855735643053,2.0377740301042215,0.6206319322618702
Control,4,7,False,False,0.5553414826908527,1.6579240955137275,0.6882548262024173
Control,4,8,False,False,0.9951108697939647,1.2599747504328027,0.4787180741389978
Control,4,9,False,True,0.7280589938983009,1.5432838255146797,2.1006789212792607
Control,4,10,False,True,1.1651388041816784,1.9458945462053654,0.6469540996693323
Control,4,11,False,True,0.9565232195059121,1.5775531595706587,0.8343253910319791
Control,4,12,False,False,0.6645932978806925,1.7827218267324612,2.113719106506649
Control,4,13,False,True,1.0472559679279885,1.4769696031049888,1.0268273536739896
Control,4,14,False,True,1.3882717098827566,2.0789178786225317,1.1849237774294064
Control,4,15,False,False,0.5378133116639232,1.1285312122314426,0.4609621700999719
Control,4,16,False,True,0.9346376601288024,2.136715721682758,0.7062475504613757
Control,4,17,False,False,0.728058993898301,1.621849816892757,1.8711604142318066
Control,4,18,False,False,1.1036126052587207,1.4698116343365126,1.1026151103689326
Control,4,19,False,False,0.8677108043792212,1.4307659398992494,0.5553414826908527
Control,4,20,False,False,1.595871353024354,1.6557634982447764,1.5755315054929402
Control,4,21,False,False,1.0634130106215733,2.0903860474327303,0.7799550162465079
Control,4,22,False,False,1.3323796189636514,1.4698116343365126,1.2435020540642792
Control,4,23,False,False,0.9958063511279934,1.8054225861006001,0.640036020064709
Control,4,24,False,False,0.8531903058911254,1.435518817490716,0.8531903058911254
Control,4,25,False,False,1.1385385012178457,2.011481947956455,1.3006137122382782
Control,4,26,False,False,1.4227912615077243,1.4120851672534431,1.1507864782892403
Control,4,27,False,False,0.8461637579146313,0.8772797432833438,0.8357723313694281
Control,4,28,False,False,0.8531903058911254,0.999745622406781,0.6880093851773278
Control,4,29,False,False,0.9042976302158141,2.4436158302698052,0.45248920999992037
Control,4,30,False,False,0.9934511134480197,1.7010941435741163,1.1248163942152103
Control,4,31,False,False,1.124648256419889,1.2212293420424076,0.4787180741389978
Control,4,32,False,False,0.8772797432833437,,1.8711604142318066
Control,6,1,False,False,1.4654720281832587,1.6397436673429238,1.1305321769932517
Control,6,2,False,False,1.8457173725297793,1.664845660510089,1.1700290904033346
Control,6,3,False,False,1.2595825030104812,1.1324893909414349,0.7470922153796568
Control,6,4,False,False,1.3762688874230606,1.566012721175778,0.86785081822415
Control,6,5,False,False,2.048693230846262,2.3501955913332413,1.5026208180741556
Control,6,6,False,False,1.9353099238804394,2.2891745072142387,1.3087068120924905
Control,6,7,False,False,1.961205483497194,2.4069450512765798,2.08567656777001
Control,6,8,False,False,2.165881409536161,2.0975457597288325,1.5070168972359388
Control,6,9,False,False,1.5436803995217054,0.7868358213179298,0.6849527799414722
Control,6,10,False,False,1.4982474187023547,1.7317390083322481,1.4852349319921818
Control,6,11,False,False,1.9669113753402432,1.244432956572724,1.0634130106215731
Control,6,12,False,False,0.802847726617413,0.9161043239935012,0.6882548262024171
Control,6,13,False,False,1.814276019406927,1.9366446991956614,1.087696882827057
Control,6,14,False,False,1.413333724411844,2.23429755650099,2.017647674709752
Control,6,15,False,False,1.429252843574626,2.37422348786596,1.4227912615077243
Control,6,16,False,False,2.1137191065066494,1.7917594692280547,1.73798344858705
