Treatment,Fenced,Gap,0,3,6
Control,False,False,2.123246181765938,2.494750744721661,1.899496118911799
Control,False,True,1.3175330371082057,1.8640237963660886,1.2948860041168075
Gap,False,False,2.0709355475060507,2.2276436321847712,1.9709666835442674
Gap,False,True,2.230815939456192,2.874759903027264,2.1114579979926624
Gap,True,False,2.125019346810138,2.7263422464289055,2.498498959268223
Gap,True,True,2.1788576564343,2.9744041084432755,2.4062240485505293
Radial,False,False,2.111979441254317,2.7431992571185115,2.1409407677841656
Radial,False,True,2.2271880135902777,2.3862263501238603,1.9335933670048495
Radial,True,False,2.12493186690838,2.658149459231997,2.5347853334884043
Radial,True,True,2.3882721619390295,2.7133766837448565,2.584169716643945
