Life Form,,,,,Climber,Climber,Climber,Large Forb/Herb,Large Forb/Herb,Large Forb/Herb,Large Non-tufted grass/sedge,Large Non-tufted grass/sedge,Large Non-tufted grass/sedge,Large Shrub to Medium Tree,Large Shrub to Medium Tree,Large Shrub to Medium Tree,Large Tufted grass/sedge,Large Tufted grass/sedge,Large Tufted grass/sedge,Medium Forb/Herb,Medium Forb/Herb,Medium Forb/Herb,Medium Non-tufted grass/sedge,Medium Non-tufted grass/sedge,Medium Non-tufted grass/sedge,Medium Tufted grass/sedge,Medium Tufted grass/sedge,Medium Tufted grass/sedge,Non-tufted Ground Fern,Non-tufted Ground Fern,Non-tufted Ground Fern,Prostrate Shrub,Prostrate Shrub,Prostrate Shrub,Prostrate or Mat-forming Forb/Herb,Prostrate or Mat-forming Forb/Herb,Prostrate or Mat-forming Forb/Herb,Scrambler,Scrambler,Scrambler,Shrub,Shrub,Shrub,Small Forb/Herb,Small Forb/Herb,Small Forb/Herb,Small Non-tufted grass/sedge,Small Non-tufted grass/sedge,Small Non-tufted grass/sedge,Small Shrub,Small Shrub,Small Shrub,Small Tufted grass/sedge,Small Tufted grass/sedge,Small Tufted grass/sedge,Tiny Tufted grass/sedge,Tiny Tufted grass/sedge,Tiny Tufted grass/sedge,Tufted Ground Fern,Tufted Ground Fern,Tufted Ground Fern
Year,,,,,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6
Treatment,Plot Number,Fenced,Gap,Shade Tolerant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Control,2,False,False,False,0.0,0.0,0.0,2.03125,3.09375,1.03125,0,0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,2.0625,5.0625,2.5,0.0,0.5,1.875,1.375,3.357142857142857,0.6,0.0,2.3333333333333335,0.5,0.0,0.0,0.0,1.125,1.0416666666666667,1.3,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,1.2857142857142858,0.7222222222222222,0.0,1.0,0.0,8.625,1.9,0.7272727272727273,0,0.0,0.0,0.0,0.0,0.0
Control,2,False,False,True,0.5,0.9375,0.5,33.733333333333334,48.766666666666666,41.875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8461538461538461,1.9230769230769231,1.0714285714285714,5.40625,3.4,1.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3.0,1.5,12.833333333333334,7.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.6666666666666666,0,0.0,0.0,0.5,1.25,0.5
Control,4,False,False,False,0.0,0.0,0.0,1.4285714285714286,1.7,0.8888888888888888,0,0,0.0,0.0,0.0,0.0,0.625,0.5,0.5,1.605263157894737,2.4,1.45,0.0,0.0,0.625,0.6818181818181818,0.9285714285714286,0.5,0.5,0.75,0.75,0.0,0.0,0.0,0.7142857142857143,0.868421052631579,0.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.65625,0.5625,0.0,0.0,0.0,4.095238095238095,1.675,0.5,0,0.0,0.5,0.0,0.0,0.0
Control,4,False,False,True,0.6,0.6666666666666666,0.5,26.3,27.157894736842106,28.44736842105263,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6785714285714286,1.4444444444444444,0.7352941176470589,1.8421052631578947,2.176470588235294,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5416666666666666,0.84375,0.5357142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.6333333333333333,0,0.0,0.0,0.5,0.75,0.5
Control,4,False,True,False,0.5,0.0,0.0,1.5909090909090908,2.727272727272727,0.8125,0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.8125,4.318181818181818,5.5,0.0,0.0,0.5,2.2857142857142856,1.0625,0.5,0.5,0.8333333333333334,0.0,0.0,0.0,0.0,0.5,1.4090909090909092,0.8636363636363636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.1818181818181819,0.5833333333333334,0.0,0.5,0.0,0.65,1.7272727272727273,0.75,0,0.0,0.0,0.0,0.0,0.0
Control,4,False,True,True,0.5,0.7777777777777778,0.5,30.0,54.59090909090909,43.333333333333336,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1666666666666667,2.409090909090909,1.1111111111111112,1.5,3.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.1875,4.45,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0,0.0,0.0,0.0,0.0,0.0
Control,6,False,False,False,0.0,0.0,0.0,1.03125,1.0416666666666667,0.8333333333333334,0,0,0.0,0.0,0.0,0.0,1.2142857142857142,0.5,0.5,2.125,2.53125,1.90625,0.0,0.0,0.6428571428571429,2.142857142857143,0.9375,0.8636363636363636,2.2916666666666665,2.0,3.2,0.0,0.0,0.0,0.8666666666666667,1.4230769230769231,0.9375,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5909090909090909,1.0,0.5384615384615384,0.0,0.0,0.0,5.928571428571429,2.1538461538461537,0.9444444444444444,0,0.0,0.0,0.0,0.0,0.0
Control,6,False,False,True,0.625,0.5,0.5,33.75,24.75,35.4,0,0,0.0,0.0,0.0,0.0,0.6666666666666666,0.75,0.5,0.8181818181818182,5.678571428571429,0.9230769230769231,12.866666666666667,3.6,0.9642857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,8.625,3.2142857142857144,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5555555555555556,0.75,0,0.0,0.0,0.0,0.5,0.0
