Treatment,Plot Number,Quadrat Number,Fenced,Gap,0,3,6,Change 0-6
Control,2,1,False,False,1.422957631006003,1.903229461461994,0.6397478810138537,-0.7832097499921493
Control,2,2,False,False,1.4577433807525262,1.972086444253957,1.2582744819500955,-0.19946889880243068
Control,2,3,False,False,1.3397966219488495,1.221342013522618,1.1473158146835827,-0.19248080726526684
Control,2,4,False,False,1.6815527866410642,2.175981125861106,0.9865606893138343,-0.6949920973272299
Control,2,5,False,False,1.3471728898735844,1.5195670627194855,0.7696669752777675,-0.5775059145958169
Control,2,6,False,False,1.416731167952681,1.1969999134323164,1.2361806958003656,-0.18055047215231546
Control,2,7,False,False,1.2701479678002614,1.4015451938980044,1.0343314961677932,-0.23581647163246822
Control,2,8,False,False,0.9795111572812828,0.9045190066275088,0.7477634524669784,-0.2317477048143044
Control,2,9,False,False,1.5285810848912917,1.7478680974667578,0.740436314460562,-0.7881447704307297
Control,2,10,False,False,1.2766108539793088,1.3087523790808744,0.9980763327771144,-0.27853452120219446
Control,2,11,False,False,1.3090896756937973,1.2302546048903362,1.0959795720256091,-0.21311010366818817
Control,2,12,False,False,1.363973519205135,0.6987245869654027,0.7240349418360086,-0.6399385773691264
Control,2,13,False,False,1.2900213573909207,1.5615325383191478,0.6600940476737164,-0.6299273097172043
Control,2,14,False,False,0.8837781967162704,1.2799430398451812,0.8837781967162706,1.1102230246251565e-16
Control,2,15,False,False,2.2538575896013526,1.773151591975083,1.4924865876899138,-0.7613710019114388
Control,2,16,False,False,2.0740965945786995,1.3694853267429996,1.7233917060220518,-0.3507048885566477
Control,4,1,False,True,1.0948636056359111,1.1376959277275915,0.8529899264462437,-0.2418736791896674
Control,4,2,False,False,2.055960564217714,1.7357994822736817,0.8026703878395404,-1.2532901763781736
Control,4,3,False,True,0.7552660068532946,0.8788384500429346,0.42698369771646477,-0.3282823091368298
Control,4,4,False,True,1.4134946715404564,1.3535956037372772,1.1091859457797952,-0.30430872576066115
Control,4,5,False,True,1.396763301667289,1.059451547513154,0.5013593388839706,-0.8954039627833184
Control,4,6,False,True,0.8982187629779357,1.6577671097481506,0.49055211820588396,-0.4076666447720517
Control,4,7,False,False,0.6046748839534812,1.38577766394538,0.6397478810138537,0.03507299706037248
Control,4,8,False,False,0.8837781967162704,0.9367791046130325,0.5139620148941513,-0.36981618182211917
Control,4,9,False,True,0.6811801011637322,1.338397692571909,2.3693821196946767,1.6882020185309445
Control,4,10,False,True,1.3245117640586994,1.8216966823215748,0.5892716132743714,-0.735240150784328
Control,4,11,False,True,0.8262041404665299,1.2884012309413728,0.9609194421369969,0.13471530167046697
Control,4,12,False,False,0.7390570458589872,1.5822598044713707,2.4410152780267023,1.7019582321677151
Control,4,13,False,True,1.3012735723630322,1.0791256170184647,0.9054676676922013,-0.3958059046708309
Control,4,14,False,True,1.6809122441610316,1.8417286750815072,1.2308086294221012,-0.45010361473893035
Control,4,15,False,False,0.5708077061627648,1.0470827790999222,0.48970870385881915,-0.08109900230394562
Control,4,16,False,True,0.9331935549145991,1.9187951682167728,0.6537156626487677,-0.2794778922658314
Control,4,17,False,False,0.6811801011637321,1.7315028568485156,2.1639556568820564,1.4827755557183244
Control,4,18,False,False,1.0050446141287661,1.1720789215945469,1.2564807472206176,0.25143613309185153
Control,4,19,False,False,0.8521984098314971,1.1183479864469572,0.6046748839534812,-0.24752352587801585
Control,4,20,False,False,1.7751250090009736,1.4647533231421372,1.682618342459702,-0.09250666654127149
Control,4,21,False,False,0.9942020361425397,2.3393717343898155,0.8647123171643046,-0.12948971897823502
Control,4,22,False,False,1.3139656796908754,1.1720789215945469,1.2993064120383377,-0.014659267652537666
Control,4,23,False,False,1.0504016345977447,1.9019272648089849,0.8222900060250078,-0.22811162857273692
Control,4,24,False,False,1.0767759226310025,1.3161720255937717,1.0767759226310025,0.0
Control,4,25,False,False,1.113188127074204,1.9379780653990002,1.3656825384909106,0.2524944114167067
Control,4,26,False,False,1.4057220242065283,1.1896269514821403,1.061874623765728,-0.3438474004408003
Control,4,27,False,False,0.8142823710376789,0.8491566270212731,0.925244732472692,0.11096236143501315
Control,4,28,False,False,1.0767759226310025,1.0114046028090835,0.7971347991462774,-0.27964112348472514
Control,4,29,False,False,1.0385868451839835,2.6533048729309274,0.49367623750195055,-0.5449106076820329
Control,4,30,False,False,1.0461725657288912,1.7782081004252088,1.1600754508034927,0.11390288507460156
Control,4,31,False,False,1.1354032388089317,1.0436339084878345,0.5139620148941513,-0.6214412239147804
Control,4,32,False,False,0.8491566270212729,,2.1639556568820564,1.3147990298607835
Control,6,1,False,False,1.451644291728291,1.736063046543799,0.9281251362219304,-0.5235191555063606
Control,6,2,False,False,1.8662606801451271,1.595380659269308,0.9035016154271962,-0.9627590647179309
Control,6,3,False,False,1.1262107031592858,0.9317815768239419,0.6320258824977197,-0.4941848206615661
Control,6,4,False,False,1.2573179687087428,1.2518923500623877,0.6916160119770728,-0.56570195673167
Control,6,5,False,False,1.9743209498391805,2.261482645387028,1.5346157831256386,-0.4397051667135419
Control,6,6,False,False,1.735933696443945,1.9227178686654125,1.1538939957064416,-0.5820397007375033
Control,6,7,False,False,2.087041240252949,2.6499487930019874,2.3033574600349676,0.21631621978201876
Control,6,8,False,False,1.9710334173137285,1.9015522881149365,1.5691142621152696,-0.4019191551984589
Control,6,9,False,False,1.4661733435761628,0.5794973207180368,0.6394577155127597,-0.8267156280634032
Control,6,10,False,False,1.3402708486839945,1.6039968583559672,1.3814010705026707,0.041130221818676205
Control,6,11,False,False,1.8489479242967746,0.9980763327771144,0.9942020361425397,-0.8547458881542349
Control,6,12,False,False,0.6722545245256452,0.6476241020718971,0.6397478810138537,-0.032506643511791444
Control,6,13,False,False,1.9954502929643088,1.5683354648270822,0.9842223604341838,-1.011227932530125
Control,6,14,False,False,1.4083275073829062,2.2432921158979546,2.341994252232425,0.9336667448495186
Control,6,15,False,False,1.5500637453648995,2.387487480689667,1.4057220242065283,-0.1443417211583713
Control,6,16,False,False,2.4410152780267027,1.7917594692280547,2.04319187054512,-0.3978234074815825
Control,11,1,False,False,1.593403231828482,2.787788119386007,2.186938238780991,0.5935350069525089
Control,11,2,False,False,2.171898705207899,2.725550395831721,2.6701198898068172,0.4982211845989184
Control,11,3,False,False,2.712962173052891,1.7246758170768566,2.725550395831721,0.012588222778830094
Control,11,4,False,False,1.5107716565541467,2.572891266099101,2.8943995444300383,1.3836278878758916
Control,11,5,False,False,1.2811088212138717,0.9062543987587209,2.5649493574615376,1.283840536247666
Control,11,6,False,False,0.4761539868636089,1.9166683398518032,0.9669508156707168,0.49079682880710795
Control,11,7,False,False,0.5642370043814708,0.6600940476737164,2.6701198898068172,2.1058828854253466
Control,11,8,False,False,1.6832053983959043,2.013822926703922,2.685945324669788,1.0027399262738839
Control,11,9,False,False,1.9525464543016642,1.5142559487646166,1.4685849607740533,-0.48396149352761086
Control,11,10,False,False,1.6193200660037572,2.288994865511732,2.5232109529528914,0.9038908869491342
Control,11,11,False,False,1.1709519533431603,2.714452351742496,3.0752205480543715,1.9042685947112112
Control,11,12,False,False,1.5656020406810705,2.0431918705451206,2.160881109887098,0.5952790692060275
