Life Form,,,Climber,Climber,Climber,Large Forb/Herb,Large Forb/Herb,Large Forb/Herb,Large Shrub to Medium Tree,Large Shrub to Medium Tree,Large Shrub to Medium Tree,Large Tufted grass/sedge,Large Tufted grass/sedge,Large Tufted grass/sedge,Medium Forb/Herb,Medium Forb/Herb,Medium Forb/Herb,Medium Non-tufted grass/sedge,Medium Non-tufted grass/sedge,Medium Non-tufted grass/sedge,Medium Tufted grass/sedge,Medium Tufted grass/sedge,Medium Tufted grass/sedge,Non-tufted Ground Fern,Non-tufted Ground Fern,Non-tufted Ground Fern,Prostrate Shrub,Prostrate Shrub,Prostrate Shrub,Prostrate or Mat-forming Forb/Herb,Prostrate or Mat-forming Forb/Herb,Prostrate or Mat-forming Forb/Herb,Scrambler,Scrambler,Scrambler,Shrub,Shrub,Shrub,Small Forb/Herb,Small Forb/Herb,Small Forb/Herb,Small Shrub,Small Shrub,Small Shrub,Small Tufted grass/sedge,Small Tufted grass/sedge,Small Tufted grass/sedge,Tiny Tufted grass/sedge,Tiny Tufted grass/sedge,Tufted Ground Fern,Tufted Ground Fern,Tufted Ground Fern
Year,,,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,3,6,0,3,6
Treatment,Fenced,Gap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Control,False,False,0.7777777777777778,1.0769230769230769,0.5,24.647435897435898,28.9,28.75,0.0,0.0,0.0,4.25,2.5294117647058822,0.8571428571428571,2.4814814814814814,5.578313253012048,3.523529411764706,9.41358024691358,3.9220779220779223,1.9683544303797469,2.5357142857142856,3.1458333333333335,2.739130434782609,3.4,3.4444444444444446,4.269230769230769,0.5,9.0,1.25,10.98,7.54320987654321,1.7682926829268293,0.5,0.0,0.5,1.3333333333333333,15.0,25.0,0.5,0.8125,0.5,0.0,0.75,0.0,10.277777777777779,3.4315068493150687,2.1164383561643834,0.0,0.5,0.5,1.3571428571428572,0.5
Control,False,True,0.6666666666666666,1.6666666666666667,0.5,36.09090909090909,67.68181818181819,40.27272727272727,0.0,0.0,0.0,0.0,0.0,0.0,2.590909090909091,8.636363636363637,5.318181818181818,2.0555555555555554,5.15,1.05,4.142857142857143,2.8125,0.5,0.5,1.5,0.0,0.5,0.5,3.0,2.111111111111111,9.954545454545455,1.7727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.05,3.8636363636363638,1.625,0.0,0.0,0.0,0.0,0.0
Gap,False,False,0.5,0.5,0.5,21.322580645161292,21.235294117647058,25.532258064516128,0.5,0.5,0.5,3.607142857142857,1.9166666666666667,1.3333333333333333,2.338235294117647,3.6666666666666665,4.878787878787879,4.606060606060606,2.3666666666666667,1.75,5.041666666666667,2.0588235294117645,1.05,2.8333333333333335,2.375,5.875,0.0,0.0,0.0,3.015151515151515,2.453125,1.9264705882352942,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,4.529411764705882,3.0606060606060606,1.9696969696969697,0.0,0.0,0.5,0.5,0.5
Gap,False,True,0.5,0.5,0.5,16.074074074074073,17.642857142857142,27.479166666666668,0.5,0.5,0.5,6.208333333333333,3.75,1.9,2.5185185185185186,7.7407407407407405,4.26,5.6,7.854166666666667,7.956521739130435,3.0,3.0,4.0,4.0,3.0,3.0,0.5,0.5,0.0,5.64,3.9615384615384617,2.7037037037037037,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,8.537037037037036,5.074074074074074,3.6904761904761907,2.1666666666666665,0.5,0.5,1.75,1.1
Gap,True,False,0.0,0.0,0.0,5.555555555555555,10.909090909090908,15.0,0.5,0.5,2.1666666666666665,0.9166666666666666,2.9285714285714284,3.0,5.2272727272727275,5.818181818181818,5.0,15.5,4.5,2.5625,0.0,1.375,4.625,0.0,0.0,0.0,0.0,0.0,0.0,4.6,6.125,0.9444444444444444,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,11.75,8.181818181818182,6.055555555555555,0.0,0.0,0.5,0.5,1.75
Gap,True,True,0.0,2.1666666666666665,0.0,7.2368421052631575,12.3,19.88235294117647,0.5,0.5,3.0,1.5,10.38888888888889,13.3,2.857142857142857,5.190476190476191,5.973684210526316,5.722222222222222,13.25,3.4444444444444446,0.5,7.375,12.178571428571429,0.0,0.0,0.0,0.0,0.0,0.0,2.55,5.368421052631579,1.4642857142857142,0.0,0.0,0.0,0.0,7.75,3.0,0.0,0.0,0.0,0.0,0.0,0.0,11.761904761904763,5.40625,4.8,0.0,0.0,0.5,1.75,1.3333333333333333
Radial,False,False,0.5,0.0,0.5,17.125,11.107142857142858,15.8,0.0,0.0,0.0,1.5555555555555556,2.0,0.5,2.8333333333333335,5.0625,3.8095238095238093,5.5,2.892857142857143,1.575,1.2857142857142858,0.5,9.0625,0.5,3.0,1.75,0.5,0.5,0.5,5.35,5.966666666666667,1.736842105263158,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,10.952380952380953,6.05,1.6470588235294117,0.0,0.0,0.5,0.0,0.5
Radial,False,True,0.5333333333333333,0.5,0.5,21.1375,15.741379310344827,30.83823529411765,0.0,0.0,0.0,4.0,5.0,0.9166666666666666,2.725,4.32258064516129,2.9523809523809526,10.378048780487806,20.45,5.9868421052631575,5.642857142857143,2.5,6.029411764705882,1.5,4.4,0.8571428571428571,1.75,0.5,3.0,8.597560975609756,6.258620689655173,2.3658536585365852,0.5,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.5,9.8125,2.8095238095238093,2.525,0.0,0.0,3.0,3.0,3.0
