Treatment,Plot,Fenced,Gap,0,3,6
Control,2,False,False,32,39,44
Control,4,False,False,31,37,42
Control,4,False,True,31,35,29
Control,6,False,False,31,35,46
Control,11,False,False,38,36,55
Gap,1,False,False,25,29,40
Gap,1,False,True,23,28,30
Gap,8,False,False,23,24,29
Gap,8,False,True,30,30,35
Gap,10,False,False,17,21,23
Gap,10,False,True,19,36,25
Gap,10,True,False,18,22,23
Gap,10,True,True,23,31,31
Gap,12,False,False,22,36,31
Gap,12,False,True,22,36,32
Gap,12,True,False,22,32,31
Gap,12,True,True,26,28,29
Radial,3,False,False,23,,28
Radial,3,False,True,34,,34
Radial,5,False,False,22,16,26
Radial,5,False,True,31,29,32
Radial,7,False,False,20,17,23
Radial,7,False,True,20,25,24
Radial,7,True,False,23,22,21
Radial,7,True,True,22,27,33
Radial,9,False,False,21,18,15
Radial,9,False,True,23,30,32
Radial,9,True,False,13,17,16
Radial,9,True,True,25,36,31
