,Year_monitoring,Plot_number,Plot_treatment,Quadrat_number,Quadrat_fenced,Quadrat_gap,Record_ID,T002_Flora_Species_name,Score,Origin,Scientific Name,Common Name,Family Name,Life Form
0,6,1,Gap,1,False,False,10733,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
1,6,1,Gap,2,False,True,10988,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
2,6,1,Gap,3,False,True,11014,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
3,6,1,Gap,4,False,True,11034,Stellaria spp.,1.0,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
4,3,1,Gap,4,False,True,119,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
5,6,1,Gap,6,False,False,11073,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
6,0,1,Gap,6,False,False,5888,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
7,6,1,Gap,7,False,False,11092,Stellaria spp.,1.0,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
8,0,1,Gap,7,False,False,5902,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
9,3,1,Gap,7,False,False,174,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
10,6,1,Gap,8,False,False,11113,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
11,3,1,Gap,8,False,False,197,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
12,6,1,Gap,9,False,True,11155,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
13,3,1,Gap,9,False,True,230,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
14,6,1,Gap,10,False,False,11181,Stellaria spp.,0.5,,Stellaria flaccida,Forest Starwort,Caryophyllaceae,Medium Forb/Herb
