Plot_treatment,Plot_number,Quadrat_fenced,Quadrat_gap,Quadrat_number,Year_monitoring,Climber,Large Forb/Herb,Medium Forb/Herb,Medium Non-tufted grass/sedge,Medium Tufted grass/sedge,Prostrate or Mat-forming Forb/Herb,Small Non-tufted grass/sedge,Small Tufted grass/sedge,Prostrate Shrub,Tufted Ground Fern,Shrub,Small Forb/Herb,Large Tufted grass/sedge,Small Shrub,Non-tufted Ground Fern,Tiny Tufted grass/sedge,Scrambler,Large Shrub to Medium Tree,Large Non-tufted grass/sedge
Control,2,False,False,1,0,0.008620689655172414,0.6293103448275862,0.0603448275862069,0.05172413793103448,0.12931034482758622,0.0603448275862069,0.008620689655172414,0.05172413793103448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Control,2,False,False,1,3,0.007692307692307693,0.3974358974358974,0.18717948717948718,0.046153846153846156,0.11538461538461539,0.15384615384615385,0.046153846153846156,0.0,0.046153846153846156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Control,2,False,False,1,6,0.007874015748031496,0.8818897637795275,0.015748031496062992,0.05511811023622047,0.015748031496062992,0.007874015748031496,0.007874015748031496,0.007874015748031496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Control,2,False,False,2,0,0.004329004329004329,0.4805194805194805,0.03463203463203463,0.06493506493506493,0.025974025974025976,0.3116883116883117,0.004329004329004329,0.06493506493506493,0.004329004329004329,0.004329004329004329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Control,2,False,False,2,3,0.005703422053231939,0.4923954372623574,0.08555133079847908,0.03612167300380228,0.10836501901140684,0.2224334600760456,0.034220532319391636,0.009505703422053232,0.0,0.005703422053231939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Control,2,False,False,2,6,0.006211180124223602,0.6956521739130435,0.08695652173913043,0.13043478260869565,0.006211180124223602,0.018633540372670808,0.006211180124223602,0.006211180124223602,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Control,2,False,False,3,0,0.004784688995215311,0.5406698564593302,0.028708133971291867,0.028708133971291867,0.004784688995215311,0.14354066985645933,0.004784688995215311,0.24401913875598086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Control,2,False,False,3,3,0.0,0.6006191950464397,0.13312693498452013,0.03715170278637771,0.006191950464396285,0.18575851393188855,0.03715170278637771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Control,2,False,False,3,6,0.008064516129032258,0.7419354838709677,0.08064516129032258,0.04838709677419355,0.0,0.06451612903225806,0.0,0.056451612903225805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Control,2,False,False,4,0,0.01,0.54,0.04,0.06,0.07,0.16,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
