,0,new_key
0,Rytidosperma laeve,Rytidosperma nivicolum
1,Cardamine tryssa,Cardamine astoniae
2,Einadia nutans,Einadia nutans subsp. nutans
3,Hypochaeris glabra,Hypochoeris glabra
4,Rytidosperma caespitosum,Rytidosperma nivicolum
5,Rytidosperma geniculatum,Rytidosperma nivicolum
6,Senecio tenuiflorus s.l.,Senecio tenuiflorus spp. agg.
7,Hypochaeris radicata,Hypochoeris radicata
8,Senecio phelleus,Senecio quadridentatus
9,Bauera spp.,Bauera spp.
10,Ehrharta erecta,Ehrharta erecta var. erecta
11,Veronica nivea,Veronica plebeia
12,Solanum nigrum s.l.,Solanum nigrum s.s.
13,Cassinia aculeata,Cassinia aculeata
14,Kunzea ericoides s.l.,Kunzea ericoides spp. agg.
15,Rytidosperma penicillatum,Rytidosperma nivicolum
16,Cassinia longifolia,Cassinia longifolia
,Stellaria spp.,Stellaria flaccida
,,
,Rytidosperma spp.,Rytidosperma nivicolum
,,
,Senecio spp,Senecio quadridentatus
,,
,Wahlenbergia spp,Wahlenbergia gracilis
,,
,CWD,Inter-tussock gap
,,
,Leaf Litter,Inter-tussock gap
,,
,Moss/Lichen,Inter-tussock gap
,,
,Cardamine sp.,Cardamine tryssa
,,
,Crassula spp,Crassula sieberiana s.l.
,,
,Bare Earth,Inter-tussock gap
,,
,Euchiton spp,Euchiton involucratus s.l.
,,
,Microlaena stipoides,Microlaena stipoides var. stipoides
,,
,Lachnagrostis spp.,Lachnagrostis filiformis
,,
,Hypochaeris spp,Hypochoeris radicata
,,
,Lagenophora spp,Lagenophora gracilis
,,
,Hydrocotyle spp,Hydrocotyle laxiflora
,,
,Cerastium glomeratum,Cerastium glomeratum s.l.
,,
,Austrostipa spp,Austrostipa rudis
,,
,Poranthera microphylla,Poranthera microphylla s.l.
,,
,Rytidosperma geniculata,Rytidosperma nivicolum
,,
,Senecio tenuiflorus,Senecio tenuiflorus spp. agg.
,,
,Crassula sieberiana,Crassula sieberiana s.l.
,,
,Gnaphalium sp,Gnaphalium indutum
,,
,Cerastium sp,Cerastium glomeratum s.l.
,,
,Unknown Species,Unknown
,,
,Pterostylis spp,Pterostylis nutans
,,
,Poa labillardieri,Poa labillardierei
,,
,Oxalis (native),Oxalis perennans
,,
,Vulpia sp.,Vulpia bromoides
,,
,Arthropodium strictum,Arthropodium strictum s.l.
,,
,Poa spp,Poa sieberiana
,,
,Oxalis sp 2.,Oxalis hirta
,,
,Sonchus spp,Sonchus oleraceus
,,
,Arthropodium spp,Arthropodium minus
,,
,Carex spp,Carex breviculmis
,,
,Thelymitra spp,Thelymitra pauciflora s.l.
,,
,Geranium sp.,Geranium sp. 1
,,
,Schoenus spp,Schoenus apogon
,,
,Oxalis sp (weed),Oxalis corniculata s.s.
,,
,Baumea sp,Bauera spp.
,,
,Geranium spp,Geranium solanderi s.l.
,,
,Cymbonotis sp,Cymbonotus preissianus
,,
,Arthropodiumn minus,Arthropodium minus
,,
,Acianthus sp.,Acianthus pusillus
,,
,Erhartia erecta,Ehrharta erecta var. erecta
,,
,Eucalyptus tereteticornis,Unknown
,,
,Juncus spp,Juncus australis
,,
,Corybas sp.,Corybas incurvus
,,
,Euchiton involucratis,Euchiton involucratus s.l.
,,
,Trifolium sp.,Trifolium dubium
,,
,Poa sp (green hairy),Poa sp. aff. tenera (Hairy)
,,
,conyza sumatrensis,Conyza sumatrensis
,,
,Dipodium spp,Dipodium punctatum s.l.
,,
,Dead Standing Timber,Inter-tussock gap
,,
,Scuttelaria sp,Scutellaria humilis
,,
,Dipodium punctatum,Dipodium punctatum s.l.
,,
,Arthropodium milleflorum,Arthropodium milleflorum s.l.
,,
,Gamochaeta purpurea,Gamochaeta purpurea s.l.
,,
,Brachyscome spp.,Brachyscome aculeata
,,
,Elymus repens???,Elymus scaber var. scaber
,,
,Veronica spp,Veronica plebeia
,,
,Clematis microphylla,Clematis microphylla s.l.
,,
,Medicago spp.,Medicago lupulina
,,
,Solanum nigrum,Solanum nigrum s.s.
,,
,Lomandra glauca,Lomandra glauca s.l.
,,
,Isolepsis marginata,Isolepis marginata
,,
,Gamochaeta sp,Gamochaeta calviceps
,,
,Acaena novae-zelan,Acaena novae-zelandiae
,,
,Asperula spp.,Asperula conferta
,,
,Cassinia aculata,Cassinia aculeata
,,
,Solanum sp.,Solanum prinophyllum
,,
,Standing dead timber,Inter-tussock gap
,,
,Juncus bufonis,Juncus bufonius
,,
,Galium sp,Galium australe
,,
,Sporobolus sp.,Sporobolus africanus
,,
,Eragrostis sp. (Native),Eragrostis brownii
,,
,Ranunculus pimelo sp pimelo,Ranunculus pumilio
,,
,Trifolium repens,Trifolium pratense
,,
,Solenogyne sp.,Solenogyne gunnii
,,
,Elymus seaber,Elymus scaber var. scaber
,,
,Carpobrotus spp.,Carpobrotus rossii
,,
,Poaceae,Poa labillardierei
,,
,Centrolepsis strigosa,Centrolepis aristata
,,
,Rumex sp.,Rumex conglomeratus
,,
,Kunzea ericoides,Kunzea ericoides spp. agg.
,,
,Viola sp.,Viola hederacea sensu Entwisle (1996)
,,
,Rytidosperma pencilata,Rytidosperma nivicolum
,,
,MoSs/Lichen,Inter-tussock gap
,,
,Viola hederaceae,Viola hederacea sensu Entwisle (1996)
,,
,Wahlenbergia gracilenta,Wahlenbergia gracilenta s.l.
,,
,Lolium spp.,Lolium perenne
,,
,Tricoryne sp.,Tricoryne elatior
,,
,Microtis sp.,Microtis unifolia
,,
,Dianella caerulea,Dianella caerulea s.l.
,,
,Petrorhagia spp.,Petrorhagia dubia
,,
,Exocarpus cupressiformis,Exocarpos cupressiformis
,,
,Cyperus spp,Cyperus congestus
,,
,Lobelia spp.,Lobelia anceps
,,
,Asteraceae,Unknown
,,
,Phalaris spp.,Phalaris arundinacea
