Plot_treatment,Plot_number,Quadrat_fenced,Quadrat_gap,Quadrat_number,Year_monitoring,Climber,Large Forb/Herb,Medium Forb/Herb,Medium Non-tufted grass/sedge,Medium Tufted grass/sedge,Prostrate or Mat-forming Forb/Herb,Small Non-tufted grass/sedge,Small Tufted grass/sedge,Prostrate Shrub,Tufted Ground Fern,Shrub,Small Forb/Herb,Large Tufted grass/sedge,Small Shrub,Non-tufted Ground Fern,Tiny Tufted grass/sedge,Scrambler,Large Shrub to Medium Tree,Large Non-tufted grass/sedge
Control,2,False,False,1,0,0.5,36.5,3.5,3.0,7.5,3.5,0.5,3.0,,,,,,,,,,,
Control,2,False,False,1,3,1.5,77.5,36.5,9.0,22.5,30.0,9.0,,9.0,,,,,,,,,,
Control,2,False,False,1,6,0.5,56.0,1.0,3.5,1.0,0.5,0.5,0.5,,,,,,,,,,,
Control,2,False,False,2,0,0.5,55.5,4.0,7.5,3.0,36.0,0.5,7.5,0.5,0.5,,,,,,,,,
Control,2,False,False,2,3,1.5,129.5,22.5,9.5,28.5,58.5,9.0,2.5,,1.5,,,,,,,,,
Control,2,False,False,2,6,0.5,56.0,7.0,10.5,0.5,1.5,0.5,0.5,3.5,,,,,,,,,,
Control,2,False,False,3,0,0.5,56.5,3.0,3.0,0.5,15.0,0.5,25.5,,,,,,,,,,,
Control,2,False,False,3,3,,97.0,21.5,6.0,1.0,30.0,6.0,,,,,,,,,,,,
Control,2,False,False,3,6,0.5,46.0,5.0,3.0,,4.0,,3.5,,,,,,,,,,,
Control,2,False,False,4,0,0.5,27.0,2.0,3.0,3.5,8.0,,6.0,,,,,,,,,,,
Control,2,False,False,4,3,3.0,19.0,15.0,7.5,8.0,0.5,3.0,,,,,,,,,,,,
Control,2,False,False,4,6,0.5,35.5,4.5,3.0,,4.0,0.5,0.5,,,,,,,,,,,
Control,2,False,False,5,0,,35.5,2.5,15.0,,1.0,,25.5,,,,,,,,,,,
Control,2,False,False,5,3,0.5,28.0,5.0,3.0,,2.0,3.0,3.5,,,,,,,,,,,
Control,2,False,False,5,6,,48.0,2.0,0.5,,4.0,3.0,0.5,,,,,,,,,,,
Control,2,False,False,6,0,0.5,5.0,3.0,15.0,0.5,46.5,0.5,3.0,,,0.5,0.5,,,,,,,
Control,2,False,False,6,3,,56.0,17.0,7.5,0.5,8.0,,0.5,,,,,,,,,,,
Control,2,False,False,6,6,0.5,55.5,10.5,3.0,0.5,4.5,3.0,2.0,,,,,,,,,,,
Control,2,False,False,7,0,0.5,64.0,5.5,7.5,,1.0,0.5,4.0,,,,0.5,,,,,,,
Control,2,False,False,7,3,3.0,51.5,20.5,3.0,3.0,3.5,3.0,,,,,,,,,,,,
Control,2,False,False,7,6,,56.0,7.0,3.0,0.5,1.5,3.0,1.5,,,,,,,,,,,
Control,2,False,False,8,0,,46.0,6.0,3.0,,1.5,0.5,0.5,,0.5,,,,,,,,,
Control,2,False,False,8,3,,58.0,8.5,3.0,0.5,3.5,3.0,0.5,,3.0,,,,,,,,,
Control,2,False,False,8,6,,56.0,2.5,3.0,0.5,3.5,3.0,,,0.5,,,,,,,,,
Control,2,False,False,9,0,0.5,53.5,1.5,15.0,,11.0,,15.0,,,,,,,,,,,
Control,2,False,False,9,3,,3.5,0.5,,0.5,,0.5,0.5,,,,,,,,,,,
Control,2,False,False,9,6,0.5,55.5,3.5,0.5,0.5,1.0,,1.0,,,,,,,,,,,
Control,2,False,False,10,0,,37.5,3.0,3.0,,2.0,0.5,3.0,,,,,,,,,,,
Control,2,False,False,10,3,,39.0,13.0,3.0,3.0,6.0,,0.5,,,,,,,,,,,
Control,2,False,False,10,6,0.5,49.5,7.5,0.5,,4.0,,0.5,,,,,,,,,,,
Control,2,False,False,11,0,,48.5,5.5,15.0,3.5,6.5,,1.0,,,,,,,,,,,
Control,2,False,False,11,3,0.5,61.5,6.5,7.5,3.5,8.5,3.0,0.5,,,,,,,,,,,
Control,2,False,False,11,6,0.5,45.5,3.5,8.0,0.5,2.0,,,,,,,,,,,,,
Control,2,False,False,12,0,0.5,76.0,3.5,25.0,,51.0,,15.0,,,,,0.5,,,,,,
Control,2,False,False,12,3,1.0,162.0,12.0,6.0,,16.0,1.0,,,,,,,1.0,,,,,
Control,2,False,False,12,6,,68.5,5.5,3.5,,1.5,,3.0,,,,,,,,,,,
Control,2,False,False,13,0,,16.5,2.0,15.0,,25.0,,65.5,,,,,,,,,,,
Control,2,False,False,13,3,,53.0,7.0,25.0,0.5,6.0,3.0,18.0,,,,,,,,,,,
Control,2,False,False,13,6,,58.0,2.0,3.0,,4.0,0.5,0.5,,,,,,,,,,,
Control,2,False,False,14,0,,46.0,2.5,0.5,0.5,3.5,0.5,3.5,,,,,,,,,,,
Control,2,False,False,14,3,,51.5,8.5,3.0,3.0,3.5,0.5,3.0,,,,,0.5,,3.0,,,,
Control,2,False,False,14,6,,48.5,2.5,0.5,0.5,4.0,,1.0,,,,,,,,,,,
Control,2,False,False,15,0,,4.0,4.0,0.5,0.5,,0.5,0.5,,,,,,,,,,,
Control,2,False,False,15,3,0.5,22.5,4.0,0.5,3.0,0.5,3.0,0.5,,,,,,,3.0,,,,
Control,2,False,False,15,6,,26.0,3.5,3.0,1.0,0.5,0.5,1.0,,,,,,,0.5,,,,
Control,2,False,False,16,0,,9.0,2.5,0.5,,,0.5,3.5,,,,,,,,,,,
Control,2,False,False,16,3,,28.5,2.0,0.5,3.0,0.5,3.0,,,,,,,,7.5,,,,
Control,2,False,False,16,6,,16.0,3.5,0.5,0.5,3.5,,,,,,,,,,,,,
Control,4,False,False,1,0,0.5,67.0,3.5,7.5,8.0,3.5,0.5,,,,,,,,,,,,
Control,4,False,False,1,3,3.0,93.0,18.0,0.5,3.5,14.0,1.0,3.0,,,,,,,,,,,
Control,4,False,False,1,6,,65.5,13.5,3.5,,3.0,3.0,,,,,,,,,,,,
Control,4,False,False,2,0,,16.5,6.5,0.5,0.5,1.0,0.5,7.5,,,,,,,,,,,
Control,4,False,False,2,3,,44.5,15.0,1.0,3.0,2.0,0.5,6.0,,,,,,,,,,,
Control,4,False,False,2,6,0.5,35.0,1.5,1.5,0.5,1.0,0.5,,,,,,,,,,,,
Control,4,False,False,3,0,,66.5,4.0,7.5,3.0,3.0,0.5,0.5,,,,,,,,,,,
Control,4,False,False,3,3,0.5,102.0,8.5,0.5,3.0,16.5,3.0,3.5,,,,,,,,,,,
Control,4,False,False,3,6,,65.0,4.5,0.5,,1.0,,3.0,,,,,,,,,,,
Control,4,False,False,4,0,,26.5,3.0,,,8.0,0.5,3.0,,,,,,,,,,,
Control,4,False,False,4,3,0.5,63.5,8.0,3.5,,9.0,0.5,4.5,0.5,,,,,0.5,,,,,
Control,4,False,False,4,6,,45.5,27.5,0.5,,1.5,0.5,0.5,,,,,,,,,,,
Control,4,False,False,5,0,0.5,47.5,8.5,0.5,8.0,1.0,0.5,1.0,,,,,,,0.5,,,,
Control,4,False,False,5,3,3.5,82.0,16.0,,3.0,3.5,0.5,3.5,0.5,,,,,,0.5,,,,
Control,4,False,False,5,6,0.5,55.5,4.0,0.5,,1.0,,0.5,,,,,,,,,,,
Control,4,False,False,6,0,,46.5,2.5,0.5,3.0,1.0,0.5,0.5,,,,,,,0.5,,,,
Control,4,False,False,6,3,0.5,53.0,13.0,3.0,3.0,6.5,3.5,2.0,,,,,,,1.0,,,,
Control,4,False,False,6,6,,76.5,2.0,,,3.5,0.5,3.0,,,,,,,,,,,
Control,4,False,False,7,0,,47.0,1.0,0.5,0.5,,,0.5,,,,,0.5,,,,,,
Control,4,False,False,7,3,0.5,88.0,9.5,28.0,3.5,9.5,6.0,1.0,,,,,0.5,,,,,,
Control,4,False,False,7,6,,56.5,2.0,0.5,,1.0,3.0,0.5,,,,,,,,,,,
Control,4,False,False,8,0,0.5,46.5,2.0,0.5,3.0,1.0,0.5,3.0,,,,,,,,,,,
Control,4,False,False,8,3,,49.0,4.0,0.5,3.0,3.5,3.0,1.0,,,,,,,0.5,,,,
Control,4,False,False,8,6,,56.0,1.0,1.0,,1.5,,0.5,,,,,,,,,,,
