Plot_treatment,Plot_number,Quadrat_fenced,Quadrat_gap,Year_monitoring,Climber,Large Forb/Herb,Large Tufted grass/sedge,Medium Forb/Herb,Medium Non-tufted grass/sedge,Medium Tufted grass/sedge,Prostrate Shrub,Prostrate or Mat-forming Forb/Herb,Shrub,Small Forb/Herb,Small Non-tufted grass/sedge,Small Tufted grass/sedge,Tufted Ground Fern,Non-tufted Ground Fern,Small Shrub,Tiny Tufted grass/sedge,Scrambler,Large Shrub to Medium Tree,Large Non-tufted grass/sedge
Control,2,False,False,0,0.5,38.5625,0.5,3.375,8.21875,2.4375,0.5,15.107142857142858,0.5,0.5,0.5,11.375,0.5,,,,,,
Control,2,False,False,3,1.4375,58.625,0.5,12.5,6.266666666666667,5.75,9.0,11.8,,,3.5714285714285716,3.0,2.25,4.5,1.0,,,,
Control,2,False,False,6,0.5,48.53125,,4.4375,3.0625,0.6,3.5,2.75,,,1.6111111111111112,1.2307692307692308,0.5,0.5,,,,,
Control,4,False,False,0,0.875,32.96875,0.625,2.5483870967741935,2.392857142857143,2.25,0.5,1.375,,,0.5,4.112903225806452,0.5,0.5,,,,,
Control,4,False,False,3,1.5333333333333334,46.596774193548384,0.5,8.14516129032258,3.925925925925926,2.466666666666667,0.5,5.274193548387097,,0.5,3.0,3.338709677419355,1.75,1.6428571428571428,0.5,,,,
Control,4,False,False,6,0.5,34.125,0.5,4.140625,0.9642857142857143,0.5,3.0,1.484375,,,0.8571428571428571,1.3461538461538463,0.5,1.75,,0.5,,,
Control,6,False,False,0,1.125,30.0625,2.4285714285714284,3.5625,16.8,3.8214285714285716,,9.65625,0.5,,0.9545454545454546,8.607142857142858,,4.125,,,,,
Control,6,False,False,3,0.5,28.333333333333332,1.25,10.84375,5.833333333333333,1.9375,,7.433333333333334,,0.8571428571428571,3.0,3.2666666666666666,0.5,3.772727272727273,,,,,
Control,6,False,False,6,0.5,38.3125,0.5,3.28125,2.1666666666666665,1.0454545454545454,0.5,1.59375,,,0.6923076923076923,2.3666666666666667,,5.15,,,,,
Control,11,False,False,0,0.5,7.533333333333333,5.972222222222222,4.46875,10.661290322580646,2.25,,13.890625,3.0,0.5,0.7380952380952381,14.17741935483871,,,,,0.5,,
