Year_monitoring,Plot_number,Plot_treatment,Quadrat_number,Quadrat_fenced,Quadrat_gap,Record_ID,T002_Flora_Species_name,Score,Scientific Name,Common Name,Family Name,Division Name,Life Form,Origin
6,1,Gap,1,False,False,10733,Stellaria spp.,0.5,Stellaria sp. 1,Slender Starwort,Caryophyllaceae,Dicotyledons,Medium Forb/Herb,
6,1,Gap,1,False,False,10730,Rytidosperma spp.,1.0,Rytidosperma laeve,Smooth Wallaby-grass,,,Tussock grass,
6,1,Gap,1,False,False,10731,Rytidosperma spp.,0.5,Rytidosperma laeve,Smooth Wallaby-grass,,,Tussock grass,
6,1,Gap,1,False,False,10732,Senecio spp,0.5,,,,,Unknown,
6,1,Gap,1,False,False,10734,Wahlenbergia spp,0.5,Wahlenbergia ceracea,Waxy Bluebell,Campanulaceae,Dicotyledons,Large Forb/Herb,
6,1,Gap,1,False,False,10735,Senecio spp,0.5,,,,,Unknown,
6,1,Gap,1,False,False,10717,Aira spp.,0.5,Aira spp.,Hair Grass,Poaceae,Monocotyledons,Small Non-tufted grass/sedge,
6,1,Gap,1,False,False,10718,Bulbine bulbosa,0.5,Bulbine bulbosa,Bulbine Lily,Asphodelaceae,Monocotyledons,Medium Forb/Herb,
6,1,Gap,1,False,False,10719,Cardamine sp.,0.5,Cardamine tryssa,Dainty Bitter-cress,,,Forb,
6,1,Gap,1,False,False,10720,Cotula australis,1.0,Cotula australis,Common Cotula,Asteraceae,Dicotyledons,Medium Forb/Herb,
6,1,Gap,1,False,False,10721,Crassula spp,1.0,,,,,Unknown,
6,1,Gap,1,False,False,10722,Dichondra repens,1.0,Dichondra repens,Kidney-weed,Convolvulaceae,Dicotyledons,Prostrate or Mat-forming Forb/Herb,
6,1,Gap,1,False,False,10723,Einadia nutans,1.0,Einadia nutans,Nodding Saltbush,,,Forb,
6,1,Gap,1,False,False,10727,Lomandra longifolia,4.0,Lomandra longifolia,Spiny-headed Mat-rush,Xanthorrhoeaceae,Monocotyledons,Large Forb/Herb,
6,1,Gap,1,False,False,10724,Euchiton spp,0.5,,,,,Unknown,
6,1,Gap,1,False,False,10728,Microlaena stipoides,0.5,,,,,Unknown,
6,1,Gap,1,False,False,10726,Lachnagrostis spp.,0.5,Lachnagrostis scabra,Rough Blown-grass,Poaceae,Monocotyledons,Medium Tufted grass/sedge,
6,1,Gap,1,False,False,10725,Hypochaeris spp,0.5,Hypochaeris glabra,Smooth Cat's-ear,,,Forb,Introduced
