Life Form,,,,,Climber,Climber,Climber,Large Forb/Herb,Large Forb/Herb,Large Forb/Herb,Large Non-tufted grass/sedge,Large Non-tufted grass/sedge,Large Non-tufted grass/sedge,Large Shrub to Medium Tree,Large Shrub to Medium Tree,Large Shrub to Medium Tree,Large Tufted grass/sedge,Large Tufted grass/sedge,Large Tufted grass/sedge,Medium Forb/Herb,Medium Forb/Herb,Medium Forb/Herb,Medium Non-tufted grass/sedge,Medium Non-tufted grass/sedge,Medium Non-tufted grass/sedge,Medium Tufted grass/sedge,Medium Tufted grass/sedge,Medium Tufted grass/sedge,Non-tufted Ground Fern,Non-tufted Ground Fern,Non-tufted Ground Fern,Prostrate Shrub,Prostrate Shrub,Prostrate Shrub,Prostrate or Mat-forming Forb/Herb,Prostrate or Mat-forming Forb/Herb,Prostrate or Mat-forming Forb/Herb,Scrambler,Scrambler,Scrambler,Shrub,Shrub,Shrub,Small Forb/Herb,Small Forb/Herb,Small Forb/Herb,Small Non-tufted grass/sedge,Small Non-tufted grass/sedge,Small Non-tufted grass/sedge,Small Shrub,Small Shrub,Small Shrub,Small Tufted grass/sedge,Small Tufted grass/sedge,Small Tufted grass/sedge,Tiny Tufted grass/sedge,Tiny Tufted grass/sedge,Tiny Tufted grass/sedge,Tufted Ground Fern,Tufted Ground Fern,Tufted Ground Fern
Year,,,,,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6
Treatment,Plot Number,Quadrat Number,Fenced,Gap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Control,2,1,False,False,0.5,1.5,0.5,31.5,62.5,51.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,23.0,1.0,1.0,3.0,1.5,5.0,15.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.5,20.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3.0,0.5,0.0,0.0,0.0,1.0,0.0,0.5,0,0.0,0.0,0.0,0.0,0.0
Control,2,2,False,False,0.5,1.5,0.5,50.5,103.5,51.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.5,5.0,5.0,3.5,6.0,1.0,17.0,0.5,0.0,0.0,0.0,0.5,0.0,1.5,31.0,35.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3.0,0.5,0.0,0.0,0.0,5.0,2.5,0.5,0,0.0,0.0,0.5,1.5,0.0
Control,2,3,False,False,0.5,0.0,0.5,51.5,83.0,41.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,5.0,1.0,2.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.0,0.0,0.0,0.0,0.0,20.5,0.0,1.5,0,0.0,0.0,0.0,0.0,0.0
Control,2,4,False,False,0.5,1.0,0.5,22.0,12.0,30.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.5,2.5,1.0,5.0,1.0,1.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,2.0,0.0,0.5,0,0.0,0.0,0.0,0.0,0.0
Control,2,5,False,False,0.0,0.5,0.0,30.5,21.0,41.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,3.0,2.0,10.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,20.5,1.5,0.5,0,0.0,0.0,0.0,0.0,0.0
Control,2,6,False,False,0.5,0.0,0.5,3.0,51.0,50.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.5,6.5,10.0,5.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,41.5,5.5,2.5,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,1.0,0.5,2.0,0,0.0,0.0,0.0,0.0,0.0
Control,2,7,False,False,0.5,1.0,0.0,56.5,42.5,51.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,10.0,5.0,5.0,1.0,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.5,0,0.0,0.0,0.0,0.0,0.0
Control,2,8,False,False,0.0,0.0,0.0,41.0,51.0,51.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,2.5,1.0,1.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0,0.0,0.0,0.5,1.0,0.5
