Life Form,,,Climber,Climber,Climber,Large Forb/Herb,Large Forb/Herb,Large Forb/Herb,Large Non-tufted grass/sedge,Large Non-tufted grass/sedge,Large Non-tufted grass/sedge,Large Shrub to Medium Tree,Large Shrub to Medium Tree,Large Shrub to Medium Tree,Large Tufted grass/sedge,Large Tufted grass/sedge,Large Tufted grass/sedge,Medium Forb/Herb,Medium Forb/Herb,Medium Forb/Herb,Medium Non-tufted grass/sedge,Medium Non-tufted grass/sedge,Medium Non-tufted grass/sedge,Medium Tufted grass/sedge,Medium Tufted grass/sedge,Medium Tufted grass/sedge,Non-tufted Ground Fern,Non-tufted Ground Fern,Non-tufted Ground Fern,Prostrate Shrub,Prostrate Shrub,Prostrate Shrub,Prostrate or Mat-forming Forb/Herb,Prostrate or Mat-forming Forb/Herb,Prostrate or Mat-forming Forb/Herb,Scrambler,Scrambler,Scrambler,Shrub,Shrub,Shrub,Small Forb/Herb,Small Forb/Herb,Small Forb/Herb,Small Non-tufted grass/sedge,Small Non-tufted grass/sedge,Small Non-tufted grass/sedge,Small Shrub,Small Shrub,Small Shrub,Small Tufted grass/sedge,Small Tufted grass/sedge,Small Tufted grass/sedge,Tiny Tufted grass/sedge,Tiny Tufted grass/sedge,Tiny Tufted grass/sedge,Tufted Ground Fern,Tufted Ground Fern,Tufted Ground Fern
Year,,,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6
Treatment,Fenced,Gap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Control,False,False,0.5555555555555556,0.6923076923076923,0.5,20.566265060240966,23.925925925925927,24.704819277108435,0,0,0.0,0.0,0.0,0.0,3.3666666666666667,1.5,0.5714285714285714,2.9047619047619047,5.494047619047619,3.4176470588235293,6.888888888888889,2.2987012987012987,1.0759493670886076,1.3255813953488371,1.6875,2.217391304347826,1.9333333333333333,1.7777777777777777,2.6153846153846154,0.5,3.0,0.75,8.681818181818182,5.061728395061729,1.3048780487804879,0.5,0.0,0.5,0.6666666666666666,10.0,20.0,0.5,0.5625,0.5,0.5370370370370371,1.1271186440677967,0.581081081081081,0.0,0.75,0.0,7.847560975609756,2.2532467532467533,1.5194805194805194,0,0.0,0.5,0.5,0.7857142857142857,0.5
Control,False,True,0.6666666666666666,0.7777777777777778,0.5,31.59090909090909,57.31818181818182,36.04545454545455,0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,2.272727272727273,6.7272727272727275,6.409090909090909,1.5,3.4,0.65,2.2857142857142856,1.0625,0.5,0.5,0.8333333333333334,0.0,0.5,0.5,1.0,1.4444444444444444,5.454545454545454,1.0454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.1818181818181819,0.5833333333333334,0.0,0.5,0.0,0.65,1.8181818181818181,0.875,0,0.0,0.0,0.0,0.0,0.0
Gap,False,False,0.5,0.5,0.5,17.9375,17.63235294117647,20.671875,0,0,0.0,0.5,0.5,0.5,2.2857142857142856,1.0416666666666667,0.6666666666666666,2.3142857142857145,3.485294117647059,3.878787878787879,3.0757575757575757,1.1833333333333333,0.875,2.7083333333333335,0.8823529411764706,0.7380952380952381,2.0,0.875,4.0,0.0,0.0,0.0,1.878787878787879,1.078125,1.0441176470588236,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5588235294117647,0.6176470588235294,0.7222222222222222,0.0,0.0,0.5,2.735294117647059,1.7575757575757576,1.2575757575757576,0,0.0,0.0,0.5,0.5,0.5
Gap,False,True,0.5,0.5,0.5,13.555555555555555,13.875,23.583333333333332,0,0,0.0,0.5,0.5,0.5,4.333333333333333,1.9583333333333333,1.4,2.7857142857142856,6.517857142857143,3.44,3.66,5.416666666666667,6.6521739130434785,1.7,1.8076923076923077,2.9722222222222223,2.75,1.0,1.0,0.5,0.5,0.0,4.54,2.2884615384615383,1.5,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.625,1.28125,0.6875,0.0,0.0,0.0,6.12962962962963,3.5,2.7142857142857144,0,0.8333333333333334,0.5,0.5,0.75,0.7
Gap,True,False,0.0,0.0,0.0,3.75,8.045454545454545,12.11111111111111,0,0,1.0,0.5,0.5,0.8333333333333334,0.5833333333333334,1.4285714285714286,1.0,4.7727272727272725,4.636363636363637,3.3636363636363638,12.61111111111111,2.9166666666666665,1.6875,0.5,0.8,2.8125,0.0,0.0,0.0,0.0,0.0,0.0,3.85,3.8125,0.7222222222222222,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,1.0,1.0,0.0,0.0,0.0,8.136363636363637,5.363636363636363,4.277777777777778,0,0.0,0.0,0.5,0.5,0.75
Gap,True,True,0.0,0.8333333333333334,0.0,5.394736842105263,8.761904761904763,16.058823529411764,0,0,0.0,0.5,0.5,1.0,0.7,7.777777777777778,11.4,2.642857142857143,4.666666666666667,4.342105263157895,3.5833333333333335,10.392857142857142,1.9722222222222223,0.75,4.277777777777778,8.535714285714286,0.0,0.0,0.0,0.0,0.0,0.0,1.7619047619047619,3.0526315789473686,1.0357142857142858,0.0,0.0,0.0,0.0,5.25,1.0,0.0,0.0,0.0,0.5,0.625,1.0,0.0,0.0,0.0,8.761904761904763,3.0,3.227272727272727,0,0.0,0.0,0.5,0.75,0.6666666666666666
Radial,False,False,0.5,0.0,0.5,15.325,7.933333333333334,13.825,0,0,0.0,0.0,0.0,0.0,1.0555555555555556,0.8,0.5,2.7857142857142856,4.40625,2.880952380952381,4.0,1.8928571428571428,0.775,0.6666666666666666,0.5,8.1875,0.5,1.0,0.75,0.5,0.5,0.5,3.925,3.3333333333333335,1.131578947368421,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.8333333333333334,0.6,0.0,0.0,0.5,8.5,3.5454545454545454,0.95,0,0.0,0.0,0.5,0.0,0.5
Radial,False,True,0.5333333333333333,0.5,0.5,18.475609756097562,13.05,25.694444444444443,0,0,0.0,0.0,0.0,0.0,2.7142857142857144,3.4545454545454546,0.5833333333333334,3.1666666666666665,4.859375,2.3452380952380953,7.914634146341464,17.316666666666666,4.171052631578948,3.6666666666666665,1.5714285714285714,5.0,0.7,2.6,0.5714285714285714,0.75,0.5,1.0,6.535714285714286,3.603448275862069,1.6219512195121952,0.5,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5526315789473685,0.7142857142857143,0.8947368421052632,0.5,0.0,0.5,7.195121951219512,2.3958333333333335,1.7375,0,0.0,0.0,1.0,1.0,1.0
