Treatment,Plot Number,Quadrat Number,Fenced,Gap,0,3,6
Control,2,1,False,False,18,19,13
Control,2,2,False,False,20,30,23
Control,2,3,False,False,17,14,20
Control,2,4,False,False,17,16,13
Control,2,5,False,False,12,16,12
Control,2,6,False,False,22,13,25
Control,2,7,False,False,20,17,21
Control,2,8,False,False,17,12,14
Control,2,9,False,False,13,6,16
Control,2,10,False,False,19,15,16
Control,2,11,False,False,17,16,17
Control,2,12,False,False,12,11,15
Control,2,13,False,False,12,14,12
Control,2,14,False,False,15,19,15
Control,2,15,False,False,10,12,18
Control,2,16,False,False,13,12,14
Control,4,1,False,True,19,20,14
Control,4,2,False,False,18,21,12
Control,4,3,False,True,12,17,9
Control,4,4,False,True,14,21,14
Control,4,5,False,True,23,21,10
Control,4,6,False,True,16,25,12
Control,4,7,False,False,11,23,13
Control,4,8,False,False,15,12,11
Control,4,9,False,True,7,20,11
Control,4,10,False,True,16,25,10
Control,4,11,False,True,11,15,11
Control,4,12,False,False,11,23,12
Control,4,13,False,True,10,20,9
Control,4,14,False,True,14,26,14
Control,4,15,False,False,14,18,12
Control,4,16,False,True,10,20,9
Control,4,17,False,False,7,10,9
Control,4,18,False,False,14,15,15
Control,4,19,False,False,9,14,11
Control,4,20,False,False,10,13,13
Control,4,21,False,False,14,11,13
Control,4,22,False,False,17,15,15
Control,4,23,False,False,9,15,6
Control,4,24,False,False,8,14,8
Control,4,25,False,False,11,14,16
Control,4,26,False,False,16,16,15
Control,4,27,False,False,17,15,14
Control,4,28,False,False,8,11,9
Control,4,29,False,False,12,15,9
Control,4,30,False,False,8,15,13
Control,4,31,False,False,17,14,11
Control,4,32,False,False,15,,9
Control,6,1,False,False,17,18,12
Control,6,2,False,False,20,16,14
Control,6,3,False,False,14,17,16
Control,6,4,False,False,12,17,17
Control,6,5,False,False,20,18,22
Control,6,6,False,False,20,20,16
Control,6,7,False,False,18,15,22
Control,6,8,False,False,20,18,29
Control,6,9,False,False,11,12,15
Control,6,10,False,False,12,14,15
Control,6,11,False,False,22,16,14
Control,6,12,False,False,13,13,13
Control,6,13,False,False,17,15,10
Control,6,14,False,False,19,15,11
Control,6,15,False,False,17,17,16
Control,6,16,False,False,12,6,8
Control,11,1,False,False,13,17,14
Control,11,2,False,False,16,16,15
Control,11,3,False,False,16,13,16
Control,11,4,False,False,17,19,19
Control,11,5,False,False,18,13,13
Control,11,6,False,False,8,16,20
Control,11,7,False,False,10,12,15
Control,11,8,False,False,14,12,15
Control,11,9,False,False,17,15,17
Control,11,10,False,False,15,15,13
Control,11,11,False,False,18,16,22
Control,11,12,False,False,17,8,14
Control,11,13,False,False,13,15,22
Control,11,14,False,False,18,15,13
Control,11,15,False,False,16,12,21
Control,11,16,False,False,13,19,17
Control,11,17,False,False,20,16,19
Control,11,18,False,False,18,21,19
Control,11,19,False,False,19,15,11
Control,11,20,False,False,13,11,12
Control,11,21,False,False,17,13,9
Control,11,22,False,False,15,13,13
Control,11,23,False,False,16,18,10
Control,11,24,False,False,16,23,15
Control,11,25,False,False,22,17,16
Control,11,26,False,False,17,19,14
Control,11,27,False,False,19,16,11
Control,11,28,False,False,17,20,17
Control,11,29,False,False,18,15,16
Control,11,30,False,False,11,16,18
Control,11,31,False,False,21,17,14
Control,11,32,False,False,17,18,13
Gap,1,1,False,False,12,17,16
Gap,1,2,False,True,15,13,19
Gap,1,3,False,True,19,17,23
Gap,1,4,False,True,11,21,14
Gap,1,5,False,True,16,13,16
Gap,1,6,False,False,17,13,12
Gap,1,7,False,False,11,10,15
Gap,1,8,False,False,13,19,19
Gap,1,9,False,True,13,19,25
Gap,1,10,False,False,16,17,22
Gap,1,11,False,False,11,17,14
Gap,1,12,False,False,10,9,19
Gap,1,13,False,True,15,11,17
Gap,1,14,False,False,11,8,9
Gap,1,15,False,False,19,18,22
Gap,1,16,False,False,11,17,17
Gap,8,1,False,False,25,13,12
Gap,8,2,False,False,11,12,12
Gap,8,3,False,True,20,23,15
Gap,8,4,False,True,18,9,13
Gap,8,5,False,False,18,17,20
Gap,8,6,False,True,15,13,15
