Treatment,Fenced,Gap,0,3,6
Control,False,False,1.9305102945735537,2.146097441689037,1.723520995469356
Control,False,True,1.1782880627139178,1.6297122782833044,1.0686534086368853
Gap,False,False,1.884892122715384,1.9581425644605241,1.8055307882555047
Gap,False,True,2.035652045843404,2.5736002146173247,1.9546938474545166
Gap,True,False,1.9632839892404823,2.4694946618452347,2.3620014158986886
Gap,True,True,1.9871081502850119,2.6991051792216916,2.3163389673740773
Radial,False,False,1.892587915247064,2.4293203316933565,1.9882154008312187
Radial,False,True,1.996519945150038,2.0245596772197474,1.7973218485348141
Radial,True,False,1.8965536203137248,2.4565559919580897,2.435284614801027
Radial,True,True,2.1409814876307647,2.4663322265177356,2.44624833686102
