Life Form,,,,Climber,Climber,Climber,Large Forb/Herb,Large Forb/Herb,Large Forb/Herb,Large Shrub to Medium Tree,Large Shrub to Medium Tree,Large Shrub to Medium Tree,Large Tufted grass/sedge,Large Tufted grass/sedge,Large Tufted grass/sedge,Medium Forb/Herb,Medium Forb/Herb,Medium Forb/Herb,Medium Non-tufted grass/sedge,Medium Non-tufted grass/sedge,Medium Non-tufted grass/sedge,Medium Tufted grass/sedge,Medium Tufted grass/sedge,Medium Tufted grass/sedge,Non-tufted Ground Fern,Non-tufted Ground Fern,Non-tufted Ground Fern,Prostrate Shrub,Prostrate Shrub,Prostrate Shrub,Prostrate or Mat-forming Forb/Herb,Prostrate or Mat-forming Forb/Herb,Prostrate or Mat-forming Forb/Herb,Scrambler,Scrambler,Scrambler,Shrub,Shrub,Shrub,Small Forb/Herb,Small Forb/Herb,Small Forb/Herb,Small Shrub,Small Shrub,Small Shrub,Small Tufted grass/sedge,Small Tufted grass/sedge,Small Tufted grass/sedge,Tiny Tufted grass/sedge,Tiny Tufted grass/sedge,Tufted Ground Fern,Tufted Ground Fern,Tufted Ground Fern
Year,,,,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,3,6,0,3,6
Treatment,Plot,Fenced,Gap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Control,2,False,False,0.5,1.4375,0.5,37.09375,56.25,48.53125,0.0,0.0,0.0,0.5,0.5,0.0,2.53125,5.833333333333333,3.28125,8.21875,6.266666666666667,3.0625,2.4375,5.75,0.6,0.0,4.5,0.5,0.5,9.0,3.5,14.785714285714286,11.2,2.71875,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,11.0,2.6,1.1666666666666667,0.0,0.0,0.5,2.25,0.5
Control,4,False,False,1.0,1.3333333333333333,0.5,30.5,34.15,30.88095238095238,0.0,0.0,0.0,0.625,0.5,0.5,1.75,4.425,1.8333333333333333,2.5526315789473686,3.2058823529411766,0.9166666666666666,1.0454545454545454,2.0714285714285716,0.5,0.5,1.75,1.75,0.0,0.0,0.0,0.8214285714285714,2.7,1.3095238095238095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,5.5,2.9473684210526314,1.1111111111111112,0.0,0.5,0.5,1.75,0.5
Control,4,False,True,0.6666666666666666,1.6666666666666667,0.5,36.09090909090909,67.68181818181819,40.27272727272727,0.0,0.0,0.0,0.0,0.0,0.0,2.590909090909091,8.636363636363637,5.318181818181818,2.0555555555555554,5.15,1.05,4.142857142857143,2.8125,0.5,0.5,1.5,0.0,0.5,0.5,3.0,2.111111111111111,9.954545454545455,1.7727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.05,3.8636363636363638,1.625,0.0,0.0,0.0,0.0,0.0
Control,6,False,False,1.125,0.5,0.5,29.53125,30.142857142857142,38.28125,0.0,0.0,0.0,2.4285714285714284,1.25,0.5,2.8333333333333335,8.6875,2.4375,16.8,5.833333333333333,2.1666666666666665,3.8214285714285716,1.9375,1.0454545454545454,4.125,3.772727272727273,5.15,0.0,0.0,0.5,10.1,7.233333333333333,1.59375,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,8.321428571428571,2.9,2.25,0.0,0.0,0.0,0.5,0.0
Control,11,False,False,0.5,0.9166666666666666,0.5,8.64,10.233333333333333,11.03448275862069,0.0,0.0,0.0,5.972222222222222,3.65,1.75,2.703125,4.625,5.296875,10.661290322580646,2.2,1.9166666666666667,2.4444444444444446,2.272727272727273,5.833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,14.171875,9.048387096774194,1.6724137931034482,0.5,0.0,0.5,3.0,15.0,25.0,0.5,0.0,0.5,0.0,0.5,0.0,14.15,4.310344827586207,3.0689655172413794,0.0,0.0,0.0,0.0,0.0
Gap,1,False,False,0.5,0.0,0.5,36.7,36.05,38.22222222222222,0.0,0.0,0.0,0.5,1.75,0.5,2.25,4.055555555555555,7.35,2.95,2.625,1.3,6.75,2.0,0.6428571428571429,0.5,2.1666666666666665,5.333333333333333,0.0,0.0,0.0,3.15,2.3333333333333335,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,4.611111111111111,2.8333333333333335,2.375,0.0,0.0,0.0,0.0,0.5
Gap,1,False,True,0.5,0.5,0.5,23.833333333333332,28.416666666666668,40.75,0.0,0.0,0.0,2.8333333333333335,3.0,0.0,1.6666666666666667,13.1,3.6666666666666665,1.5,2.375,1.0,3.25,5.375,1.9,4.0,3.0,3.0,0.0,0.0,0.0,3.5833333333333335,6.75,5.25,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,7.666666666666667,4.25,2.5,0.0,0.0,0.0,0.0,0.5
Gap,8,False,False,0.0,0.0,0.0,29.375,34.75,36.8125,0.0,0.5,0.0,2.8333333333333335,1.3333333333333333,0.5,2.625,2.4375,2.9285714285714284,1.75,1.4375,1.2142857142857142,3.3333333333333335,3.1666666666666665,0.9,7.5,3.0,7.5,0.0,0.0,0.0,4.214285714285714,1.4285714285714286,1.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8125,2.125,2.0,0.0,0.0,0.0,0.0,0.0
