"","Time","Plot_number","Treatment","Quadrat_number","Quadrat_fenced","Quadrat_gap","Diversity_change"
"1","0-3",7,"Radial",1,"False","False",0.185437525959811
"2","0-3",7,"Radial",2,"True","True",-1.29526557148974
"3","0-3",7,"Radial",3,"False","True",0.0919078856446045
"4","0-3",7,"Radial",4,"True","True",0.327750228902312
"5","0-3",7,"Radial",5,"False","False",-0.045950126348993
"6","0-3",7,"Radial",6,"True","False",0.432378360515769
"7","0-3",7,"Radial",7,"False","True",1.5255047034487
"8","0-3",7,"Radial",8,"True","True",0.285649337943618
"9","0-3",7,"Radial",9,"False","False",0.971860471361672
"10","0-3",7,"Radial",10,"True","True",-0.404604459196779
"11","0-3",7,"Radial",11,"False","False",-0.372442009469655
"12","0-3",7,"Radial",12,"True","True",0.851963541469523
"13","0-3",7,"Radial",13,"False","True",0.903627971100839
"14","0-3",7,"Radial",14,"True","True",-0.435526552223661
"15","0-3",7,"Radial",15,"False","True",-0.292590732903764
"16","0-3",7,"Radial",16,"True","False",-0.103445928024926
"17","0-3",7,"Radial",17,"False","False",1.27577776843057
"18","0-3",7,"Radial",18,"True","True",-0.504939474189257
"19","0-3",7,"Radial",19,"False","True",0.562869909682921
"20","0-3",7,"Radial",20,"True","True",-0.0370092371444983
"21","0-3",7,"Radial",21,"False","False",1.39884716620141
"22","0-3",7,"Radial",22,"True","False",-0.404813476201799
"23","0-3",7,"Radial",23,"False","False",0.454282785644995
"24","0-3",7,"Radial",24,"True","False",0.0747497348235069
"25","0-3",7,"Radial",25,"False","False",-0.0386109867388751
"26","0-3",7,"Radial",26,"True","True",0.47362229702547
"27","0-3",7,"Radial",27,"False","True",0.025209947872642
"28","0-3",7,"Radial",28,"True","True",-0.381494441881567
"29","0-3",7,"Radial",29,"False","True",0.538482298799781
"30","0-3",7,"Radial",30,"True","True",0.250584366265327
"31","0-3",7,"Radial",31,"False","True",0.450258847140319
"32","0-3",7,"Radial",32,"True","False",0.150723603708311
"33","0-3",9,"Radial",1,"False","True",-0.16087836248508
"34","0-3",9,"Radial",2,"True","True",0.684674119522293
"35","0-3",9,"Radial",3,"False","True",-0.550965774671212
"36","0-3",9,"Radial",4,"True","True",0.268783095742774
"37","0-3",9,"Radial",5,"False","True",0.323332802508178
"38","0-3",9,"Radial",6,"True","True",0.565082961757563
"39","0-3",9,"Radial",7,"False","True",0.108395704570603
"40","0-3",9,"Radial",8,"True","True",-0.455703254137257
"41","0-3",9,"Radial",9,"False","True",0.332323806857755
"42","0-3",9,"Radial",10,"True","False",0.240445426175405
"43","0-3",9,"Radial",11,"False","True",0.0010285203808782
"44","0-3",9,"Radial",12,"True","True",0.391511627083738
"45","0-3",9,"Radial",13,"False","True",-0.776652651389515
"46","0-3",9,"Radial",14,"True","False",0.34673728862216
"47","0-3",9,"Radial",15,"False","False",-0.367431246485111
"48","0-3",9,"Radial",16,"True","True",-0.562284548409337
"49","0-3",9,"Radial",17,"False","False",0.301000373817138
"50","0-3",9,"Radial",18,"True","True",0.708410561092804
"51","0-3",9,"Radial",19,"False","True",-0.264031280687427
"52","0-3",9,"Radial",20,"True","True",0.571006776283914
"53","0-3",9,"Radial",21,"False","True",0.708612729056823
"54","0-3",9,"Radial",22,"True","True",-0.243830404548637
"55","0-3",9,"Radial",23,"False","True",0.9091875852258
"56","0-3",9,"Radial",24,"True","True",0.177893655731934
"57","0-3",9,"Radial",25,"False","True",0.555335821934276
