Treatment,Plot Number,Quadrat Number,Fenced,Gap,Shade Tolerant,Life Form,Year,0
Control,2,1,False,False,False,Large Forb/Herb,0,0.01694915254237288
Control,2,1,False,False,False,Large Forb/Herb,3,0.02824858757062147
Control,2,1,False,False,False,Large Forb/Herb,6,0.011299435028248588
Control,2,1,False,False,False,Medium Forb/Herb,0,0.02824858757062147
Control,2,1,False,False,False,Medium Forb/Herb,3,0.3898305084745763
Control,2,1,False,False,False,Medium Forb/Herb,6,0.011299435028248588
Control,2,1,False,False,False,Medium Non-tufted grass/sedge,0,0.0
Control,2,1,False,False,False,Medium Non-tufted grass/sedge,3,0.0
Control,2,1,False,False,False,Medium Non-tufted grass/sedge,6,0.005649717514124294
Control,2,1,False,False,False,Medium Tufted grass/sedge,0,0.0847457627118644
Control,2,1,False,False,False,Medium Tufted grass/sedge,3,0.2542372881355932
Control,2,1,False,False,False,Medium Tufted grass/sedge,6,0.011299435028248588
Control,2,1,False,False,False,Prostrate or Mat-forming Forb/Herb,0,0.005649717514124294
Control,2,1,False,False,False,Prostrate or Mat-forming Forb/Herb,3,0.0
Control,2,1,False,False,False,Prostrate or Mat-forming Forb/Herb,6,0.0
Control,2,1,False,False,False,Small Non-tufted grass/sedge,0,0.005649717514124294
Control,2,1,False,False,False,Small Non-tufted grass/sedge,3,0.1016949152542373
Control,2,1,False,False,False,Small Non-tufted grass/sedge,6,0.005649717514124294
Control,2,1,False,False,False,Small Tufted grass/sedge,0,0.03389830508474576
Control,2,1,False,False,False,Small Tufted grass/sedge,3,0.0
Control,2,1,False,False,False,Small Tufted grass/sedge,6,0.005649717514124294
Control,2,1,False,False,True,Climber,0,0.0021929824561403508
Control,2,1,False,False,True,Climber,3,0.006578947368421052
Control,2,1,False,False,True,Climber,6,0.0021929824561403508
Control,2,1,False,False,True,Large Forb/Herb,0,0.15350877192982457
Control,2,1,False,False,True,Large Forb/Herb,3,0.32894736842105265
Control,2,1,False,False,True,Large Forb/Herb,6,0.2412280701754386
Control,2,1,False,False,True,Medium Forb/Herb,0,0.0043859649122807015
Control,2,1,False,False,True,Medium Forb/Herb,3,0.008771929824561403
Control,2,1,False,False,True,Medium Forb/Herb,6,0.0
Control,2,1,False,False,True,Medium Non-tufted grass/sedge,0,0.013157894736842105
Control,2,1,False,False,True,Medium Non-tufted grass/sedge,3,0.039473684210526314
Control,2,1,False,False,True,Medium Non-tufted grass/sedge,6,0.013157894736842105
Control,2,1,False,False,True,Prostrate Shrub,0,0.0
Control,2,1,False,False,True,Prostrate Shrub,3,0.039473684210526314
Control,2,1,False,False,True,Prostrate Shrub,6,0.0
Control,2,1,False,False,True,Prostrate or Mat-forming Forb/Herb,0,0.013157894736842105
Control,2,1,False,False,True,Prostrate or Mat-forming Forb/Herb,3,0.13157894736842105
Control,2,1,False,False,True,Prostrate or Mat-forming Forb/Herb,6,0.0021929824561403508
Control,2,2,False,False,False,Large Forb/Herb,0,0.00411522633744856
Control,2,2,False,False,False,Large Forb/Herb,3,0.20164609053497942
Control,2,2,False,False,False,Large Forb/Herb,6,0.00823045267489712
Control,2,2,False,False,False,Medium Forb/Herb,0,0.02880658436213992
Control,2,2,False,False,False,Medium Forb/Herb,3,0.16049382716049382
Control,2,2,False,False,False,Medium Forb/Herb,6,0.024691358024691357
Control,2,2,False,False,False,Medium Non-tufted grass/sedge,0,0.0
Control,2,2,False,False,False,Medium Non-tufted grass/sedge,3,0.00411522633744856
Control,2,2,False,False,False,Medium Non-tufted grass/sedge,6,0.024691358024691357
Control,2,2,False,False,False,Medium Tufted grass/sedge,0,0.024691358024691357
Control,2,2,False,False,False,Medium Tufted grass/sedge,3,0.2345679012345679
Control,2,2,False,False,False,Medium Tufted grass/sedge,6,0.00411522633744856
Control,2,2,False,False,False,Prostrate or Mat-forming Forb/Herb,0,0.00823045267489712
Control,2,2,False,False,False,Prostrate or Mat-forming Forb/Herb,3,0.09876543209876543
Control,2,2,False,False,False,Prostrate or Mat-forming Forb/Herb,6,0.00823045267489712
Control,2,2,False,False,False,Small Non-tufted grass/sedge,0,0.00411522633744856
Control,2,2,False,False,False,Small Non-tufted grass/sedge,3,0.07407407407407407
Control,2,2,False,False,False,Small Non-tufted grass/sedge,6,0.00411522633744856
Control,2,2,False,False,False,Small Tufted grass/sedge,0,0.06172839506172839
Control,2,2,False,False,False,Small Tufted grass/sedge,3,0.0205761316872428
Control,2,2,False,False,False,Small Tufted grass/sedge,6,0.0
Control,2,2,False,False,True,Climber,0,0.0014814814814814814
Control,2,2,False,False,True,Climber,3,0.0044444444444444444
Control,2,2,False,False,True,Climber,6,0.0014814814814814814
Control,2,2,False,False,True,Large Forb/Herb,0,0.16296296296296298
Control,2,2,False,False,True,Large Forb/Herb,3,0.3111111111111111
Control,2,2,False,False,True,Large Forb/Herb,6,0.16296296296296298
Control,2,2,False,False,True,Medium Forb/Herb,0,0.0014814814814814814
Control,2,2,False,False,True,Medium Forb/Herb,3,0.008888888888888889
Control,2,2,False,False,True,Medium Forb/Herb,6,0.011851851851851851
Control,2,2,False,False,True,Medium Non-tufted grass/sedge,0,0.022222222222222223
Control,2,2,False,False,True,Medium Non-tufted grass/sedge,3,0.02666666666666667
Control,2,2,False,False,True,Medium Non-tufted grass/sedge,6,0.022222222222222223
Control,2,2,False,False,True,Prostrate Shrub,0,0.0014814814814814814
Control,2,2,False,False,True,Prostrate Shrub,3,0.0
Control,2,2,False,False,True,Prostrate Shrub,6,0.01037037037037037
Control,2,2,False,False,True,Prostrate or Mat-forming Forb/Herb,0,0.1037037037037037
Control,2,2,False,False,True,Prostrate or Mat-forming Forb/Herb,3,0.13777777777777778
Control,2,2,False,False,True,Prostrate or Mat-forming Forb/Herb,6,0.0014814814814814814
Control,2,2,False,False,True,Small Tufted grass/sedge,0,0.0
Control,2,2,False,False,True,Small Tufted grass/sedge,3,0.0
Control,2,2,False,False,True,Small Tufted grass/sedge,6,0.0014814814814814814
Control,2,2,False,False,True,Tufted Ground Fern,0,0.0014814814814814814
Control,2,2,False,False,True,Tufted Ground Fern,3,0.0044444444444444444
Control,2,2,False,False,True,Tufted Ground Fern,6,0.0
Control,2,3,False,False,False,Large Forb/Herb,0,0.023622047244094488
Control,2,3,False,False,False,Large Forb/Herb,3,0.11023622047244094
Control,2,3,False,False,False,Large Forb/Herb,6,0.015748031496062992
Control,2,3,False,False,False,Medium Forb/Herb,0,0.031496062992125984
Control,2,3,False,False,False,Medium Forb/Herb,3,0.12598425196850394
Control,2,3,False,False,False,Medium Forb/Herb,6,0.05511811023622047
Control,2,3,False,False,False,Medium Tufted grass/sedge,0,0.007874015748031496
Control,2,3,False,False,False,Medium Tufted grass/sedge,3,0.015748031496062992
Control,2,3,False,False,False,Medium Tufted grass/sedge,6,0.0
Control,2,3,False,False,False,Prostrate or Mat-forming Forb/Herb,0,0.0
Control,2,3,False,False,False,Prostrate or Mat-forming Forb/Herb,3,0.0
Control,2,3,False,False,False,Prostrate or Mat-forming Forb/Herb,6,0.05511811023622047
Control,2,3,False,False,False,Small Non-tufted grass/sedge,0,0.007874015748031496
