Treatment,Plot Number,Quadrat Number,Fenced,Gap,Shade Tolerant,Life Form,Year,0
Control,2,1,False,False,False,Large Forb/Herb,0,1.5
Control,2,1,False,False,False,Large Forb/Herb,3,2.5
Control,2,1,False,False,False,Large Forb/Herb,6,1.0
Control,2,1,False,False,False,Medium Forb/Herb,0,2.5
Control,2,1,False,False,False,Medium Forb/Herb,3,21.0
Control,2,1,False,False,False,Medium Forb/Herb,6,1.0
Control,2,1,False,False,False,Medium Non-tufted grass/sedge,0,0.0
Control,2,1,False,False,False,Medium Non-tufted grass/sedge,3,0.0
Control,2,1,False,False,False,Medium Non-tufted grass/sedge,6,0.5
Control,2,1,False,False,False,Medium Tufted grass/sedge,0,5.0
Control,2,1,False,False,False,Medium Tufted grass/sedge,3,15.0
Control,2,1,False,False,False,Medium Tufted grass/sedge,6,1.0
Control,2,1,False,False,False,Prostrate or Mat-forming Forb/Herb,0,0.5
Control,2,1,False,False,False,Prostrate or Mat-forming Forb/Herb,3,0.0
Control,2,1,False,False,False,Prostrate or Mat-forming Forb/Herb,6,0.0
Control,2,1,False,False,False,Small Non-tufted grass/sedge,0,0.5
Control,2,1,False,False,False,Small Non-tufted grass/sedge,3,3.0
Control,2,1,False,False,False,Small Non-tufted grass/sedge,6,0.5
Control,2,1,False,False,False,Small Tufted grass/sedge,0,1.0
Control,2,1,False,False,False,Small Tufted grass/sedge,3,0.0
Control,2,1,False,False,False,Small Tufted grass/sedge,6,0.5
Control,2,1,False,False,True,Climber,0,0.5
Control,2,1,False,False,True,Climber,3,1.5
Control,2,1,False,False,True,Climber,6,0.5
Control,2,1,False,False,True,Large Forb/Herb,0,30.0
Control,2,1,False,False,True,Large Forb/Herb,3,60.0
Control,2,1,False,False,True,Large Forb/Herb,6,50.0
Control,2,1,False,False,True,Medium Forb/Herb,0,1.0
Control,2,1,False,False,True,Medium Forb/Herb,3,2.0
Control,2,1,False,False,True,Medium Forb/Herb,6,0.0
Control,2,1,False,False,True,Medium Non-tufted grass/sedge,0,1.0
Control,2,1,False,False,True,Medium Non-tufted grass/sedge,3,3.0
Control,2,1,False,False,True,Medium Non-tufted grass/sedge,6,1.0
Control,2,1,False,False,True,Prostrate Shrub,0,0.0
Control,2,1,False,False,True,Prostrate Shrub,3,3.0
Control,2,1,False,False,True,Prostrate Shrub,6,0.0
Control,2,1,False,False,True,Prostrate or Mat-forming Forb/Herb,0,1.0
Control,2,1,False,False,True,Prostrate or Mat-forming Forb/Herb,3,20.0
Control,2,1,False,False,True,Prostrate or Mat-forming Forb/Herb,6,0.5
Control,2,2,False,False,False,Large Forb/Herb,0,0.5
Control,2,2,False,False,False,Large Forb/Herb,3,13.5
Control,2,2,False,False,False,Large Forb/Herb,6,1.0
Control,2,2,False,False,False,Medium Forb/Herb,0,3.5
Control,2,2,False,False,False,Medium Forb/Herb,3,9.5
Control,2,2,False,False,False,Medium Forb/Herb,6,3.0
Control,2,2,False,False,False,Medium Non-tufted grass/sedge,0,0.0
Control,2,2,False,False,False,Medium Non-tufted grass/sedge,3,0.5
Control,2,2,False,False,False,Medium Non-tufted grass/sedge,6,1.0
Control,2,2,False,False,False,Medium Tufted grass/sedge,0,1.0
Control,2,2,False,False,False,Medium Tufted grass/sedge,3,17.0
Control,2,2,False,False,False,Medium Tufted grass/sedge,6,0.5
Control,2,2,False,False,False,Prostrate or Mat-forming Forb/Herb,0,1.0
Control,2,2,False,False,False,Prostrate or Mat-forming Forb/Herb,3,4.0
