Treatment,Plot Number,Fenced,Gap,0,3,6
Control,2,False,False,43,50,52
Control,4,False,False,41,45,50
Control,4,False,True,39,45,35
Control,6,False,False,42,43,53
Control,11,False,False,50,47,68
Gap,1,False,False,31,36,48
Gap,1,False,True,29,35,37
Gap,8,False,False,33,31,36
Gap,8,False,True,41,42,40
Gap,10,False,False,21,25,29
Gap,10,False,True,24,46,31
Gap,10,True,False,25,29,27
Gap,10,True,True,31,41,36
Gap,12,False,False,31,46,35
Gap,12,False,True,27,48,37
Gap,12,True,False,30,42,34
Gap,12,True,True,35,40,32
Radial,3,False,False,29,,34
Radial,3,False,True,41,,40
Radial,5,False,False,30,22,32
Radial,5,False,True,42,37,39
Radial,7,False,False,28,26,26
Radial,7,False,True,29,34,26
Radial,7,True,False,29,27,24
Radial,7,True,True,29,37,40
Radial,9,False,False,28,24,17
Radial,9,False,True,36,41,38
Radial,9,True,False,18,19,19
Radial,9,True,True,34,47,36
