Treatment,Plot,Quadrat,Fenced,Gap,Life Form,Year,Abundance
Control,2,1,False,False,Climber,0,0.5
Control,2,1,False,False,Climber,3,1.5
Control,2,1,False,False,Climber,6,0.5
Control,2,1,False,False,Large Forb/Herb,0,36.5
Control,2,1,False,False,Large Forb/Herb,3,77.5
Control,2,1,False,False,Large Forb/Herb,6,56.0
Control,2,1,False,False,Medium Forb/Herb,0,2.5
Control,2,1,False,False,Medium Forb/Herb,3,3.5
Control,2,1,False,False,Medium Forb/Herb,6,0.5
Control,2,1,False,False,Medium Non-tufted grass/sedge,0,3.0
Control,2,1,False,False,Medium Non-tufted grass/sedge,3,9.0
Control,2,1,False,False,Medium Non-tufted grass/sedge,6,3.5
Control,2,1,False,False,Medium Tufted grass/sedge,0,7.5
Control,2,1,False,False,Medium Tufted grass/sedge,3,22.5
Control,2,1,False,False,Medium Tufted grass/sedge,6,1.0
Control,2,1,False,False,Prostrate Shrub,3,9.0
Control,2,1,False,False,Prostrate or Mat-forming Forb/Herb,0,3.5
Control,2,1,False,False,Prostrate or Mat-forming Forb/Herb,3,30.0
Control,2,1,False,False,Prostrate or Mat-forming Forb/Herb,6,0.5
Control,2,1,False,False,Small Tufted grass/sedge,0,3.0
Control,2,1,False,False,Small Tufted grass/sedge,6,0.5
Control,2,2,False,False,Climber,0,0.5
Control,2,2,False,False,Climber,3,1.5
Control,2,2,False,False,Climber,6,0.5
Control,2,2,False,False,Large Forb/Herb,0,55.0
Control,2,2,False,False,Large Forb/Herb,3,120.5
Control,2,2,False,False,Large Forb/Herb,6,56.0
Control,2,2,False,False,Medium Forb/Herb,0,2.5
Control,2,2,False,False,Medium Forb/Herb,3,10.5
Control,2,2,False,False,Medium Forb/Herb,6,6.0
Control,2,2,False,False,Medium Non-tufted grass/sedge,0,7.5
Control,2,2,False,False,Medium Non-tufted grass/sedge,3,9.5
Control,2,2,False,False,Medium Non-tufted grass/sedge,6,10.5
Control,2,2,False,False,Medium Tufted grass/sedge,0,3.0
Control,2,2,False,False,Medium Tufted grass/sedge,3,28.5
Control,2,2,False,False,Medium Tufted grass/sedge,6,0.5
Control,2,2,False,False,Prostrate Shrub,0,0.5
Control,2,2,False,False,Prostrate Shrub,6,3.5
Control,2,2,False,False,Prostrate or Mat-forming Forb/Herb,0,35.5
Control,2,2,False,False,Prostrate or Mat-forming Forb/Herb,3,49.5
Control,2,2,False,False,Prostrate or Mat-forming Forb/Herb,6,1.5
Control,2,2,False,False,Small Tufted grass/sedge,0,7.5
Control,2,2,False,False,Small Tufted grass/sedge,3,2.0
Control,2,2,False,False,Small Tufted grass/sedge,6,0.5
Control,2,2,False,False,Tufted Ground Fern,0,0.5
Control,2,2,False,False,Tufted Ground Fern,3,1.5
Control,2,3,False,False,Climber,0,0.5
Control,2,3,False,False,Climber,6,0.5
Control,2,3,False,False,Large Forb/Herb,0,56.0
Control,2,3,False,False,Large Forb/Herb,3,91.0
Control,2,3,False,False,Large Forb/Herb,6,46.0
Control,2,3,False,False,Medium Forb/Herb,0,3.0
Control,2,3,False,False,Medium Forb/Herb,3,15.5
Control,2,3,False,False,Medium Forb/Herb,6,3.5
Control,2,3,False,False,Medium Non-tufted grass/sedge,0,3.0
Control,2,3,False,False,Medium Non-tufted grass/sedge,3,6.0
Control,2,3,False,False,Medium Non-tufted grass/sedge,6,3.0
Control,2,3,False,False,Medium Tufted grass/sedge,0,0.5
Control,2,3,False,False,Medium Tufted grass/sedge,3,1.0
Control,2,3,False,False,Prostrate or Mat-forming Forb/Herb,0,15.0
Control,2,3,False,False,Prostrate or Mat-forming Forb/Herb,3,30.0
Control,2,3,False,False,Prostrate or Mat-forming Forb/Herb,6,4.0
Control,2,3,False,False,Small Tufted grass/sedge,0,25.0
Control,2,3,False,False,Small Tufted grass/sedge,6,3.0
Control,2,4,False,False,Climber,0,0.5
Control,2,4,False,False,Climber,3,3.0
Control,2,4,False,False,Climber,6,0.5
Control,2,4,False,False,Large Forb/Herb,0,26.5
Control,2,4,False,False,Large Forb/Herb,3,16.0
Control,2,4,False,False,Large Forb/Herb,6,35.5
Control,2,4,False,False,Medium Forb/Herb,0,1.0
Control,2,4,False,False,Medium Forb/Herb,3,4.5
Control,2,4,False,False,Medium Forb/Herb,6,4.0
Control,2,4,False,False,Medium Non-tufted grass/sedge,0,3.0
Control,2,4,False,False,Medium Non-tufted grass/sedge,3,7.5
Control,2,4,False,False,Medium Non-tufted grass/sedge,6,3.0
Control,2,4,False,False,Medium Tufted grass/sedge,0,3.5
Control,2,4,False,False,Medium Tufted grass/sedge,3,8.0
Control,2,4,False,False,Prostrate or Mat-forming Forb/Herb,0,8.0
Control,2,4,False,False,Prostrate or Mat-forming Forb/Herb,3,0.5
Control,2,4,False,False,Prostrate or Mat-forming Forb/Herb,6,4.0
Control,2,4,False,False,Small Tufted grass/sedge,0,3.0
Control,2,4,False,False,Small Tufted grass/sedge,6,0.5
Control,2,5,False,False,Climber,3,0.5
Control,2,5,False,False,Large Forb/Herb,0,35.5
Control,2,5,False,False,Large Forb/Herb,3,28.0
Control,2,5,False,False,Large Forb/Herb,6,48.0
Control,2,5,False,False,Medium Forb/Herb,0,1.5
Control,2,5,False,False,Medium Forb/Herb,3,1.5
Control,2,5,False,False,Medium Forb/Herb,6,1.0
Control,2,5,False,False,Medium Non-tufted grass/sedge,0,15.0
Control,2,5,False,False,Medium Non-tufted grass/sedge,3,3.0
Control,2,5,False,False,Medium Non-tufted grass/sedge,6,0.5
Control,2,5,False,False,Prostrate or Mat-forming Forb/Herb,0,1.0
Control,2,5,False,False,Prostrate or Mat-forming Forb/Herb,3,2.0
Control,2,5,False,False,Prostrate or Mat-forming Forb/Herb,6,4.0
Control,2,5,False,False,Small Tufted grass/sedge,0,25.0
Control,2,5,False,False,Small Tufted grass/sedge,3,3.0
Control,2,5,False,False,Small Tufted grass/sedge,6,0.5
Control,2,6,False,False,Climber,0,0.5
Control,2,6,False,False,Climber,6,0.5
Control,2,6,False,False,Large Forb/Herb,0,4.0
Control,2,6,False,False,Large Forb/Herb,3,56.0
Control,2,6,False,False,Large Forb/Herb,6,55.5
Control,2,6,False,False,Medium Forb/Herb,0,1.5
Control,2,6,False,False,Medium Forb/Herb,3,6.5
