Plot_treatment,Plot_number,Quadrat_fenced,Quadrat_gap,Quadrat_number,0,3,6
Control,2,False,False,1,1.5616325151917678,1.9609960925160261,0.6882548262024171
Control,2,False,False,2,1.5184368878851895,2.199347726495861,1.4172722923148737
Control,2,False,False,3,1.3928583248174133,1.5487075064609923,1.2941965593483526
Control,2,False,False,4,1.8129288804939536,2.2394724018637926,1.1762951291264743
Control,2,False,False,5,1.3265662231967905,1.7292103997941655,0.9843269085561159
Control,2,False,False,6,1.487169258027421,1.4378507794001396,1.4702128897980464
Control,2,False,False,7,1.4066437531295173,1.9427302692646067,1.1884267721911213
Control,2,False,False,8,1.0770041224817049,1.2537589569179481,0.9467862164378512
Control,2,False,False,9,1.630323473475415,1.4205719259467045,0.6808006605160158
Control,2,False,False,10,1.3309289013829007,1.8043885417122916,1.2444329565727237
Control,2,False,False,11,1.5703514661311382,1.5876408678007536,1.0741282148965705
Control,2,False,False,12,1.5040076873655344,1.0422051704138733,0.9792462703809115
Control,2,False,False,13,1.350313940800618,1.8261269090500247,0.8736511307120021
Control,2,False,False,14,0.9951108697939647,1.751105361470613,
Control,2,False,False,15,1.9206765920171578,1.8420360904980289,1.3914160989063955
Control,2,False,False,16,1.8603824705528051,1.5167699621742048,1.5214827137155376
Control,4,False,False,1,1.194234371554995,1.4958844119357022,1.1286782137194098
Control,4,False,False,2,1.8653027529087565,1.8215378861052798,0.7229100566050916
Control,4,False,False,3,0.9849048957451804,1.2011418933274645,0.5763974616697747
Control,4,False,False,4,1.394859977711707,1.471237463759905,1.0726698589967292
Control,4,False,False,5,1.4780612314934511,1.383861943543639,0.5638025571168586
Control,4,False,False,6,0.9210855735643053,2.0377740301042215,0.6206319322618702
Control,4,False,False,7,0.5553414826908527,1.6579240955137275,0.6882548262024173
Control,4,False,False,8,,1.2599747504328027,0.4787180741389978
Control,4,False,False,9,0.7280589938983009,1.5432838255146797,1.9212530320280816
Control,4,False,False,10,1.1651388041816784,1.9458945462053654,0.6336243461970257
Control,4,False,False,11,0.9565232195059121,1.5775531595706587,0.8343253910319791
Control,4,False,False,12,0.6645932978806925,1.7827218267324612,2.113719106506649
Control,4,False,False,13,1.0472559679279885,1.4769696031049888,1.0268273536739896
Control,4,False,False,14,1.3882717098827566,2.0789178786225317,1.1645370956482315
Control,4,False,False,15,0.5378133116639232,1.1285312122314426,0.4609621700999719
Control,4,False,False,16,0.9346376601288024,2.136715721682758,0.7062475504613757
Control,4,False,False,17,0.728058993898301,1.621849816892757,1.6661022550876021
Control,4,False,False,18,1.1036126052587207,1.4698116343365126,1.1026151103689326
Control,4,False,False,19,0.8677108043792212,1.4307659398992494,
Control,4,False,False,20,1.595871353024354,1.6557634982447764,1.5755315054929402
Control,4,False,False,21,1.0634130106215733,2.0903860474327303,0.7799550162465079
Control,4,False,False,22,1.3323796189636514,,1.2435020540642792
Control,4,False,False,23,0.9958063511279934,1.8054225861006001,0.640036020064709
Control,4,False,False,24,0.8531903058911254,1.435518817490716,
Control,4,False,False,25,1.1385385012178457,2.011481947956455,1.3006137122382782
Control,4,False,False,26,1.4227912615077243,1.4120851672534431,1.1507864782892403
Control,4,False,False,27,0.8461637579146313,0.8772797432833438,0.8190699896691884
Control,4,False,False,28,,0.999745622406781,0.6880093851773278
Control,4,False,False,29,0.9042976302158141,2.4436158302698052,0.45248920999992037
Control,4,False,False,30,0.9934511134480197,1.7010941435741163,1.1248163942152103
Control,4,False,False,31,1.124648256419889,1.2212293420424076,
Control,4,False,False,32,0.8772797432833437,,1.7721393884375285
Control,6,False,False,1,1.4654720281832587,1.6397436673429238,1.1305321769932517
Control,6,False,False,2,1.8457173725297793,1.664845660510089,1.1700290904033346
Control,6,False,False,3,1.2595825030104812,1.1324893909414349,0.7470922153796568
Control,6,False,False,4,1.3762688874230606,1.566012721175778,0.8601917333560842
Control,6,False,False,5,2.048693230846262,2.3501955913332413,1.5026208180741556
Control,6,False,False,6,1.9353099238804394,2.2891745072142387,1.3087068120924905
Control,6,False,False,7,1.961205483497194,2.4069450512765798,2.062950430702471
Control,6,False,False,8,2.165881409536161,2.0975457597288325,1.5070168972359388
Control,6,False,False,9,1.5436803995217054,0.7868358213179298,0.6849527799414722
Control,6,False,False,10,1.4982474187023547,1.7317390083322481,1.4676869021045884
Control,6,False,False,11,1.9669113753402432,1.244432956572724,1.0634130106215731
Control,6,False,False,12,0.802847726617413,0.9161043239935012,
Control,6,False,False,13,1.814276019406927,1.9366446991956614,1.087696882827057
Control,6,False,False,14,1.413333724411844,2.23429755650099,2.017647674709752
Control,6,False,False,15,1.429252843574626,2.37422348786596,1.4043073366927925
Control,6,False,False,16,2.1137191065066494,1.7917594692280547,1.5171515848932913
Control,11,False,False,1,1.308242917096115,2.457871201358946,2.0028001953245487
Control,11,False,False,2,1.9377917695303906,2.3936107384817595,2.3033795051939387
Control,11,False,False,3,2.426394855354095,1.687128602992977,2.301003827900506
Control,11,False,False,4,1.5775980144080788,2.3924998328350187,2.5253944250375127
Control,11,False,False,5,1.2824201588704536,0.924008994989946,2.4583113296830845
Control,11,False,False,6,0.721404114379774,1.7612052746760836,1.0599850563831925
Control,11,False,False,7,0.6707352135148951,0.8736511307120022,2.243998710517979
Control,11,False,False,8,1.5539041268524159,1.8579115315875037,2.3888897147295793
Control,11,False,False,9,1.953097205693144,1.5363000042295516,1.4741246047318048
Control,11,False,False,10,1.6098324927318162,2.127998191585576,2.2006631885058168
Control,11,False,False,11,1.4066087969590442,2.4025285526349993,2.8463238594677285
Control,11,False,False,12,1.6075587718622644,1.7379834485870502,1.9398012029240115
Control,11,False,False,13,1.5703358815745876,1.37025071614817,1.242786243401958
Control,11,False,False,14,1.7822729827115615,1.8926620097450153,
Control,11,False,False,15,1.5928721346908234,,1.4162123802461737
Control,11,False,False,16,,1.530308132634141,1.2374556736947053
Control,11,False,False,17,1.457067449016767,1.2280765775583395,2.577781982083662
Control,11,False,False,18,1.0218079664669244,1.7475586041416373,
Control,11,False,False,19,2.560940434296997,2.3261417001253215,2.3978952727983707
Control,11,False,False,20,2.002611916791984,1.971711455862675,1.894481128633692
Control,11,False,False,21,,1.496921960277904,1.5480680991926337
Control,11,False,False,22,1.6025754970088526,2.2099355541501,1.5203235395695007
Control,11,False,False,23,1.8550081263779195,2.4538880859383294,1.2860998168245923
Control,11,False,False,24,1.5928721346908237,2.0278181342430366,1.8748129356177388
