Plot_treatment,Plot_number,Quadrat_fenced,Quadrat_gap,Quadrat_number,Year_monitoring,Climber,Large Forb/Herb,Medium Forb/Herb,Medium Non-tufted grass/sedge,Medium Tufted grass/sedge,Prostrate or Mat-forming Forb/Herb,Small Non-tufted grass/sedge,Small Tufted grass/sedge,Prostrate Shrub,Tufted Ground Fern,Shrub,Small Forb/Herb,Large Tufted grass/sedge,Small Shrub,Non-tufted Ground Fern,Tiny Tufted grass/sedge,Scrambler,Large Shrub to Medium Tree,Large Non-tufted grass/sedge
Control,2,False,False,1,0,0.5,9.125,0.5,3.0,7.5,1.75,0.5,3.0,,,,,,,,,,,
Control,2,False,False,1,3,0.5,9.6875,2.28125,3.0,7.5,15.0,3.0,,3.0,,,,,,,,,,
Control,2,False,False,1,6,0.5,18.666666666666668,0.5,1.75,0.5,0.5,0.5,0.5,,,,,,,,,,,
Control,2,False,False,2,0,0.5,27.75,0.5,7.5,3.0,12.0,0.5,7.5,0.5,0.5,,,,,,,,,
Control,2,False,False,2,3,0.5,14.38888888888889,1.125,2.375,5.7,5.85,3.0,0.5,,0.5,,,,,,,,,
Control,2,False,False,2,6,0.5,18.666666666666668,0.7777777777777778,5.25,0.5,0.5,0.5,0.5,1.75,,,,,,,,,,
Control,2,False,False,3,0,0.5,14.125,0.5,3.0,0.5,15.0,0.5,12.75,,,,,,,,,,,
Control,2,False,False,3,3,,16.166666666666668,2.388888888888889,3.0,0.5,15.0,3.0,,,,,,,,,,,,
Control,2,False,False,3,6,0.5,15.333333333333334,0.5,3.0,,1.3333333333333333,,1.75,,,,,,,,,,,
Control,2,False,False,4,0,0.5,5.4,0.5,3.0,1.75,4.0,,3.0,,,,,,,,,,,
Control,2,False,False,4,3,3.0,4.75,2.5,7.5,4.0,0.5,3.0,,,,,,,,,,,,
Control,2,False,False,4,6,0.5,17.75,1.125,3.0,,1.3333333333333333,0.5,0.5,,,,,,,,,,,
Control,2,False,False,5,0,,17.75,0.5,15.0,,0.5,,12.75,,,,,,,,,,,
Control,2,False,False,5,3,0.5,14.0,1.0,3.0,,0.5,3.0,1.75,,,,,,,,,,,
Control,2,False,False,5,6,,24.0,0.5,0.5,,1.3333333333333333,3.0,0.5,,,,,,,,,,,
Control,2,False,False,6,0,0.5,1.0,0.5,15.0,0.5,11.625,0.5,3.0,,,0.5,0.5,,,,,,,
Control,2,False,False,6,3,,18.666666666666668,3.4,7.5,0.5,4.0,,0.5,,,,,,,,,,,
Control,2,False,False,6,6,0.5,27.75,0.9545454545454546,3.0,0.5,1.125,3.0,0.5,,,,,,,,,,,
Control,2,False,False,7,0,0.5,12.8,0.9166666666666666,7.5,,0.5,0.5,1.3333333333333333,,,,0.5,,,,,,,
Control,2,False,False,7,3,3.0,12.875,2.9285714285714284,3.0,3.0,1.75,3.0,,,,,,,,,,,,
Control,2,False,False,7,6,,18.666666666666668,0.7777777777777778,3.0,0.5,0.5,3.0,0.5,,,,,,,,,,,
Control,2,False,False,8,0,,15.333333333333334,0.8571428571428571,3.0,,0.5,0.5,0.5,,0.5,,,,,,,,,
Control,2,False,False,8,3,,29.0,2.8333333333333335,3.0,0.5,1.75,3.0,0.5,,3.0,,,,,,,,,
Control,2,False,False,8,6,,18.666666666666668,0.5,3.0,0.5,1.75,3.0,,,0.5,,,,,,,,,
Control,2,False,False,9,0,0.5,13.375,0.5,15.0,,3.6666666666666665,,15.0,,,,,,,,,,,
Control,2,False,False,9,3,,1.75,0.5,,0.5,,0.5,0.5,,,,,,,,,,,
Control,2,False,False,9,6,0.5,27.75,0.5,0.5,0.5,0.5,,0.5,,,,,,,,,,,
Control,2,False,False,10,0,,6.25,0.5,3.0,,0.5,0.5,3.0,,,,,,,,,,,
Control,2,False,False,10,3,,9.75,2.1666666666666665,3.0,3.0,3.0,,0.5,,,,,,,,,,,
Control,2,False,False,10,6,0.5,9.9,1.5,0.5,,1.3333333333333333,,0.5,,,,,,,,,,,
Control,2,False,False,11,0,,16.166666666666668,0.9166666666666666,15.0,1.75,2.1666666666666665,,0.5,,,,,,,,,,,
Control,2,False,False,11,3,0.5,15.375,2.1666666666666665,7.5,1.75,2.8333333333333335,3.0,0.5,,,,,,,,,,,
Control,2,False,False,11,6,0.5,22.75,0.5,4.0,0.5,0.5,,,,,,,,,,,,,
Control,2,False,False,12,0,0.5,25.333333333333332,1.75,25.0,,17.0,,15.0,,,,,0.5,,,,,,
Control,2,False,False,12,3,0.5,27.0,3.0,3.0,,4.0,0.5,,,,,,,0.5,,,,,
Control,2,False,False,12,6,,22.833333333333332,0.9166666666666666,1.75,,0.5,,3.0,,,,,,,,,,,
