Tree Number,Year,Alive,DBH,Large?,Tree Class,Hollows Class 1,Hollows Class 2,Hollows Class 3,Notes,No. Trees to be removed,
251,0,,42.3,Yes,,0,0,0,,17,
252,0,,41.4,Yes,,0,0,0,,18,
254,0,,37.3,Yes,,0,0,0,,29,
242,0,,36,Yes,,0,0,0,Previously 255,14,
243,0,,38.2,Yes,,0,0,1,Previosuly 257,16,
258,0,,35,Yes,,0,0,0,,18,
256,0,,38.2,Yes,,0,0,0,,25,
250,0,,31.9,Yes,,0,0,0,Previously 253,29,
264,0,,46.8,Yes,,0,0,0,,21,
263,0,,38.2,Yes,,0,0,0,,22,
262,0,,48.1,Yes,,0,0,0,,13,
261,0,,37.3,Yes,,0,0,0,,4,
260,0,,36.6,Yes,,0,0,0,,12,
265,0,,36.3,Yes,,0,0,0,,25,
259,0,,34.7,Yes,,0,0,0,,28,
266,0,,28.7,Yes,,0,0,0,,17,
267,0,,29.3,Yes,,0,0,0,,21,
268,0,,35,Yes,,0,0,0,,11,
541,0,,25.1,,2,,,,,,
542,0,,24.8,,2,,,,,,
544,0,,29.9,,2,,,,,,
546,0,,23.3,,2,,,,,,
547,0,,29.8,,2,,,,,,
548,0,,24.8,,2,,,,,,
549,0,,27.3,,2,,,,,,
550,0,,22.3,,2,,,,,,
552,0,,27,,2,,,,,,
551,0,,25.1,,2,,,,,,
543,0,,31.1,,3,0,0,0,,,
545,0,,32.5,,3,0,0,0,,,
554,0,,31,,3,0,0,0,(need to complete 2 trees on 5th side plot?),,
555,0,,34.3,,3,0,0,0,,,
556,0,,35.3,,3,0,0,0,,,
557,0,,30,,3,0,0,0,,,
558,0,,40,,3,0,0,0,,,
559,0,,36,,3,,,,,,
560,0,,30.2,,3,0,0,0,abandon transect  in search or 30dbh,,
561,0,,30.6,,3,0,0,0,,,
251,6,Yes,45.6,Yes,,0,0,0,,,Yes
252,6,Yes,47,Yes,,0,0,0,,,Yes
250,6,,,Yes,,,,,#253 changed to #250,,
254,6,Yes,42,Yes,,0,0,0,,,Yes
242,6,,41.9,Yes,,,,,"#255 lost tag, changed to #242",,
256,6,Yes,45.3,Yes,,0,0,0,,,Yes
243,6,Yes,41.8,Yes,,,,,#257 changed to #243,,Yes
258,6,Yes,37.8,Yes,,0,0,0,,,Yes
259,6,Yes,38,Yes,,0,0,0,,,Yes
260,6,Yes,39,Yes,,0,0,0,,,Yes
261,6,Yes,38.8,Yes,,0,0,0,,,Yes
262,6,Yes,49.1,Yes,,0,0,0,,,Yes
263,6,Yes,43,Yes,,0,0,0,,,Yes
264,6,Yes,48,Yes,,0,0,0,,,Yes
265,6,Yes,40,Yes,,0,0,0,,,Yes
266,6,Yes,33,Yes,,0,0,0,,,Yes
267,6,Yes,33.5,Yes,,0,0,0,,,
268,6,Yes,38.1,Yes,,0,0,0,,,Yes
541,6,Yes,26.7,,,0,0,0,,,Yes
542,6,Yes,28.5,,,0,0,0,,,Yes
543,6,Yes,35.4,,,0,0,0,,,Yes
544,6,Yes,31.6,,,0,0,0,,,Yes
545,6,Yes,35.3,,,0,0,0,,,Yes
546,6,Yes,24.5,,,0,0,0,,,Yes
547,6,Yes,32,,,0,0,0,,,Yes
548,6,Yes,27,,,0,0,0,,,Yes
549,6,Yes,27.3,,,0,0,0,,,Yes
550,6,Yes,23.4,,,0,0,0,,,Yes
551,6,Yes,28,,,0,0,0,,,Yes
552,6,Yes,29.2,,,0,0,0,,,Yes
554,6,Yes,34,,,0,0,0,,,Yes
555,6,Yes,36.8,,,0,0,0,,,Yes
556,6,Yes,37.4,,,1,0,0,,,Yes
557,6,Yes,33.5,,,0,0,0,,,Yes
558,6,Yes,43.7,,,0,0,0,,,Yes
559,6,Yes,38.3,,,0,0,0,,,Yes
560,6,Yes,32.5,,,0,0,0,,,Yes
561,6,Yes,33,,,,,,,,Yes
