Tree Number,Year,Alive,DBH,Large?,Tree Class,Hollows Class 1,Hollows Class 2,Hollows Class 3,Notes,GPS Marked,Circumference originally recorded
562,0,,23.6,,2,,,,,,
563,0,,29.8,,2,,,,,,
564,0,,25,,2,,,,,,
567,0,,29.8,,2,,,,,,
568,0,,23.1,,2,,,,,,
570,0,,22,,2,,,,,,
576,0,,22.4,,2,,,,,,
577,0,,25.8,,2,,,,,,
578,0,,25.2,,2,,,,,,
579,0,,29.5,,2,,,,,,
565,0,,32.7,,3,0,0,0,,,
566,0,,32.3,,3,0,0,0,,,
569,0,,31.9,,3,0,0,0,,,
571,0,,35,,3,0,0,0,,,
572,0,,31.2,,3,0,0,0,,,
573,0,,32.7,,3,0,0,0,,,
574,0,,30.1,,3,1,0,0,,,
575,0,,32.2,,3,0,0,0,,,
580,0,,35.5,,3,0,0,0,,,
581,0,,33.6,,3,0,0,0,,,
301,0,,36.6,Yes,,0,0,0,,Note: alternative measurement shared with tree number mapping,
302,0,,32.5,Yes,,0,0,0,,Note: alternative measurement shared with tree number mapping,
303,0,,50.9,Yes,,0,0,0,,Note: alternative measurement shared with tree number mapping,
304,0,,32.1,Yes,,0,0,0,,,
305,0,,33.9,Yes,,0,0,0,,,
306,0,,35.7,Yes,,0,0,0,,,
307,0,,31.8,Yes,,0,0,0,,Note: alternative measurement shared with tree number mapping,
308,0,,32.7,Yes,,0,0,0,,,
320,0,,32.2,Yes,,0,0,0,,,
309,0,,44.2,Yes,,0,0,0,,Note: alternative measurement shared with tree number mapping,
313,0,,38.2,Yes,,0,0,0,,Note: alternative measurement shared with tree number mapping,
311,0,,42.9,Yes,,0,0,0,,Note: alternative measurement shared with tree number mapping,
314,0,,44.1,Yes,,0,0,1,,,
315,0,,34.4,Yes,,0,0,0,,Note: alternative measurement shared with tree number mapping,
310,0,,31.8,Yes,,0,0,0,,Note: alternative measurement shared with tree number mapping,
316,0,,33.6,Yes,,0,0,0,,,
317,0,,35.6,Yes,,0,0,0,,,
318,0,,35.4,Yes,,0,0,0,,,
319,0,,35.7,Yes,,0,0,0,,,
312,0,,33.4,Yes,,0,0,0,,Note: alternative measurement shared with tree number mapping,
301,6,Yes,36,Yes,4,1,0,0,scan at 1.4m,,
302,6,Yes,33,Yes,4,0,0,0,,,
303,6,Yes,50.08,Yes,5,0,0,0,,,
304,6,Yes,33.1,Yes,4,0,0,0,,,
305,6,Yes,36,Yes,4,0,0,0,,,
306,6,Yes,37.3,Yes,4,0,0,0,,,
307,6,Yes,32.8,Yes,4,0,0,1,scan at 2.5m,,
308,6,Yes,34.8,Yes,4,0,0,0,,,
309,6,Yes,45.1,Yes,5,0,0,0,,,
310,6,Yes,32.8,Yes,4,0,0,0,,,
311,6,Yes,43.9,Yes,5,0,0,0,,,
312,6,Yes,34.2,Yes,4,0,0,1,scan at 2m,,
313,6,Yes,38.5,Yes,4,0,0,0,,,
314,6,Yes,45.5,Yes,5,0,0,0,,,
315,6,Yes,35.4,Yes,4,0,0,0,,,
316,6,Yes,35.1,Yes,4,0,0,0,,,
317,6,Yes,37.5,Yes,4,0,0,0,,,
318,6,Yes,36.6,Yes,4,0,0,0,,,
319,6,Yes,36.6,Yes,4,0,0,0,,,
320,6,Yes,33.7,Yes,4,0,0,0,,,
562,6,Yes,23.9,,3,0,0,0,,,
563,6,Yes,31.2,,4,0,0,0,,,
564,6,Yes,26.3,,3,0,0,0,,,
565,6,Yes,33.8,,4,0,0,0,,,
566,6,Yes,34.2,,4,0,0,0,,,
567,6,Yes,30.9,,4,0,0,0,,,
568,6,Yes,23.6,,3,0,0,0,,,
569,6,Yes,33.2,,4,0,0,0,,,
570,6,Yes,22.5,,3,0,0,0,,,
571,6,Yes,35.4,,4,0,0,0,,,
572,6,Yes,32.3,,4,0,0,0,,,
573,6,Yes,33.6,,4,0,0,0,,,
574,6,Yes,31.3,,4,0,0,0,,,
575,6,Yes,33,,4,0,0,0,,,
576,6,Yes,22.8,,3,0,0,0,,,
577,6,Yes,26.5,,3,0,0,0,,,
578,6,Yes,26.1,,3,0,0,0,,,
579,6,Yes,31,,4,0,0,0,,,
580,6,Yes,35.6,,4,0,0,0,,,
581,6,Yes,33.9,,4,0,0,0,,,
