Tree Number,Year,Alive,DBH,Large?,Tree Class,Hollows Class 1,Hollows Class 2,Hollows Class 3,Notes
151,0,,40,Yes,,0,0,0,
152,0,,39.9,Yes,,0,0,0,
153,0,,43.4,Yes,,0,0,0,
154,0,,49.6,Yes,,0,0,0,
155,0,,50.7,Yes,,0,0,0,
156,0,,42.2,Yes,,0,0,0,
157,0,,48,Yes,,0,0,0,
158,0,,41.2,Yes,,0,0,0,
159,0,,43.5,Yes,,0,0,0,
160,0,,52.5,Yes,,0,2,3,
161,0,,39.8,Yes,,0,0,0,
162,0,,48,Yes,,0,0,0,
163,0,,38.2,Yes,,0,0,0,"Assume tree number (present on Hollows sheet, blank on DBH sheet)"
164,0,,38.5,Yes,,0,0,0,
935,0,,39.5,Yes,,0,0,0,Previously 165 - believed to be the same tree
166,0,,46.6,Yes,,0,0,0,
167,0,,42.6,Yes,,0,0,0,
168,0,,45.2,Yes,,0,0,0,
169,0,,46.3,Yes,,0,0,0,
170,0,,41.8,Yes,,0,0,0,"Assume tree number (present on Hollows sheet, blank on DBH sheet)"
483,0,,25.5,No,2,,,,Hollows data not available
484,0,,22.2,No,2,,,,Hollows data not available
486,0,,25.4,No,2,,,,Hollows data not available
487,0,,28,No,2,,,,Hollows data not available
489,0,,25.4,No,2,,,,Hollows data not available
491,0,,23.6,No,2,,,,Hollows data not available
492,0,,21.9,No,2,,,,Hollows data not available
493,0,,23.1,No,2,,,,Hollows data not available
497,0,,22.6,No,2,,,,Hollows data not available
499,0,,28.3,No,2,,,,Hollows data not available
481,0,,36.1,No,3,0,0,0,
482,0,,32,No,3,0,0,0,
485,0,,35.5,No,3,0,0,0,
488,0,,34,No,3,0,0,0,
490,0,,34.4,No,3,0,0,0,
494,0,,31.1,No,3,0,0,0,
495,0,,35.3,No,3,0,0,0,
496,0,,34.7,No,3,0,0,0,
498,0,,33.5,No,3,0,0,0,
500,0,,36.8,No,3,0,0,0,
151,6,Yes,41.1,Yes,,0,0,0,
152,6,Yes,40.8,Yes,,0,0,0,
153,6,Yes,44,Yes,,0,0,0,
154,6,Yes,49.5,Yes,,0,0,0,
155,6,Yes,52.6,Yes,,0,0,0,
156,6,Yes,43.1,Yes,,,,,
157,6,Yes,49.5,Yes,,0,0,0,
158,6,Yes,42.7,Yes,,0,0,0,
159,6,Yes,44.1,Yes,,0,0,0,
160,6,Yes,52.7,Yes,,Yes,,,Count not available
161,6,Yes,40.2,Yes,,0,0,0,
162,6,Yes,48.7,Yes,,0,0,0,
163,6,Yes,39.8,Yes,,0,0,0,
164,6,Yes,40,Yes,,0,0,0,
935,6,Yes,41.9,Yes,,0,0,0,165 has been lost - this may or may not be the same tree
166,6,Yes,47.8,Yes,,0,0,0,
167,6,Yes,44.4,Yes,,0,0,0,
168,6,Yes,48,Yes,,0,0,0,
169,6,Yes,49.9,Yes,,0,0,0,
170,6,Yes,43.2,Yes,,0,0,0,
481,6,Yes,37,No,4,0,0,0,
482,6,Yes,33.7,No,4,0,0,0,
483,6,Yes,27.1,No,3,0,0,0,
484,6,Yes,22.5,No,3,0,0,0,
485,6,Yes,36.7,No,4,,,,
486,6,Yes,25.5,No,3,0,0,0,
487,6,Yes,28.5,No,3,0,0,0,
488,6,Yes,35.8,No,4,0,0,0,
489,6,Yes,26.2,No,3,0,0,0,
490,6,Yes,35.3,No,4,,,,
491,6,Yes,24.1,No,3,0,0,0,
492,6,Yes,22.1,No,3,0,0,0,
493,6,Yes,23.8,No,3,0,0,0,
494,6,Yes,31.5,No,4,0,0,0,
495,6,Yes,36.6,No,4,0,0,0,
496,6,Yes,39.7,No,4,0,0,0,
497,6,Yes,22.8,No,3,0,0,0,
498,6,Yes,33.9,No,4,0,0,0,
499,6,Yes,29.2,No,3,0,0,0,
500,6,Yes,38.7,No,4,0,0,0,
