Tree Number,Year,Alive,DBH,Large?,Tree Class,Hollows Class 1,Hollows Class 2,Hollows Class 3,Notes,Both year0 and year6 data contain only 19 large trees,,,,,,,,
218,0,,38.2,Yes,,0,0,0,?Whether assume tree class for all year0 large trees (using table in DBH sheet),,,,,,,,,
217,0,,44.7,Yes,,0,0,0,,,,,,,,,,
586,0,,36.6,Yes,,0,0,0,Previously 221,,,,,,,,,
213,0,,38.5,Yes,,0,0,0,,,,,,,,,,
216,0,,41.4,Yes,,0,0,0,,,,,,,,,,
215,0,,44.6,Yes,,0,0,0,,,,,,,,,,
214,0,,41.4,Yes,,0,0,0,,,,,,,,,,
219,0,,35.4,Yes,,0,0,0,,,,,,,,,,
201,0,,39.2,Yes,,0,0,0,,,,,,,,,,
203,0,,35,Yes,,0,0,0,,,,,,,,,,
204,0,,36.6,Yes,,0,0,0,,,,,,,,,,
206,0,,40.8,Yes,,0,0,1,,,,,,,,,,
205,0,,50.3,Yes,,0,0,0,,,,,,,,,,
584,0,,37.6,Yes,,0,0,0,Previously 207,,,,,,,,,
209,0,,35,Yes,,0,0,0,,,,,,,,,,
210,0,,35.3,Yes,,0,0,0,,,,,,,,,,
208,0,,39.2,Yes,,0,0,0,,,,,,,,,,
212,0,,53.8,Yes,,0,0,0,,,,,,,,,,
202,0,,35.7,Yes,,0,0,0,,,,,,,,,,
421,0,,28.6,No,2,,,,Hollows data not available,,,,,,,,,
422,0,,24.8,No,2,,,,Hollows data not available,,,,,,,,,
423,0,,25,No,2,,,,Hollows data not available,,,,,,,,,
425,0,,23.5,No,2,,,,Hollows data not available,,,,,,,,,
427,0,,28.5,No,2,,,,Hollows data not available,,,,,,,,,
429,0,,23,No,2,,,,Hollows data not available,,,,,,,,,
432,0,,26.4,No,2,,,,Hollows data not available,,,,,,,,,
433,0,,24.7,No,2,,,,Hollows data not available,,,,,,,,,
439,0,,28,No,2,,,,Hollows data not available,,,,,,,,,
440,0,,29.2,No,2,,,,Hollows data not available,,,,,,,,,
424,0,,31,No,3,0,0,0,,,,,,,,,,
426,0,,30.4,No,3,0,0,0,,,,,,,,,,
428,0,,31.9,No,3,0,0,0,,,,,,,,,,
430,0,,38,No,3,0,0,0,,,,,,,,,,
431,0,,32.6,No,3,0,0,0,,,,,,,,,,
434,0,,30.9,No,3,0,0,0,,,,,,,,,,
435,0,,32.9,No,3,0,0,0,,,,,,,,,,
436,0,,30.4,No,3,0,0,0,,,,,,,,,,
437,0,,32,No,3,0,0,0,,,,,,,,,,
438,0,,31.9,No,3,0,0,0,,,,,,,,,,
201,6,Yes,41.3802852,Yes,,0,0,0,note in DBH sheet: 583/201 retagged 2019,,,,,1.3,,,,
202,6,Yes,39.152116,Yes,,0,0,0,?Whether assume tree class for all year6 records (using table in DBH sheet),,,,,1.23,,,,
203,6,Yes,41.3802852,Yes,,0,0,0,Vague DBH for 203: 1.30 or 1.36?,,,,,1.3,,,,
204,6,Yes,44.08591924,Yes,,0,0,0,,,,,,1.385,,,,
205,6,Yes,56.65915974,Yes,,0,0,0,,,,,,1.78,,,,
206,6,Yes,42.33521486,Yes,,0,0,0,,,,,,1.33,,,,
584,6,Yes,41.53944015,Yes,,0,0,0,Previously 207,,,,,1.305,,,,
208,6,Yes,51.56620156,Yes,,0,0,0,,,,,,1.62,,,,
209,6,Yes,39.31127094,Yes,,0,0,0,,,,,,1.235,,,,
210,6,Yes,42.81267969,Yes,,0,0,0,,,,,,1.345,,,,
586,6,Yes,39.47042589,Yes,,0,0,0,Previously 221,,,,,1.24,,,,
212,6,Yes,59.8422586,Yes,,0,0,0,,,,,,1.88,,,,
213,6,Yes,42.65352475,Yes,,0,0,0,,,,,,1.34,,,,
214,6,Yes,44.24507418,Yes,,0,0,0,,,,,,1.39,,,,
215,6,Yes,48.3831027,Yes,,0,0,0,,,,,,1.52,,,,
216,6,Yes,43.29014452,Yes,,0,0,0,,,,,,1.36,,,,
217,6,Yes,,Yes,,0,0,0,don't understand note in DBH for 217,,,,,,,,,
218,6,Yes,40.74366543,Yes,,0,0,0,,,,,,1.28,,,,
219,6,Yes,35.96901714,Yes,,0,0,0,,,,,,1.13,,,,
421,6,Yes,28.96619964,,,0,0,0,"?Whether assume ""Large? = No"" for blank records for year6 trees",,,,,0.91,,,,
422,6,Yes,25.78310078,,,0,0,0,,,,,,0.81,,,,
423,6,Yes,26.73803044,,,0,0,0,,,,,,0.84,,,,
424,6,Yes,33.58169299,,,0,0,0,,,,,,1.055,,,,
425,6,Yes,26.5788755,,,0,0,0,,,,,,0.835,,,,
426,6,Yes,31.83098862,,,0,0,0,,,,,,1,,,,
427,6,Yes,29.9211293,,,0,0,0,,,,,,0.94,,,,
428,6,Yes,35.01408748,,,0,0,0,,,,,,1.1,,,,
429,6,Yes,24.98732607,,,0,0,0,,,,,,0.785,,,,
430,6,Yes,38.51549623,,,0,0,0,,,,,,1.21,,,,
431,6,Yes,35.96901714,,,0,0,0,,,,,,1.13,,,,
432,6,Yes,26.73803044,,,0,0,0,,,,,,0.84,,,,
433,6,Yes,25.94225572,,,0,0,0,,,,,,0.815,,,,
434,6,Yes,33.42253805,,,1,0,0,,,,,,1.05,,,,
435,6,Yes,33.74084794,,,0,0,0,,,,,,1.06,,,,
436,6,Yes,33.10422816,,,0,0,0,,,,,,1.04,,,,
437,6,Yes,33.42253805,,,0,0,0,,,,,,1.05,,,,
438,6,Yes,34.69577759,,,0,0,0,,,,,,1.09,,,,
439,6,Yes,31.19436885,,,0,0,0,,,,,,0.98,,,,
440,6,Yes,32.46760839,,,0,0,0,,,,,,1.02,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
