Tree Number,Year,Alive,DBH,Large?,Tree Class,Hollows Class 1,Hollows Class 2,Hollows Class 3,Notes,"Year0 data contains only 19 large trees, year6 data contains only 18 smaller trees (excluding 419) and 15 large trees (excluding 419)"
407,0,,24.9,No,3,0,0,0,,
408,0,,28.2,No,3,0,0,0,,
411,0,,21.3,No,3,0,0,0,,
412,0,,20.5,No,3,,,,Hollows data not available,
413,0,,21,No,3,0,0,0,,
414,0,,28.1,No,3,,,,Hollows data not available,
406,0,,27.7,No,3,0,0,0,,
417,0,,29.1,No,3,,,,Hollows data not available,
419,0,,26.8,No,3,,,,Hollows data not available,
420,0,,22.8,No,3,,,,Hollows data not available,
401,0,,39.5,No,4,0,0,0,,
402,0,,33.9,No,4,0,0,0,,
403,0,,33,No,4,1,0,0,don't understand note for 403 in hollow sheet,
404,0,,34.1,No,4,0,0,0,,
405,0,,31.9,No,4,0,0,0,,
409,0,,37.2,No,4,,,,Hollows data not available,
410,0,,31.8,No,4,,,,Hollows data not available,
415,0,,33.8,No,4,,,,Hollows data not available,
416,0,,37.8,No,4,,,,Hollows data not available,
418,0,,31.9,No,4,,,,Hollows data not available,
108,0,,40.5,Yes,5,0,0,0,"Using tree class in DBH sheet for year0 big trees, but tree class for year0 big trees are recorded as ""LT"" and ""big tree"" in the hollow sheet",
109,0,,38.5,Yes,4,0,0,0,don't understand note for 109 in hollow sheet,
105,0,,43.7,Yes,5,0,0,0,,
106,0,,40.1,Yes,5,0,0,0,,
92,0,,30.8,Yes,4,0/0,0/0,0/0,?Whether assume 0/0 as 0,
91,0,,40.7,Yes,5,0/0,0/0,0/0,?Whether assume 0/0 as 0,
95,0,,41.2,Yes,5,0,0,0,,
94,0,,32.6,Yes,4,1,0,0,,
93,0,,39.5,Yes,4,0/0,0/0,0/0,?Whether assume 0/0 as 0,
96,0,,39.2,Yes,4,0,0,0,,
104,0,,50.5,Yes,6,0,0,0,,
103,0,,40.5,Yes,5,0,0,0,,
99,0,,42.5,Yes,5,0,0,0,,
98,0,,40.3,Yes,5,0,0,0,,
100,0,,42.2,Yes,5,0,0,0,,
97,0,,43.1,Yes,5,0,0,0,,
101,0,,39.1,Yes,4,0,0,0,,
102,0,,46.1,Yes,5,0,0,0,,
107,0,,33,Yes,4,0,0,0,,
419,6,Yes,29.2,,,,,,"419 Appears in both large and smaller tree columns, with same DBH values; Hollows data not available",
408,6,,29.8,No,3,0,0,0,,
417,6,,31.5,No,3,0,0,0,,
414,6,,30.4,No,3,0,0,0,,
411,6,,21.9,No,3,,,,Hollows data not available,
406,6,,29.8,No,3,0,0,0,,
407,6,,27,No,3,0,0,0,,
420,6,,24.7,No,3,0,0,0,,
413,6,,22.6,No,3,0,0,0,,
412,6,,21,No,3,0,0,0,,
409,6,,41,No,,yes,0,0,tree class is 3 in hollow sheet but 4 in DBH sheet; no number just a tick for 409 in hollow sheet,
401,6,,44.6,No,,0,0,0,tree class is 3 in hollow sheet but 4 in DBH sheet,
403,6,,35,No,,0,0,0,tree class is 3 in hollow sheet but 4 in DBH sheet,
402,6,,38.5,No,,0,0,0,tree class is 3 in hollow sheet but 4 in DBH sheet,
405,6,,36.9,No,,0,0,0,tree class is 3 in hollow sheet but 4 in DBH sheet,
415,6,,35.5,No,,0,0,0,tree class is 3 in hollow sheet but 4 in DBH sheet,
416,6,,40.3,No,4,0,0,0,,
404,6,,35.1,No,,0,0,0,tree class is 3 in hollow sheet but 4 in DBH sheet,
418,6,,33,No,3,,,,Hollows data not available,
93,6,Yes,44.3,Yes,5,0,0,0,,
109,6,Yes,41.2,Yes,5,0,0,0,"Alive is marked as ""A"" in DBH sheet for records from here, assume ""A"" = ""L"" = Yes for Alive",
104,6,Yes,55.8,Yes,6,0,0,0,,
103,6,Yes,45.8,Yes,5,0,0,0,,
102,6,Yes,51.9,Yes,6,0,0,0,,
101,6,Yes,44.6,Yes,5,0,0,0,,
95,6,Yes,48.5,Yes,5,0,0,0,,
91,6,Yes,45.5,Yes,5,0,0,0,,
105,6,Yes,49.9,Yes,5,0,0,0,,
98,6,Yes,45.4,Yes,5,0,0,0,,
100,6,Yes,49.6,Yes,5,0,0,0,,
97,6,Yes,49.3,Yes,5,0,0,0,,
96,6,Yes,43.2,Yes,5,0,0,0,,
94,6,Yes,38.1,Yes,4,0,0,0,,
106,6,Yes,46,Yes,5,0,0,0,hollow for 106 is in note in hollow sheet: 106-no hollows,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
