Tree Number,Plot,Treatment,Large,Alive at year 0,DBH year 0,Hollows Class 1 year 0,Hollows Class 2 year 0,Hollows Class 3 year 0,Alive at year 6,DBH year 6,Hollows Class 1 year 6,Hollows Class 2 year 6,Hollows Class 3 year 6
60,8,T1: Gap,True,True,42.9,0.0,0.0,0.0,True,45.2,0.0,0.0,0.0
59,8,T1: Gap,True,True,44.0,0.0,0.0,0.0,True,48.9,0.0,0.0,0.0
54,8,T1: Gap,True,True,43.6,0.0,0.0,0.0,True,44.2,0.0,0.0,0.0
55,8,T1: Gap,True,True,50.2,0.0,0.0,0.0,True,53.3,0.0,0.0,0.0
244,8,T1: Gap,True,True,52.9,0.0,0.0,0.0,True,54.9,1.0,0.0,0.0
51,8,T1: Gap,True,True,36.8,0.0,0.0,0.0,True,38.9,0.0,0.0,0.0
50,8,T1: Gap,True,True,45.0,0.0,0.0,0.0,True,47.0,0.0,0.0,0.0
49,8,T1: Gap,True,True,35.3,0.0,0.0,0.0,True,38.7,0.0,0.0,0.0
53,8,T1: Gap,True,True,40.4,0.0,0.0,0.0,True,42.5,0.0,0.0,0.0
42,8,T1: Gap,True,True,42.7,0.0,0.0,0.0,True,40.0,0.0,0.0,0.0
41,8,T1: Gap,True,True,51.5,0.0,0.0,0.0,True,53.2,0.0,0.0,0.0
43,8,T1: Gap,True,True,43.0,0.0,0.0,0.0,True,43.8,0.0,0.0,0.0
44,8,T1: Gap,True,True,41.4,0.0,0.0,0.0,True,42.0,0.0,0.0,0.0
46,8,T1: Gap,True,True,57.7,0.0,1.0,0.0,True,57.8,0.0,0.0,0.0
47,8,T1: Gap,True,True,44.8,0.0,0.0,0.0,True,45.8,0.0,0.0,0.0
48,8,T1: Gap,True,True,45.4,0.0,0.0,1.0,True,48.0,0.0,0.0,1.0
45,8,T1: Gap,True,True,39.0,0.0,0.0,0.0,True,40.5,,,
57,8,T1: Gap,True,True,46.0,0.0,0.0,0.0,True,49.3,0.0,0.0,0.0
56,8,T1: Gap,True,True,40.0,0.0,0.0,0.0,True,42.0,0.0,0.0,0.0
58,8,T1: Gap,True,True,52.0,0.0,0.0,0.0,True,43.9,0.0,0.0,0.0
270,8,T1: Gap,False,True,28.0,0.0,0.0,0.0,True,29.8,0.0,0.0,0.0
271,8,T1: Gap,False,True,28.1,0.0,0.0,0.0,True,30.0,0.0,0.0,0.0
272,8,T1: Gap,False,True,25.1,0.0,0.0,0.0,True,27.0,0.0,0.0,0.0
278,8,T1: Gap,False,True,24.8,0.0,0.0,0.0,True,25.2,,,
249,8,T1: Gap,False,True,25.3,0.0,0.0,0.0,True,28.2,0.0,0.0,0.0
281,8,T1: Gap,False,True,26.6,0.0,0.0,0.0,True,28.3,0.0,0.0,0.0
282,8,T1: Gap,False,True,26.4,0.0,0.0,0.0,True,27.9,0.0,0.0,0.0
284,8,T1: Gap,False,True,28.7,0.0,0.0,0.0,True,30.0,0.0,0.0,0.0
286,8,T1: Gap,False,True,26.8,0.0,0.0,0.0,True,27.7,,,
287,8,T1: Gap,False,True,25.5,0.0,0.0,0.0,True,26.3,0.0,0.0,0.0
269,8,T1: Gap,False,True,33.7,0.0,0.0,0.0,True,36.1,0.0,0.0,0.0
273,8,T1: Gap,False,True,31.7,0.0,0.0,0.0,True,32.9,0.0,0.0,0.0
274,8,T1: Gap,False,True,35.9,0.0,0.0,0.0,True,38.3,0.0,0.0,0.0
275,8,T1: Gap,False,True,33.0,0.0,0.0,0.0,True,34.0,,,
276,8,T1: Gap,False,True,31.1,0.0,0.0,0.0,True,32.2,0.0,0.0,0.0
277,8,T1: Gap,False,True,39.5,0.0,0.0,0.0,True,41.8,0.0,0.0,0.0
280,8,T1: Gap,False,True,35.9,0.0,0.0,0.0,True,37.8,0.0,0.0,0.0
283,8,T1: Gap,False,True,30.9,0.0,0.0,0.0,True,33.0,0.0,0.0,0.0
285,8,T1: Gap,False,True,32.2,0.0,0.0,0.0,True,34.1,0.0,0.0,0.0
288,8,T1: Gap,False,True,33.2,0.0,0.0,0.0,True,34.0,0.0,0.0,0.0
562,4,Control,,True,23.6,,,,True,23.9,0.0,0.0,0.0
563,4,Control,,True,29.8,,,,True,31.2,0.0,0.0,0.0
564,4,Control,,True,25.0,,,,True,26.3,0.0,0.0,0.0
567,4,Control,,True,29.8,,,,True,30.9,0.0,0.0,0.0
568,4,Control,,True,23.1,,,,True,23.6,0.0,0.0,0.0
570,4,Control,,True,22.0,,,,True,22.5,0.0,0.0,0.0
576,4,Control,,True,22.4,,,,True,22.8,0.0,0.0,0.0
577,4,Control,,True,25.8,,,,True,26.5,0.0,0.0,0.0
578,4,Control,,True,25.2,,,,True,26.1,0.0,0.0,0.0
579,4,Control,,True,29.5,,,,True,31.0,0.0,0.0,0.0
565,4,Control,,True,32.7,0.0,0.0,0.0,True,33.8,0.0,0.0,0.0
566,4,Control,,True,32.3,0.0,0.0,0.0,True,34.2,0.0,0.0,0.0
569,4,Control,,True,31.9,0.0,0.0,0.0,True,33.2,0.0,0.0,0.0
571,4,Control,,True,35.0,0.0,0.0,0.0,True,35.4,0.0,0.0,0.0
572,4,Control,,True,31.2,0.0,0.0,0.0,True,32.3,0.0,0.0,0.0
573,4,Control,,True,32.7,0.0,0.0,0.0,True,33.6,0.0,0.0,0.0
574,4,Control,,True,30.1,1.0,0.0,0.0,True,31.3,0.0,0.0,0.0
575,4,Control,,True,32.2,0.0,0.0,0.0,True,33.0,0.0,0.0,0.0
580,4,Control,,True,35.5,0.0,0.0,0.0,True,35.6,0.0,0.0,0.0
581,4,Control,,True,33.6,0.0,0.0,0.0,True,33.9,0.0,0.0,0.0
301,4,Control,True,True,36.6,0.0,0.0,0.0,True,36.0,1.0,0.0,0.0
302,4,Control,True,True,32.5,0.0,0.0,0.0,True,33.0,0.0,0.0,0.0
303,4,Control,True,True,50.9,0.0,0.0,0.0,True,50.08,0.0,0.0,0.0
304,4,Control,True,True,32.1,0.0,0.0,0.0,True,33.1,0.0,0.0,0.0
305,4,Control,True,True,33.9,0.0,0.0,0.0,True,36.0,0.0,0.0,0.0
306,4,Control,True,True,35.7,0.0,0.0,0.0,True,37.3,0.0,0.0,0.0
307,4,Control,True,True,31.8,0.0,0.0,0.0,True,32.8,0.0,0.0,1.0
308,4,Control,True,True,32.7,0.0,0.0,0.0,True,34.8,0.0,0.0,0.0
320,4,Control,True,True,32.2,0.0,0.0,0.0,True,33.7,0.0,0.0,0.0
309,4,Control,True,True,44.2,0.0,0.0,0.0,True,45.1,0.0,0.0,0.0
313,4,Control,True,True,38.2,0.0,0.0,0.0,True,38.5,0.0,0.0,0.0
311,4,Control,True,True,42.9,0.0,0.0,0.0,True,43.9,0.0,0.0,0.0
314,4,Control,True,True,44.1,0.0,0.0,1.0,True,45.5,0.0,0.0,0.0
315,4,Control,True,True,34.4,0.0,0.0,0.0,True,35.4,0.0,0.0,0.0
310,4,Control,True,True,31.8,0.0,0.0,0.0,True,32.8,0.0,0.0,0.0
316,4,Control,True,True,33.6,0.0,0.0,0.0,True,35.1,0.0,0.0,0.0
317,4,Control,True,True,35.6,0.0,0.0,0.0,True,37.5,0.0,0.0,0.0
318,4,Control,True,True,35.4,0.0,0.0,0.0,True,36.6,0.0,0.0,0.0
319,4,Control,True,True,35.7,0.0,0.0,0.0,True,36.6,0.0,0.0,0.0
312,4,Control,True,True,33.4,0.0,0.0,0.0,True,34.2,0.0,0.0,1.0
77,12,T1: Gap,True,True,63.7,1.0,1.0,1.0,True,68.5,1.0,1.0,1.0
61,12,T1: Gap,True,True,50.3,0.0,0.0,0.0,True,54.0,0.0,0.0,0.0
62,12,T1: Gap,True,True,43.3,0.0,0.0,0.0,True,45.5,0.0,0.0,0.0
953,12,T1: Gap,True,True,33.8,0.0,0.0,0.0,True,36.9,0.0,0.0,0.0
65,12,T1: Gap,True,True,37.6,0.0,0.0,0.0,True,39.1,0.0,0.0,0.0
67,12,T1: Gap,True,True,32.8,0.0,0.0,0.0,True,35.4,0.0,0.0,0.0
68,12,T1: Gap,True,True,36.0,0.0,0.0,0.0,True,34.0,0.0,0.0,0.0
69,12,T1: Gap,True,True,35.0,0.0,0.0,0.0,True,34.8,0.0,0.0,0.0
70,12,T1: Gap,True,True,38.85,0.0,0.0,0.0,True,42.2,0.0,0.0,0.0
63,12,T1: Gap,True,True,39.5,0.0,0.0,0.0,True,40.1,0.0,0.0,0.0
75,12,T1: Gap,True,True,38.2,0.0,0.0,0.0,True,41.0,0.0,0.0,0.0
76,12,T1: Gap,True,True,39.5,0.0,0.0,0.0,True,44.4,0.0,0.0,0.0
950,12,T1: Gap,True,True,38.2,0.0,0.0,0.0,True,40.7,0.0,0.0,0.0
73,12,T1: Gap,True,True,36.6,0.0,0.0,0.0,True,38.0,0.0,0.0,0.0
72,12,T1: Gap,True,True,31.85,0.0,0.0,0.0,True,43.7,0.0,0.0,0.0
71,12,T1: Gap,True,True,25.5,0.0,0.0,0.0,True,44.2,0.0,0.0,0.0
78,12,T1: Gap,True,True,34.7,0.0,0.0,0.0,True,36.0,0.0,0.0,0.0
79,12,T1: Gap,True,True,46.2,0.0,0.0,0.0,True,50.2,0.0,0.0,0.0
66,12,T1: Gap,True,True,49.4,0.0,0.0,0.0,True,51.9,0.0,0.0,0.0
946,12,T1: Gap,True,True,37.6,0.0,0.0,0.0,True,39.1,0.0,0.0,0.0
116,12,T1: Gap,False,True,27.8,,,,True,29.8,,,
117,12,T1: Gap,False,True,29.1,,,,True,30.7,,,
119,12,T1: Gap,False,True,29.5,,,,True,31.7,,,
122,12,T1: Gap,False,True,20.2,,,,True,20.8,,,
123,12,T1: Gap,False,True,22.7,,,,True,23.2,,,
128,12,T1: Gap,False,True,29.1,,,,True,31.8,,,
129,12,T1: Gap,False,True,23.5,,,,True,24.9,,,
