Record ID,Year,Plot,Quadrat,Species Name,Score,Treatment,Fenced,Gap,Life Form,Shade Tolerant,Weed,Abundance
10733,6,1,1,Stellaria spp.,0.5,Gap,False,False,Medium Forb/Herb,True,False,0.5
10730,6,1,1,Rytidosperma spp.,1.0,Gap,False,False,Small Tufted grass/sedge,False,False,3.0
10731,6,1,1,Rytidosperma spp.,0.5,Gap,False,False,Small Tufted grass/sedge,False,False,0.5
10732,6,1,1,Senecio spp,0.5,Gap,False,False,Large Forb/Herb,False,False,0.5
10734,6,1,1,Wahlenbergia spp,0.5,Gap,False,False,Large Forb/Herb,False,False,0.5
10735,6,1,1,Senecio spp,0.5,Gap,False,False,Large Forb/Herb,False,False,0.5
10717,6,1,1,Aira spp.,0.5,Gap,False,False,Small Non-tufted grass/sedge,False,True,0.5
10718,6,1,1,Bulbine bulbosa,0.5,Gap,False,False,Medium Forb/Herb,True,False,0.5
10720,6,1,1,Cotula australis,1.0,Gap,False,False,Medium Forb/Herb,False,False,3.0
10721,6,1,1,Crassula spp,1.0,Gap,False,False,Prostrate or Mat-forming Forb/Herb,False,False,3.0
10722,6,1,1,Dichondra repens,1.0,Gap,False,False,Prostrate or Mat-forming Forb/Herb,True,False,3.0
10723,6,1,1,Einadia nutans,1.0,Gap,False,False,Medium Forb/Herb,False,False,3.0
10727,6,1,1,Lomandra longifolia,4.0,Gap,False,False,Large Forb/Herb,True,False,25.0
10724,6,1,1,Euchiton spp,0.5,Gap,False,False,Medium Forb/Herb,False,False,0.5
10728,6,1,1,Microlaena stipoides,0.5,Gap,False,False,Medium Non-tufted grass/sedge,True,False,0.5
10726,6,1,1,Lachnagrostis spp.,0.5,Gap,False,False,Medium Tufted grass/sedge,False,False,0.5
10725,6,1,1,Hypochaeris spp,0.5,Gap,False,False,Medium Forb/Herb,False,True,0.5
10729,6,1,1,Pteridium esculentum,0.5,Gap,False,False,Non-tufted Ground Fern,False,False,0.5
5790,0,1,1,Senecio spp,0.5,Gap,False,False,Large Forb/Herb,False,False,0.5
5789,0,1,1,Pteridium esculentum,0.5,Gap,False,False,Non-tufted Ground Fern,False,False,0.5
5788,0,1,1,Microlaena stipoides,0.5,Gap,False,False,Medium Non-tufted grass/sedge,True,False,0.5
5787,0,1,1,Lomandra longifolia,4.0,Gap,False,False,Large Forb/Herb,True,False,25.0
5786,0,1,1,Lagenophora spp,0.5,Gap,False,False,Medium Forb/Herb,True,False,0.5
5785,0,1,1,Hypochaeris spp,0.5,Gap,False,False,Medium Forb/Herb,False,True,0.5
5784,0,1,1,Hydrocotyle spp,0.5,Gap,False,False,Prostrate or Mat-forming Forb/Herb,False,False,0.5
5779,0,1,1,Aira spp.,1.0,Gap,False,False,Small Non-tufted grass/sedge,False,True,3.0
5780,0,1,1,Rytidosperma spp.,1.0,Gap,False,False,Small Tufted grass/sedge,False,False,3.0
5781,0,1,1,Conyza sumatrensis,0.5,Gap,False,False,Large Forb/Herb,False,True,0.5
5782,0,1,1,Cotula australis,0.5,Gap,False,False,Medium Forb/Herb,False,False,0.5
5783,0,1,1,Dichondra repens,1.0,Gap,False,False,Prostrate or Mat-forming Forb/Herb,True,False,3.0
71,3,1,1,Rytidosperma spp.,1.0,Gap,False,False,Small Tufted grass/sedge,False,False,3.0
48,3,1,1,Senecio spp,1.0,Gap,False,False,Large Forb/Herb,False,False,3.0
69,3,1,1,Cerastium glomeratum,0.5,Gap,False,False,Medium Forb/Herb,False,True,0.5
70,3,1,1,Wahlenbergia spp,0.5,Gap,False,False,Large Forb/Herb,False,False,0.5
72,3,1,1,Austrostipa spp,1.0,Gap,False,False,Large Tufted grass/sedge,False,False,3.0
73,3,1,1,Stuartina muelleri,0.5,Gap,False,False,Medium Forb/Herb,False,False,0.5
35,3,1,1,Aira spp.,0.5,Gap,False,False,Small Non-tufted grass/sedge,False,True,0.5
36,3,1,1,Briza minor,0.5,Gap,False,False,Small Tufted grass/sedge,False,True,0.5
37,3,1,1,Conyza sumatrensis,0.5,Gap,False,False,Large Forb/Herb,False,True,0.5
38,3,1,1,Cotula australis,0.5,Gap,False,False,Medium Forb/Herb,False,False,0.5
39,3,1,1,Crassula spp,0.5,Gap,False,False,Prostrate or Mat-forming Forb/Herb,False,False,0.5
40,3,1,1,Daucus glochidiatus,0.5,Gap,False,False,Medium Forb/Herb,False,False,0.5
41,3,1,1,Dichondra repens,0.5,Gap,False,False,Prostrate or Mat-forming Forb/Herb,True,False,0.5
42,3,1,1,Einadia nutans,0.5,Gap,False,False,Medium Forb/Herb,False,False,0.5
47,3,1,1,Lomandra longifolia,5.0,Gap,False,False,Large Forb/Herb,True,False,35.0
46,3,1,1,Lomandra filiformis,0.5,Gap,False,False,Medium Forb/Herb,True,False,0.5
45,3,1,1,Lagenophora spp,0.5,Gap,False,False,Medium Forb/Herb,True,False,0.5
10988,6,1,2,Stellaria spp.,0.5,Gap,False,True,Medium Forb/Herb,True,False,0.5
10977,6,1,2,Hydrocotyle spp,1.0,Gap,False,True,Prostrate or Mat-forming Forb/Herb,False,False,3.0
10981,6,1,2,Microlaena stipoides,0.5,Gap,False,True,Medium Non-tufted grass/sedge,True,False,0.5
10976,6,1,2,Glycine clandestina,0.5,Gap,False,True,Climber,True,False,0.5
10978,6,1,2,Hypochaeris glabra,0.5,Gap,False,True,Medium Forb/Herb,False,True,0.5
10979,6,1,2,Imperata cylindrica,0.5,Gap,False,True,Medium Tufted grass/sedge,False,False,0.5
10980,6,1,2,Lomandra longifolia,5.0,Gap,False,True,Large Forb/Herb,True,False,35.0
10982,6,1,2,Poranthera microphylla,0.5,Gap,False,True,Medium Forb/Herb,False,False,0.5
10983,6,1,2,Pteridium esculentum,1.0,Gap,False,True,Non-tufted Ground Fern,False,False,3.0
10984,6,1,2,Rytidosperma caespitosum,0.5,Gap,False,True,Small Tufted grass/sedge,False,False,0.5
10985,6,1,2,Rytidosperma geniculata,0.5,Gap,False,True,Small Tufted grass/sedge,True,False,0.5
10987,6,1,2,Senecio tenuiflorus,1.0,Gap,False,True,Large Forb/Herb,False,False,3.0
10975,6,1,2,Euchiton spp,0.5,Gap,False,True,Medium Forb/Herb,False,False,0.5
10986,6,1,2,Senecio pinnatifolius,0.5,Gap,False,True,Large Forb/Herb,False,False,0.5
10970,6,1,2,Aira spp.,1.0,Gap,False,True,Small Non-tufted grass/sedge,False,True,3.0
10972,6,1,2,Crassula sieberiana,1.0,Gap,False,True,Prostrate or Mat-forming Forb/Herb,False,False,3.0
10973,6,1,2,Daucus glochidiatus,0.5,Gap,False,True,Medium Forb/Herb,False,False,0.5
10974,6,1,2,Dichondra repens,0.5,Gap,False,True,Prostrate or Mat-forming Forb/Herb,True,False,0.5
10971,6,1,2,Austrostipa scabra,1.0,Gap,False,True,Medium Tufted grass/sedge,False,False,3.0
5803,0,1,2,Hydrocotyle spp,0.5,Gap,False,True,Prostrate or Mat-forming Forb/Herb,False,False,0.5
5801,0,1,2,Euchiton spp,0.5,Gap,False,True,Medium Forb/Herb,False,False,0.5
5802,0,1,2,Gnaphalium sp,0.5,Gap,False,True,Medium Forb/Herb,False,True,0.5
5804,0,1,2,Hypericum gramineum,0.5,Gap,False,True,Medium Forb/Herb,False,False,0.5
5800,0,1,2,Dichondra repens,1.0,Gap,False,True,Prostrate or Mat-forming Forb/Herb,True,False,3.0
5795,0,1,2,Rytidosperma spp.,0.5,Gap,False,True,Small Tufted grass/sedge,False,False,0.5
5805,0,1,2,Hypochaeris spp,1.0,Gap,False,True,Medium Forb/Herb,False,True,3.0
5799,0,1,2,Conyza sumatrensis,0.5,Gap,False,True,Large Forb/Herb,False,True,0.5
5797,0,1,2,Centaurium erythraea,0.5,Gap,False,True,Medium Forb/Herb,False,True,0.5
5796,0,1,2,Austrostipa spp,2.0,Gap,False,True,Large Tufted grass/sedge,False,False,7.5
5794,0,1,2,Aira spp.,0.5,Gap,False,True,Small Non-tufted grass/sedge,False,True,0.5
5806,0,1,2,Lomandra longifolia,3.0,Gap,False,True,Large Forb/Herb,True,False,15.0
5807,0,1,2,Poranthera microphylla,0.5,Gap,False,True,Medium Forb/Herb,False,False,0.5
5808,0,1,2,Pterostylis spp,0.5,Gap,False,True,Medium Forb/Herb,True,False,0.5
5809,0,1,2,Senecio spp,0.5,Gap,False,True,Large Forb/Herb,False,False,0.5
67,3,1,2,Austrostipa spp,1.0,Gap,False,True,Large Tufted grass/sedge,False,False,3.0
55,3,1,2,Rytidosperma spp.,0.5,Gap,False,True,Small Tufted grass/sedge,False,False,0.5
65,3,1,2,Senecio spp,1.0,Gap,False,True,Large Forb/Herb,False,False,3.0
54,3,1,2,Aira spp.,1.0,Gap,False,True,Small Non-tufted grass/sedge,False,True,3.0
56,3,1,2,Cerastium glomeratum,0.5,Gap,False,True,Medium Forb/Herb,False,True,0.5
61,3,1,2,Lomandra longifolia,4.0,Gap,False,True,Large Forb/Herb,True,False,25.0
57,3,1,2,Conyza sumatrensis,0.5,Gap,False,True,Large Forb/Herb,False,True,0.5
58,3,1,2,Daucus glochidiatus,1.0,Gap,False,True,Medium Forb/Herb,False,False,3.0
59,3,1,2,Dichondra repens,3.0,Gap,False,True,Prostrate or Mat-forming Forb/Herb,True,False,15.0
60,3,1,2,Hypochaeris spp,1.0,Gap,False,True,Medium Forb/Herb,False,True,3.0
62,3,1,2,Luzula meridionalis,1.0,Gap,False,True,Small Tufted grass/sedge,False,False,3.0
63,3,1,2,Microlaena stipoides,1.0,Gap,False,True,Medium Non-tufted grass/sedge,True,False,3.0
64,3,1,2,Pteridium esculentum,1.0,Gap,False,True,Non-tufted Ground Fern,False,False,3.0
11002,6,1,3,Hydrocotyle spp,0.5,Gap,False,True,Prostrate or Mat-forming Forb/Herb,False,False,0.5
11008,6,1,3,Poa labillardieri,0.5,Gap,False,True,Medium Tufted grass/sedge,False,False,0.5
11007,6,1,3,Oxalis (native),0.5,Gap,False,True,Medium Forb/Herb,False,False,0.5
11006,6,1,3,Lomandra longifolia,6.0,Gap,False,True,Large Forb/Herb,True,False,45.0
11005,6,1,3,Imperata cylindrica,0.5,Gap,False,True,Medium Tufted grass/sedge,False,False,0.5
11004,6,1,3,Hypochaeris radicata,0.5,Gap,False,True,Medium Forb/Herb,False,True,0.5
11009,6,1,3,Pteridium esculentum,1.0,Gap,False,True,Non-tufted Ground Fern,False,False,3.0
11014,6,1,3,Stellaria spp.,0.5,Gap,False,True,Medium Forb/Herb,True,False,0.5
11003,6,1,3,Hypericum gramineum,0.5,Gap,False,True,Medium Forb/Herb,False,False,0.5
11010,6,1,3,Rytidosperma caespitosum,1.0,Gap,False,True,Small Tufted grass/sedge,False,False,3.0
11011,6,1,3,Rytidosperma geniculata,1.0,Gap,False,True,Small Tufted grass/sedge,True,False,3.0
11012,6,1,3,Senecio pinnatifolius,0.5,Gap,False,True,Large Forb/Herb,False,False,0.5
11000,6,1,3,Euchiton spp,0.5,Gap,False,True,Medium Forb/Herb,False,False,0.5
11015,6,1,3,Vulpia sp.,0.5,Gap,False,True,Small Tufted grass/sedge,False,True,0.5
11016,6,1,3,Wahlenbergia spp,0.5,Gap,False,True,Large Forb/Herb,False,False,0.5
11013,6,1,3,Senecio tenuiflorus,0.5,Gap,False,True,Large Forb/Herb,False,False,0.5
11001,6,1,3,Glycine clandestina,0.5,Gap,False,True,Climber,True,False,0.5
10993,6,1,3,Aira spp.,0.5,Gap,False,True,Small Non-tufted grass/sedge,False,True,0.5
10994,6,1,3,Arthropodium strictum,0.5,Gap,False,True,Large Forb/Herb,False,False,0.5
10997,6,1,3,Cotula australis,0.5,Gap,False,True,Medium Forb/Herb,False,False,0.5
10998,6,1,3,Crassula sieberiana,1.0,Gap,False,True,Prostrate or Mat-forming Forb/Herb,False,False,3.0
10999,6,1,3,Dichondra repens,0.5,Gap,False,True,Prostrate or Mat-forming Forb/Herb,True,False,0.5
10995,6,1,3,Briza minor,0.5,Gap,False,True,Small Tufted grass/sedge,False,True,0.5
5829,0,1,3,Poa spp,1.0,Gap,False,True,Medium Tufted grass/sedge,False,False,3.0
5828,0,1,3,Microlaena stipoides,1.0,Gap,False,True,Medium Non-tufted grass/sedge,True,False,3.0
5827,0,1,3,Lomandra longifolia,4.0,Gap,False,True,Large Forb/Herb,True,False,25.0
5826,0,1,3,Lagenophora spp,0.5,Gap,False,True,Medium Forb/Herb,True,False,0.5
5825,0,1,3,Hypochaeris spp,1.0,Gap,False,True,Medium Forb/Herb,False,True,3.0
5830,0,1,3,Poranthera microphylla,0.5,Gap,False,True,Medium Forb/Herb,False,False,0.5
5824,0,1,3,Hypericum gramineum,0.5,Gap,False,True,Medium Forb/Herb,False,False,0.5
5831,0,1,3,Pteridium esculentum,2.0,Gap,False,True,Non-tufted Ground Fern,False,False,7.5
5832,0,1,3,Senecio spp,0.5,Gap,False,True,Large Forb/Herb,False,False,0.5
5823,0,1,3,Hydrocotyle spp,0.5,Gap,False,True,Prostrate or Mat-forming Forb/Herb,False,False,0.5
5833,0,1,3,Wahlenbergia spp,0.5,Gap,False,True,Large Forb/Herb,False,False,0.5
5816,0,1,3,Rytidosperma spp.,0.5,Gap,False,True,Small Tufted grass/sedge,False,False,0.5
5817,0,1,3,Centaurium erythraea,0.5,Gap,False,True,Medium Forb/Herb,False,True,0.5
5818,0,1,3,Conyza sumatrensis,0.5,Gap,False,True,Large Forb/Herb,False,True,0.5
5819,0,1,3,Cotula australis,0.5,Gap,False,True,Medium Forb/Herb,False,False,0.5
5822,0,1,3,Glycine clandestina,0.5,Gap,False,True,Climber,True,False,0.5
5815,0,1,3,Aira spp.,0.5,Gap,False,True,Small Non-tufted grass/sedge,False,True,0.5
5820,0,1,3,Dichondra repens,2.0,Gap,False,True,Prostrate or Mat-forming Forb/Herb,True,False,7.5
5821,0,1,3,Euchiton spp,0.5,Gap,False,True,Medium Forb/Herb,False,False,0.5
92,3,1,3,Poranthera microphylla,1.0,Gap,False,True,Medium Forb/Herb,False,False,3.0
91,3,1,3,Poa spp,2.0,Gap,False,True,Medium Tufted grass/sedge,False,False,7.5
86,3,1,3,Hypericum gramineum,0.5,Gap,False,True,Medium Forb/Herb,False,False,0.5
88,3,1,3,Lagenophora spp,1.0,Gap,False,True,Medium Forb/Herb,True,False,3.0
93,3,1,3,Pteridium esculentum,1.0,Gap,False,True,Non-tufted Ground Fern,False,False,3.0
96,3,1,3,Austrostipa spp,1.0,Gap,False,True,Large Tufted grass/sedge,False,False,3.0
89,3,1,3,Lomandra longifolia,5.0,Gap,False,True,Large Forb/Herb,True,False,35.0
90,3,1,3,Oxalis sp 2.,1.0,Gap,False,True,Medium Forb/Herb,False,False,3.0
94,3,1,3,Sonchus spp,0.5,Gap,False,True,Large Forb/Herb,False,True,0.5
95,3,1,3,Rytidosperma spp.,1.0,Gap,False,True,Small Tufted grass/sedge,False,False,3.0
85,3,1,3,Hydrocotyle spp,1.0,Gap,False,True,Prostrate or Mat-forming Forb/Herb,False,False,3.0
80,3,1,3,Arthropodium spp,0.5,Gap,False,True,Large Forb/Herb,False,False,0.5
79,3,1,3,Aira spp.,1.0,Gap,False,True,Small Non-tufted grass/sedge,False,True,3.0
81,3,1,3,Carex spp,0.5,Gap,False,True,Small Tufted grass/sedge,True,False,0.5
82,3,1,3,Cerastium glomeratum,0.5,Gap,False,True,Medium Forb/Herb,False,True,0.5
83,3,1,3,Cotula australis,0.5,Gap,False,True,Medium Forb/Herb,False,False,0.5
84,3,1,3,Daucus glochidiatus,0.5,Gap,False,True,Medium Forb/Herb,False,False,0.5
11028,6,1,4,Hydrocotyle spp,0.5,Gap,False,True,Prostrate or Mat-forming Forb/Herb,False,False,0.5
11027,6,1,4,Euchiton spp,0.5,Gap,False,True,Medium Forb/Herb,False,False,0.5
11026,6,1,4,Diuris sulphurea,0.5,Gap,False,True,Medium Forb/Herb,False,False,0.5
11034,6,1,4,Stellaria spp.,1.0,Gap,False,True,Medium Forb/Herb,True,False,3.0
11023,6,1,4,Crassula sieberiana,1.0,Gap,False,True,Prostrate or Mat-forming Forb/Herb,False,False,3.0
11029,6,1,4,Lomandra longifolia,8.0,Gap,False,True,Large Forb/Herb,True,False,65.0
11030,6,1,4,Microlaena stipoides,0.5,Gap,False,True,Medium Non-tufted grass/sedge,True,False,0.5
11031,6,1,4,Poranthera microphylla,0.5,Gap,False,True,Medium Forb/Herb,False,False,0.5
11032,6,1,4,Rytidosperma geniculata,0.5,Gap,False,True,Small Tufted grass/sedge,True,False,0.5
11033,6,1,4,Senecio pinnatifolius,1.0,Gap,False,True,Large Forb/Herb,False,False,3.0
11021,6,1,4,Aira spp.,1.0,Gap,False,True,Small Non-tufted grass/sedge,False,True,3.0
11022,6,1,4,Cotula australis,0.5,Gap,False,True,Medium Forb/Herb,False,False,0.5
11024,6,1,4,Daucus glochidiatus,0.5,Gap,False,True,Medium Forb/Herb,False,False,0.5
11025,6,1,4,Dichondra repens,0.5,Gap,False,True,Prostrate or Mat-forming Forb/Herb,True,False,0.5
5847,0,1,4,Senecio spp,0.5,Gap,False,True,Large Forb/Herb,False,False,0.5
5843,0,1,4,Hypochaeris spp,0.5,Gap,False,True,Medium Forb/Herb,False,True,0.5
5844,0,1,4,Lomandra longifolia,6.0,Gap,False,True,Large Forb/Herb,True,False,45.0
5845,0,1,4,Microlaena stipoides,0.5,Gap,False,True,Medium Non-tufted grass/sedge,True,False,0.5
5846,0,1,4,Pterostylis spp,0.5,Gap,False,True,Medium Forb/Herb,True,False,0.5
5842,0,1,4,Hydrocotyle spp,0.5,Gap,False,True,Prostrate or Mat-forming Forb/Herb,False,False,0.5
5848,0,1,4,Wahlenbergia spp,0.5,Gap,False,True,Large Forb/Herb,False,False,0.5
5837,0,1,4,Arthropodium spp,0.5,Gap,False,True,Large Forb/Herb,False,False,0.5
5838,0,1,4,Rytidosperma spp.,1.0,Gap,False,True,Small Tufted grass/sedge,False,False,3.0
5841,0,1,4,Cotula australis,0.5,Gap,False,True,Medium Forb/Herb,False,False,0.5
5840,0,1,4,Conyza sumatrensis,0.5,Gap,False,True,Large Forb/Herb,False,True,0.5
103,3,1,4,Arthropodium spp,0.5,Gap,False,True,Large Forb/Herb,False,False,0.5
122,3,1,4,Wahlenbergia spp,1.0,Gap,False,True,Large Forb/Herb,False,False,3.0
117,3,1,4,Pterostylis spp,0.5,Gap,False,True,Medium Forb/Herb,True,False,0.5
118,3,1,4,Senecio spp,1.0,Gap,False,True,Large Forb/Herb,False,False,3.0
119,3,1,4,Stellaria spp.,0.5,Gap,False,True,Medium Forb/Herb,True,False,0.5
120,3,1,4,Thelymitra spp,0.5,Gap,False,True,Medium Forb/Herb,False,False,0.5
116,3,1,4,Poranthera microphylla,0.5,Gap,False,True,Medium Forb/Herb,False,False,0.5
123,3,1,4,Rytidosperma spp.,0.5,Gap,False,True,Small Tufted grass/sedge,False,False,0.5
102,3,1,4,Aira spp.,1.0,Gap,False,True,Small Non-tufted grass/sedge,False,True,3.0
121,3,1,4,Tricoryne elatior,0.5,Gap,False,True,Large Forb/Herb,False,False,0.5
104,3,1,4,Briza minor,0.5,Gap,False,True,Small Tufted grass/sedge,False,True,0.5
115,3,1,4,Poa spp,1.0,Gap,False,True,Medium Tufted grass/sedge,False,False,3.0
105,3,1,4,Cerastium glomeratum,0.5,Gap,False,True,Medium Forb/Herb,False,True,0.5
106,3,1,4,Conyza sumatrensis,0.5,Gap,False,True,Large Forb/Herb,False,True,0.5
107,3,1,4,Cotula australis,1.0,Gap,False,True,Medium Forb/Herb,False,False,3.0
108,3,1,4,Dichondra repens,0.5,Gap,False,True,Prostrate or Mat-forming Forb/Herb,True,False,0.5
109,3,1,4,Hydrocotyle spp,1.0,Gap,False,True,Prostrate or Mat-forming Forb/Herb,False,False,3.0
113,3,1,4,Luzula meridionalis,0.5,Gap,False,True,Small Tufted grass/sedge,False,False,0.5
112,3,1,4,Lomandra longifolia,6.0,Gap,False,True,Large Forb/Herb,True,False,45.0
111,3,1,4,Lagenophora spp,0.5,Gap,False,True,Medium Forb/Herb,True,False,0.5
114,3,1,4,Microlaena stipoides,0.5,Gap,False,True,Medium Non-tufted grass/sedge,True,False,0.5
11052,6,1,5,Rytidosperma geniculata,1.0,Gap,False,True,Small Tufted grass/sedge,True,False,3.0
11046,6,1,5,Hydrocotyle spp,1.0,Gap,False,True,Prostrate or Mat-forming Forb/Herb,False,False,3.0
11043,6,1,5,Crassula sieberiana,1.0,Gap,False,True,Prostrate or Mat-forming Forb/Herb,False,False,3.0
11044,6,1,5,Dichondra repens,1.0,Gap,False,True,Prostrate or Mat-forming Forb/Herb,True,False,3.0
11045,6,1,5,Geranium sp.,0.5,Gap,False,True,Medium Forb/Herb,True,False,0.5
11042,6,1,5,Cotula australis,0.5,Gap,False,True,Medium Forb/Herb,False,False,0.5
11047,6,1,5,Hypericum gramineum,0.5,Gap,False,True,Medium Forb/Herb,False,False,0.5
11041,6,1,5,Briza minor,0.5,Gap,False,True,Small Tufted grass/sedge,False,True,0.5
11050,6,1,5,Lomandra longifolia,3.0,Gap,False,True,Large Forb/Herb,True,False,15.0
11049,6,1,5,Lagenophora spp,0.5,Gap,False,True,Medium Forb/Herb,True,False,0.5
11053,6,1,5,Senecio tenuiflorus,1.0,Gap,False,True,Large Forb/Herb,False,False,3.0
11054,6,1,5,Vulpia sp.,0.5,Gap,False,True,Small Tufted grass/sedge,False,True,0.5
11048,6,1,5,Hypochaeris radicata,0.5,Gap,False,True,Medium Forb/Herb,False,True,0.5
11039,6,1,5,Aira spp.,1.0,Gap,False,True,Small Non-tufted grass/sedge,False,True,3.0
11040,6,1,5,Austrostipa scabra,1.0,Gap,False,True,Medium Tufted grass/sedge,False,False,3.0
11051,6,1,5,Microlaena stipoides,0.5,Gap,False,True,Medium Non-tufted grass/sedge,True,False,0.5
5860,0,1,5,Hydrocotyle spp,0.5,Gap,False,True,Prostrate or Mat-forming Forb/Herb,False,False,0.5
5867,0,1,5,Wahlenbergia spp,0.5,Gap,False,True,Large Forb/Herb,False,False,0.5
5864,0,1,5,Luzula meridionalis,0.5,Gap,False,True,Small Tufted grass/sedge,False,False,0.5
5861,0,1,5,Hypericum gramineum,0.5,Gap,False,True,Medium Forb/Herb,False,False,0.5
5862,0,1,5,Hypochaeris spp,1.0,Gap,False,True,Medium Forb/Herb,False,True,3.0
5863,0,1,5,Lomandra longifolia,1.0,Gap,False,True,Large Forb/Herb,True,False,3.0
5865,0,1,5,Microlaena stipoides,0.5,Gap,False,True,Medium Non-tufted grass/sedge,True,False,0.5
5854,0,1,5,Austrostipa spp,0.5,Gap,False,True,Large Tufted grass/sedge,False,False,0.5
5866,0,1,5,Poranthera microphylla,0.5,Gap,False,True,Medium Forb/Herb,False,False,0.5
5853,0,1,5,Rytidosperma spp.,4.0,Gap,False,True,Small Tufted grass/sedge,False,False,25.0
5856,0,1,5,Conyza sumatrensis,0.5,Gap,False,True,Large Forb/Herb,False,True,0.5
5858,0,1,5,Euchiton spp,0.5,Gap,False,True,Medium Forb/Herb,False,False,0.5
5859,0,1,5,Gnaphalium sp,0.5,Gap,False,True,Medium Forb/Herb,False,True,0.5
5852,0,1,5,Aira spp.,1.0,Gap,False,True,Small Non-tufted grass/sedge,False,True,3.0
5857,0,1,5,Cotula australis,0.5,Gap,False,True,Medium Forb/Herb,False,False,0.5
5855,0,1,5,Centaurium erythraea,0.5,Gap,False,True,Medium Forb/Herb,False,True,0.5
135,3,1,5,Hypochaeris spp,1.0,Gap,False,True,Medium Forb/Herb,False,True,3.0
141,3,1,5,Senecio spp,0.5,Gap,False,True,Large Forb/Herb,False,False,0.5
136,3,1,5,Lomandra filiformis,1.0,Gap,False,True,Medium Forb/Herb,True,False,3.0
137,3,1,5,Lomandra longifolia,2.0,Gap,False,True,Large Forb/Herb,True,False,7.5
138,3,1,5,Microlaena stipoides,1.0,Gap,False,True,Medium Non-tufted grass/sedge,True,False,3.0
139,3,1,5,Poranthera microphylla,1.0,Gap,False,True,Medium Forb/Herb,False,False,3.0
140,3,1,5,Schoenus spp,0.5,Gap,False,True,Small Tufted grass/sedge,True,False,0.5
130,3,1,5,Rytidosperma spp.,2.0,Gap,False,True,Small Tufted grass/sedge,False,False,7.5
131,3,1,5,Briza minor,1.0,Gap,False,True,Small Tufted grass/sedge,False,True,3.0
134,3,1,5,Hypericum gramineum,1.0,Gap,False,True,Medium Forb/Herb,False,False,3.0
