Plot Number,Quadrat Number,Treatment,Fenced,Gap
2,1,Control,FALSE,FALSE
2,2,Control,FALSE,FALSE
2,3,Control,FALSE,FALSE
2,4,Control,FALSE,FALSE
2,5,Control,FALSE,FALSE
2,6,Control,FALSE,FALSE
2,7,Control,FALSE,FALSE
2,8,Control,FALSE,FALSE
2,9,Control,FALSE,FALSE
2,10,Control,FALSE,FALSE
2,11,Control,FALSE,FALSE
2,12,Control,FALSE,FALSE
2,13,Control,FALSE,FALSE
2,14,Control,FALSE,FALSE
2,15,Control,FALSE,FALSE
2,16,Control,FALSE,FALSE
4,1,Control,FALSE,TRUE
4,2,Control,FALSE,FALSE
4,3,Control,FALSE,TRUE
4,4,Control,FALSE,TRUE
4,5,Control,FALSE,TRUE
4,6,Control,FALSE,TRUE
4,7,Control,FALSE,FALSE
4,8,Control,FALSE,FALSE
4,9,Control,FALSE,TRUE
4,10,Control,FALSE,TRUE
4,11,Control,FALSE,TRUE
4,12,Control,FALSE,FALSE
4,13,Control,FALSE,TRUE
4,14,Control,FALSE,TRUE
4,15,Control,FALSE,FALSE
4,16,Control,FALSE,TRUE
4,17,Control,FALSE,FALSE
4,18,Control,FALSE,FALSE
4,19,Control,FALSE,FALSE
4,20,Control,FALSE,FALSE
4,21,Control,FALSE,FALSE
4,22,Control,FALSE,FALSE
4,23,Control,FALSE,FALSE
4,24,Control,FALSE,FALSE
4,25,Control,FALSE,FALSE
4,26,Control,FALSE,FALSE
4,27,Control,FALSE,FALSE
4,28,Control,FALSE,FALSE
4,29,Control,FALSE,FALSE
4,30,Control,FALSE,FALSE
4,31,Control,FALSE,FALSE
4,32,Control,FALSE,FALSE
6,1,Control,FALSE,FALSE
6,2,Control,FALSE,FALSE
6,3,Control,FALSE,FALSE
6,4,Control,FALSE,FALSE
6,5,Control,FALSE,FALSE
6,6,Control,FALSE,FALSE
6,7,Control,FALSE,FALSE
6,8,Control,FALSE,FALSE
6,9,Control,FALSE,FALSE
6,10,Control,FALSE,FALSE
6,11,Control,FALSE,FALSE
6,12,Control,FALSE,FALSE
6,13,Control,FALSE,FALSE
6,14,Control,FALSE,FALSE
6,15,Control,FALSE,FALSE
6,16,Control,FALSE,FALSE
11,1,Control,FALSE,FALSE
11,2,Control,FALSE,FALSE
11,3,Control,FALSE,FALSE
11,4,Control,FALSE,FALSE
11,5,Control,FALSE,FALSE
11,6,Control,FALSE,FALSE
11,7,Control,FALSE,FALSE
11,8,Control,FALSE,FALSE
11,9,Control,FALSE,FALSE
11,10,Control,FALSE,FALSE
11,11,Control,FALSE,FALSE
11,12,Control,FALSE,FALSE
11,13,Control,FALSE,FALSE
11,14,Control,FALSE,FALSE
11,15,Control,FALSE,FALSE
11,16,Control,FALSE,FALSE
11,17,Control,FALSE,FALSE
11,18,Control,FALSE,FALSE
11,19,Control,FALSE,FALSE
11,20,Control,FALSE,FALSE
11,21,Control,FALSE,FALSE
11,22,Control,FALSE,FALSE
11,23,Control,FALSE,FALSE
11,24,Control,FALSE,FALSE
11,25,Control,FALSE,FALSE
11,26,Control,FALSE,FALSE
11,27,Control,FALSE,FALSE
11,28,Control,FALSE,FALSE
11,29,Control,FALSE,FALSE
11,30,Control,FALSE,FALSE
11,31,Control,FALSE,FALSE
11,32,Control,FALSE,FALSE
1,1,Gap,FALSE,FALSE
1,2,Gap,FALSE,TRUE
1,3,Gap,FALSE,TRUE
1,4,Gap,FALSE,TRUE
1,5,Gap,FALSE,TRUE
1,6,Gap,FALSE,FALSE
1,7,Gap,FALSE,FALSE
1,8,Gap,FALSE,FALSE
1,9,Gap,FALSE,TRUE
1,10,Gap,FALSE,FALSE
1,11,Gap,FALSE,FALSE
1,12,Gap,FALSE,FALSE
1,13,Gap,FALSE,TRUE
1,14,Gap,FALSE,FALSE
1,15,Gap,FALSE,FALSE
1,16,Gap,FALSE,FALSE
8,1,Gap,FALSE,FALSE
8,2,Gap,FALSE,FALSE
8,3,Gap,FALSE,TRUE
8,4,Gap,FALSE,TRUE
8,5,Gap,FALSE,FALSE
8,6,Gap,FALSE,TRUE
8,7,Gap,FALSE,FALSE
8,8,Gap,FALSE,FALSE
8,9,Gap,FALSE,TRUE
8,10,Gap,FALSE,TRUE
8,11,Gap,FALSE,TRUE
8,12,Gap,FALSE,FALSE
8,13,Gap,FALSE,FALSE
8,14,Gap,FALSE,TRUE
8,15,Gap,FALSE,TRUE
8,16,Gap,FALSE,FALSE
10,1,Gap,FALSE,FALSE
10,2,Gap,TRUE,TRUE
10,3,Gap,FALSE,TRUE
10,4,Gap,TRUE,FALSE
10,5,Gap,FALSE,FALSE
10,6,Gap,TRUE,TRUE
10,7,Gap,FALSE,TRUE
10,8,Gap,TRUE,TRUE
10,9,Gap,FALSE,TRUE
