Tree Number,Plot,Treatment,Large,Alive at year 6,DBH year 0,DBH year 6,Class year 0,Class year 6,Hollows Class 1 year 0,Hollows Class 2 year 0,Hollows Class 3 year 0,Hollows Class 1 year 6,Hollows Class 2 year 6,Hollows Class 3 year 6
60.0,8,T1: Gap,Yes,Yes,42.9,45.2,,,0.0,0.0,0.0,0.0,0.0,0.0
59.0,8,T1: Gap,Yes,Yes,44.0,48.9,,,0.0,0.0,0.0,0.0,0.0,0.0
54.0,8,T1: Gap,Yes,Yes,43.6,44.2,,,0.0,0.0,0.0,0.0,0.0,0.0
55.0,8,T1: Gap,Yes,Yes,50.2,53.3,,,0.0,0.0,0.0,0.0,0.0,0.0
244.0,8,T1: Gap,Yes,Yes,52.9,54.9,,,0.0,0.0,0.0,1.0,0.0,0.0
51.0,8,T1: Gap,Yes,Yes,36.8,38.9,,,0.0,0.0,0.0,0.0,0.0,0.0
50.0,8,T1: Gap,Yes,Yes,45.0,47.0,,,0.0,0.0,0.0,0.0,0.0,0.0
49.0,8,T1: Gap,Yes,Yes,35.3,38.7,,,0.0,0.0,0.0,0.0,0.0,0.0
53.0,8,T1: Gap,Yes,Yes,40.4,42.5,,,0.0,0.0,0.0,0.0,0.0,0.0
42.0,8,T1: Gap,Yes,Yes,42.7,40.0,,,0.0,0.0,0.0,0.0,0.0,0.0
41.0,8,T1: Gap,Yes,Yes,51.5,53.2,,,0.0,0.0,0.0,0.0,0.0,0.0
43.0,8,T1: Gap,Yes,Yes,43.0,43.8,,,0.0,0.0,0.0,0.0,0.0,0.0
44.0,8,T1: Gap,Yes,Yes,41.4,42.0,,,0.0,0.0,0.0,0.0,0.0,0.0
46.0,8,T1: Gap,Yes,Yes,57.7,57.8,,,0.0,1.0,0.0,0.0,0.0,0.0
47.0,8,T1: Gap,Yes,Yes,44.8,45.8,,,0.0,0.0,0.0,0.0,0.0,0.0
48.0,8,T1: Gap,Yes,Yes,45.4,48.0,,,0.0,0.0,1.0,0.0,0.0,1.0
45.0,8,T1: Gap,Yes,Yes,39.0,40.5,,,0.0,0.0,0.0,,,
57.0,8,T1: Gap,Yes,Yes,46.0,49.3,,,0.0,0.0,0.0,0.0,0.0,0.0
56.0,8,T1: Gap,Yes,Yes,40.0,42.0,,,0.0,0.0,0.0,0.0,0.0,0.0
58.0,8,T1: Gap,Yes,Yes,52.0,43.9,,,0.0,0.0,0.0,0.0,0.0,0.0
270.0,8,T1: Gap,No,Yes,28.0,29.8,,,0.0,0.0,0.0,0.0,0.0,0.0
271.0,8,T1: Gap,No,Yes,28.1,30.0,,,0.0,0.0,0.0,0.0,0.0,0.0
272.0,8,T1: Gap,No,Yes,25.1,27.0,,,0.0,0.0,0.0,0.0,0.0,0.0
278.0,8,T1: Gap,No,Yes,24.8,25.2,,,0.0,0.0,0.0,,,
249.0,8,T1: Gap,No,Yes,25.3,29.2,,,0.0,0.0,0.0,0.0,0.0,0.0
281.0,8,T1: Gap,No,Yes,26.6,28.3,,,0.0,0.0,0.0,0.0,0.0,0.0
282.0,8,T1: Gap,No,Yes,16.4,27.9,,,0.0,0.0,0.0,0.0,0.0,0.0
284.0,8,T1: Gap,No,Yes,28.7,30.0,,,0.0,0.0,0.0,0.0,0.0,0.0
286.0,8,T1: Gap,No,Yes,26.8,27.7,,,0.0,0.0,0.0,,,
287.0,8,T1: Gap,No,Yes,25.5,26.3,,,0.0,0.0,0.0,0.0,0.0,0.0
269.0,8,T1: Gap,No,Yes,33.7,36.0,,,0.0,0.0,0.0,0.0,0.0,0.0
273.0,8,T1: Gap,No,Yes,31.7,32.9,,,0.0,0.0,0.0,0.0,0.0,0.0
274.0,8,T1: Gap,No,Yes,35.9,38.3,,,0.0,0.0,0.0,0.0,0.0,0.0
275.0,8,T1: Gap,No,Yes,33.0,34.0,,,0.0,0.0,0.0,,,
276.0,8,T1: Gap,No,Yes,31.1,32.2,,,0.0,0.0,0.0,0.0,0.0,0.0
277.0,8,T1: Gap,No,Yes,39.5,41.8,,,0.0,0.0,0.0,0.0,0.0,0.0
280.0,8,T1: Gap,No,Yes,38.5,37.8,,,0.0,0.0,0.0,0.0,0.0,0.0
283.0,8,T1: Gap,No,Yes,30.9,33.0,,,0.0,0.0,0.0,0.0,0.0,0.0
285.0,8,T1: Gap,No,Yes,32.2,34.1,,,0.0,0.0,0.0,0.0,0.0,0.0
288.0,8,T1: Gap,No,Yes,33.2,34.0,,,0.0,0.0,0.0,0.0,0.0,0.0
562.0,4,Control,,Yes,23.6,23.9,,,,,,0.0,0.0,0.0
563.0,4,Control,,Yes,29.8,31.2,,,,,,0.0,0.0,0.0
564.0,4,Control,,Yes,25.0,26.3,,,,,,0.0,0.0,0.0
567.0,4,Control,,Yes,29.8,30.9,,,,,,0.0,0.0,0.0
568.0,4,Control,,Yes,23.1,23.6,,,,,,0.0,0.0,0.0
570.0,4,Control,,Yes,22.0,22.5,,,,,,0.0,0.0,0.0
576.0,4,Control,,Yes,22.4,22.8,,,,,,0.0,0.0,0.0
577.0,4,Control,,Yes,25.8,26.5,,,,,,0.0,0.0,0.0
578.0,4,Control,,Yes,25.2,26.1,,,,,,0.0,0.0,0.0
579.0,4,Control,,Yes,29.5,31.0,,,,,,0.0,0.0,0.0
565.0,4,Control,,Yes,32.7,33.8,,,0.0,0.0,0.0,0.0,0.0,0.0
566.0,4,Control,,Yes,32.3,34.2,,,0.0,0.0,0.0,0.0,0.0,0.0
569.0,4,Control,,Yes,31.9,33.2,,,0.0,0.0,0.0,0.0,0.0,0.0
571.0,4,Control,,Yes,35.0,35.4,,,0.0,0.0,0.0,0.0,0.0,0.0
572.0,4,Control,,Yes,31.2,32.3,,,0.0,0.0,0.0,0.0,0.0,0.0
573.0,4,Control,,Yes,32.7,33.6,,,0.0,0.0,0.0,0.0,0.0,0.0
574.0,4,Control,,Yes,30.1,31.3,,,1.0,0.0,0.0,0.0,0.0,0.0
575.0,4,Control,,Yes,32.2,33.0,,,0.0,0.0,0.0,0.0,0.0,0.0
580.0,4,Control,,Yes,35.5,35.6,,,0.0,0.0,0.0,0.0,0.0,0.0
581.0,4,Control,,Yes,33.4,33.9,,,0.0,0.0,0.0,0.0,0.0,0.0
301.0,4,Control,Yes,Yes,36.6,36.0,,,0.0,0.0,0.0,1.0,0.0,0.0
302.0,4,Control,Yes,Yes,32.4,33.0,,,0.0,0.0,0.0,0.0,0.0,0.0
303.0,4,Control,Yes,Yes,50.9,50.08,,,0.0,0.0,0.0,0.0,0.0,0.0
304.0,4,Control,Yes,Yes,32.1,33.1,,,0.0,0.0,0.0,0.0,0.0,0.0
305.0,4,Control,Yes,Yes,33.9,36.0,,,0.0,0.0,0.0,0.0,0.0,0.0
306.0,4,Control,Yes,Yes,35.7,37.3,,,0.0,0.0,0.0,0.0,0.0,0.0
307.0,4,Control,Yes,Yes,31.8,32.8,,,0.0,0.0,0.0,0.0,0.0,1.0
308.0,4,Control,Yes,Yes,32.7,34.8,,,0.0,0.0,0.0,0.0,0.0,0.0
320.0,4,Control,Yes,Yes,32.2,33.7,,,0.0,0.0,0.0,0.0,0.0,0.0
309.0,4,Control,Yes,Yes,44.2,45.1,,,0.0,0.0,0.0,0.0,0.0,0.0
313.0,4,Control,Yes,Yes,38.2,38.5,,,0.0,0.0,0.0,0.0,0.0,0.0
311.0,4,Control,Yes,Yes,42.9,43.9,,,0.0,0.0,0.0,0.0,0.0,0.0
314.0,4,Control,Yes,Yes,44.1,45.5,,,0.0,0.0,1.0,0.0,0.0,0.0
315.0,4,Control,Yes,Yes,34.3,35.4,,,0.0,0.0,0.0,0.0,0.0,0.0
310.0,4,Control,Yes,Yes,31.8,32.8,,,0.0,0.0,0.0,0.0,0.0,0.0
316.0,4,Control,Yes,Yes,33.6,35.1,,,0.0,0.0,0.0,0.0,0.0,0.0
317.0,4,Control,Yes,Yes,35.6,37.5,,,0.0,0.0,0.0,0.0,0.0,0.0
318.0,4,Control,Yes,Yes,35.4,36.6,,,0.0,0.0,0.0,0.0,0.0,0.0
319.0,4,Control,Yes,Yes,35.7,36.6,,,0.0,0.0,0.0,0.0,0.0,0.0
312.0,4,Control,Yes,Yes,33.4,34.2,,,0.0,0.0,0.0,0.0,0.0,1.0
77.0,12,T1: Gap,Yes,Yes,63.7,68.5,,,1.0,1.0,1.0,1.0,1.0,1.0
61.0,12,T1: Gap,Yes,Yes,50.3,54.0,,,0.0,0.0,0.0,0.0,0.0,0.0
62.0,12,T1: Gap,Yes,Yes,43.3,45.5,,,0.0,0.0,0.0,0.0,0.0,0.0
953.0,12,T1: Gap,Yes,Yes,33.8,36.9,,,0.0,0.0,0.0,0.0,0.0,0.0
65.0,12,T1: Gap,Yes,Yes,37.6,39.1,,,0.0,0.0,0.0,0.0,0.0,0.0
67.0,12,T1: Gap,Yes,Yes,32.8,35.4,,,0.0,0.0,0.0,0.0,0.0,0.0
68.0,12,T1: Gap,Yes,Yes,36.0,34.0,,,0.0,0.0,0.0,0.0,0.0,0.0
69.0,12,T1: Gap,Yes,Yes,35.0,34.8,,,0.0,0.0,0.0,0.0,0.0,0.0
70.0,12,T1: Gap,Yes,Yes,38.85,42.2,,,0.0,0.0,0.0,0.0,0.0,0.0
63.0,12,T1: Gap,Yes,Yes,39.5,40.1,,,0.0,0.0,0.0,0.0,0.0,0.0
75.0,12,T1: Gap,Yes,Yes,38.2,41.0,,,0.0,0.0,0.0,0.0,0.0,0.0
