Tree Number,Plot,Treatment,Large,Alive at year 6,DBH year 0,DBH year 6,Class year 0,Class year 6,Hollows Class 1 year 0,Hollows Class 2 year 0,Hollows Class 3 year 0,Hollows Class 1 year 6,Hollows Class 2 year 6,Hollows Class 3 year 6
218,7,T2: Radial,Yes,Yes,38.2,40.74366543152521,4,5,0.0,0.0,0.0,0.0,0.0,0.0
217,7,T2: Radial,Yes,Yes,44.7,,5,,0.0,0.0,0.0,0.0,0.0,0.0
586,7,T2: Radial,Yes,Yes,36.6,39.470425886790046,4,1,0.0,0.0,0.0,0.0,0.0,0.0
213,7,T2: Radial,Yes,Yes,38.5,42.65352474862795,4,5,0.0,0.0,0.0,0.0,0.0,0.0
216,7,T2: Radial,Yes,Yes,41.4,43.29014452099553,5,5,0.0,0.0,0.0,0.0,0.0,0.0
215,7,T2: Radial,Yes,Yes,44.6,48.38310269993618,5,5,0.0,0.0,0.0,0.0,0.0,0.0
214,7,T2: Radial,Yes,Yes,41.4,44.245074179546904,5,5,0.0,0.0,0.0,0.0,0.0,0.0
219,7,T2: Radial,Yes,Yes,35.4,35.96901713876834,4,4,0.0,0.0,0.0,0.0,0.0,0.0
201,7,T2: Radial,Yes,Yes,39.2,41.38028520389279,4,5,0.0,0.0,0.0,0.0,0.0,0.0
203,7,T2: Radial,Yes,Yes,35.0,41.38028520389279,4,5,0.0,0.0,0.0,0.0,0.0,0.0
204,7,T2: Radial,Yes,Yes,36.6,44.08591923645501,4,5,0.0,0.0,0.0,0.0,0.0,0.0
206,7,T2: Radial,Yes,Yes,40.8,42.33521486244416,5,5,0.0,0.0,1.0,0.0,0.0,0.0
205,7,T2: Radial,Yes,Yes,50.3,56.65915974071474,6,6,0.0,0.0,0.0,0.0,0.0,0.0
584,7,T2: Radial,Yes,Yes,37.6,41.53944014698468,4,5,0.0,0.0,0.0,0.0,0.0,0.0
209,7,T2: Radial,Yes,Yes,35.0,39.311270943698155,4,4,0.0,0.0,0.0,0.0,0.0,0.0
210,7,T2: Radial,Yes,Yes,35.3,42.81267969171985,4,5,0.0,0.0,0.0,0.0,0.0,0.0
208,7,T2: Radial,Yes,Yes,39.2,51.56620156177409,4,6,0.0,0.0,0.0,0.0,0.0,0.0
212,7,T2: Radial,Yes,Yes,53.8,59.84225860255265,6,6,0.0,0.0,0.0,0.0,0.0,0.0
202,7,T2: Radial,Yes,Yes,35.7,39.152116000606256,4,4,0.0,0.0,0.0,0.0,0.0,0.0
421,7,T2: Radial,,Yes,28.6,28.966199642724952,3,3,,,,0.0,0.0,0.0
422,7,T2: Radial,,Yes,24.8,25.783100780887047,3,3,,,,0.0,0.0,0.0
423,7,T2: Radial,,Yes,25.0,26.73803043943842,3,3,,,,0.0,0.0,0.0
425,7,T2: Radial,,Yes,23.5,26.578875496346523,3,3,,,,0.0,0.0,0.0
427,7,T2: Radial,,Yes,28.5,29.921129301276324,3,3,,,,0.0,0.0,0.0
429,7,T2: Radial,,Yes,23.0,24.98732606542757,3,3,,,,0.0,0.0,0.0
432,7,T2: Radial,,Yes,26.4,26.73803043943842,3,3,,,,0.0,0.0,0.0
433,7,T2: Radial,,Yes,24.7,25.942255723978942,3,3,,,,0.0,0.0,0.0
439,7,T2: Radial,,Yes,28.0,31.194368846011486,3,4,,,,0.0,0.0,0.0
440,7,T2: Radial,,Yes,29.2,32.46760839074665,3,4,,,,0.0,0.0,0.0
424,7,T2: Radial,,Yes,31.0,33.58169299238992,4,4,0.0,0.0,0.0,0.0,0.0,0.0
426,7,T2: Radial,,Yes,30.4,31.830988618379067,4,4,0.0,0.0,0.0,0.0,0.0,0.0
428,7,T2: Radial,,Yes,31.9,35.01408748021698,4,4,0.0,0.0,0.0,0.0,0.0,0.0
430,7,T2: Radial,,Yes,38.0,38.515496228238675,4,4,0.0,0.0,0.0,0.0,0.0,0.0
431,7,T2: Radial,,Yes,32.6,35.96901713876834,4,4,0.0,0.0,0.0,0.0,0.0,0.0
434,7,T2: Radial,,Yes,30.9,33.42253804929802,4,4,0.0,0.0,0.0,1.0,0.0,0.0
435,7,T2: Radial,,Yes,32.9,33.74084793548181,4,4,0.0,0.0,0.0,0.0,0.0,0.0
436,7,T2: Radial,,Yes,30.4,33.10422816311423,4,4,0.0,0.0,0.0,0.0,0.0,0.0
437,7,T2: Radial,,Yes,32.0,33.42253804929802,4,4,0.0,0.0,0.0,0.0,0.0,0.0
438,7,T2: Radial,,Yes,31.9,34.69577759403319,4,4,0.0,0.0,0.0,0.0,0.0,0.0
