"","Tree.Number","Plot","Treatment","DBH.year.0","DBH.year.6","growth"
"1",29,1,"T1: Gap",38,38,0
"2",36,1,"T1: Gap",41.5,40.5,-1
"3",227,2,"Control",42.9718346348117,41.6,-1.37183463481174
"4",233,2,"Control",39.47042588679,37.8,-1.67042588679005
"5",223,2,"Control",40.1070456591576,39.9,-0.207045659157629
"6",231,2,"Control",42.0169049762604,39.9,-2.11690497626037
"7",549,3,"T2: Radial",27.3,27.3,0
"8",301,4,"Control",36.6,36,-0.600000000000001
"9",303,4,"Control",50.9,50.08,-0.82
"10",187,5,"T2: Radial",63.7,63.1,-0.600000000000001
"11",172,5,"T2: Radial",39.7,32.9,-6.8
"12",176,5,"T2: Radial",81.8,80.7,-1.09999999999999
"13",154,6,"Control",49.6,49.5,-0.100000000000001
"14",42,8,"T1: Gap",42.7,40,-2.7
"15",58,8,"T1: Gap",52,43.9,-8.1
"16",280,8,"T1: Gap",38.5,37.8,-0.700000000000003
"17",14,10,"T1: Gap",42,41.4,-0.600000000000001
"18",610,11,"Control",37,35.4,-1.6
"19",612,11,"Control",36.2,36,-0.200000000000003
"20",613,11,"Control",35,33.4,-1.6
"21",112,11,"Control",34,34,0
"22",603,11,"Control",38,37.8,-0.200000000000003
"23",602,11,"Control",34.5,33.2,-1.3
"24",606,11,"Control",38,38,0
"25",114,11,"Control",39.8,39.1,-0.699999999999996
"26",448,11,"Control",23.8,23.6,-0.199999999999999
"27",458,11,"Control",32.5,32.3,-0.200000000000003
"28",68,12,"T1: Gap",36,34,-2
"29",69,12,"T1: Gap",35,34.8,-0.200000000000003
