Entry,Candidate
Stellaria spp.,
Rytidosperma spp.,Rytidosperma australe
Senecio spp,
Wahlenbergia spp,Wahlenbergia ceracea
CWD,
Leaf Litter,
Moss/Lichen,
Cardamine sp.,
Crassula spp,
Einadia nutans,Einadia hastata
Bare Earth,
Euchiton spp,
Microlaena stipoides,
Lachnagrostis spp.,Lachnagrostis scabra
Hypochaeris spp,Hypochoeris glabra
Lagenophora spp,Lagenophora montana
Hydrocotyle spp,Hydrocotyle hirta
Cerastium glomeratum,Cerastium glomeratum s.l.
Austrostipa spp,Austrostipa rudis
Hypochaeris glabra,Hypochoeris glabra
Poranthera microphylla,Poranthera microphylla s.l.
Rytidosperma caespitosum,Rytidosperma nivicolum
Rytidosperma geniculata,Rytidosperma nivicolum
Senecio tenuiflorus,Senecio pterophorus
Crassula sieberiana,Crassula sieberiana s.l.
Gnaphalium sp,Gnaphalium indutum
Cerastium sp.,
Unknown Species,
Pterostylis spp,Pterostylis laxa
Poa labillardieri,Poa labillardierei
Oxalis (native),Oxalis bowiei
Hypochaeris radicata,Hypochoeris radicata
Vulpia sp.,Vulpia spp.
Arthropodium strictum,Arthropodium strictum s.l.
Poa spp,Poa fax
Oxalis sp 2.,Oxalis hirta
Sonchus spp,
Arthropodium spp,Arthropodium minus
Carex spp,Carex iynx
Thelymitra spp,Thelymitra nuda
Geranium sp.,Geranium sp. 1
Schoenus spp,Schoenus apogon
Senecio phelleus,Senecio minimus
Oxalis sp (weed),Oxalis bowiei
Baumea sp,Baumea laxa
Geranium spp,Geranium sp. 1
Cymbonotis sp,
Arthropodiumn minus,Arthropodium minus
Acianthus sp.,Acianthus spp.
Erhartia erecta,
Eucalyptus tereteticornis,Eucalyptus alaticaulis
Juncus spp,
Corybas sp.,
Euchiton involucratis,Euchiton involucratus s.l.
Trifolium sp.,Trifolium dubium
Poa sp (green hairy),Poa sp. aff. tenera (Hairy)
Dipodium spp,
Dead Standing Timber,
Scuttelaria sp,
Dipodium punctatum,Dipodium punctatum s.l.
Arthropodium milleflorum,Arthropodium milleflorum s.l.
Gamochaeta purpurea,Gamochaeta purpurea s.l.
Brachyscome spp.,Brachyscome riparia
Elymus repens???,
Veronica spp,
Clematis microphylla,Clematis microphylla s.l.
Medicago spp.,
Solanum nigrum,Solanum nigrum s.s.
Lomandra glauca,Lomandra glauca s.l.
Isolepsis marginata,Isolepis marginata
Gamochaeta sp,
Acaena novae-zelan,Acaena novae-zelandiae
Asperula spp.,
Cassinia aculata,Cassinia aculeata
Solanum sp.,
Standing dead timber,
Juncus bufonis,Juncus bufonius
Galium sp,
Sporobolus sp.,Sporobolus caroli
Eragrostis sp. (Native),Eragrostis lacunaria
Ranunculus pimelo sp pimelo,
Trifolium repens,
Solenogyne sp.,Solenogyne gunnii
Elymus seaber,
Carpobrotus spp.,Carpobrotus rossii
Poaceae,
Centrolepsis strigosa,
Rumex sp.,
Kunzea ericoides,
Viola sp.,Viola spp.
Rytidosperma pencilata,
MoSs/Lichen,
Viola hederaceae,
Wahlenbergia gracilenta,Wahlenbergia gracilenta s.l.
Lolium spp.,
Tricoryne sp.,
Microtis sp.,
Dianella caerulea,Dianella caerulea s.l.
Petrorhagia spp.,Petrorhagia dubia
Exocarpus cupressiformis,Exocarpos cupressiformis
Cyperus spp,Cyperus bifax
Lobelia spp.,
Asteraceae,
Phalaris spp.,
